	cl
E0_0_0	0
E0_0_1	0
E0_0_2	0
E0_0_3	0
E0_0_4	0
E0_0_5	0
E0_0_6	0
E0_0_7	0
E0_0_8	0
E0_0_9	0
E0_0_10	0
E0_0_11	0
E0_0_12	0
E0_0_13	0
E0_0_14	0
E0_0_15	0
E0_0_16	0
E0_0_17	0
E0_0_18	0
E0_0_19	0
E0_0_20	0
E0_0_21	0
E0_0_22	0
E0_0_23	0
E0_0_24	0
E0_0_25	0
E0_0_26	0
E0_0_27	0
E0_0_28	0
E0_0_29	0
E0_0_30	0
E0_0_31	0
E0_0_32	0
E0_0_33	0
E0_0_34	0
E0_0_35	0
E0_0_36	0
E0_0_37	0
E0_0_38	0
E0_0_39	0
E0_0_40	0
E0_0_41	0
E0_0_42	0
E0_0_43	0
E0_0_44	0
E0_0_45	0
E0_0_46	0
E0_0_47	0
E0_0_48	0
E0_0_49	0
E0_0_50	0
E0_0_51	0
E0_0_52	0
E0_0_53	0
E0_0_54	0
E0_0_55	0
E0_0_56	0
E0_0_57	0
E0_0_58	0
E0_0_59	0
E0_0_60	0
E0_0_61	0
E0_0_62	0
E0_0_63	0
E0_0_64	0
E0_0_65	0
E0_0_66	0
E0_0_67	0
E0_0_68	0
E0_0_69	0
E2_12_0	0
E2_12_1	1
E2_12_2	0
E2_12_3	0
E2_12_4	0
E2_12_5	0
E2_12_6	0
E2_12_7	1
E2_12_8	1
E2_12_9	0
E2_12_10	1
E2_12_11	0
E2_12_12	1
E2_12_13	1
E2_12_14	1
E2_12_15	1
E2_12_16	1
E2_12_17	1
E2_12_18	1
E2_12_19	1
E2_12_20	0
E2_12_21	1
E2_12_22	1
E2_12_23	1
E2_12_24	1
E2_12_25	0
E2_12_26	0
E2_12_27	1
E2_12_28	0
E2_12_29	1
E2_12_30	1
E2_12_31	1
E2_12_32	1
E2_12_33	1
E2_12_34	0
E2_12_35	1
E2_12_36	1
E2_12_37	1
E2_12_38	0
E2_12_39	1
E2_12_40	0
E2_12_41	1
E2_12_42	1
E2_12_43	1
E2_12_44	0
E2_12_45	0
E2_12_46	1
E2_12_47	0
E2_12_48	1
E2_12_49	1
E2_12_50	1
E2_12_51	1
E2_12_52	1
E2_12_53	0
E2_12_54	1
E2_12_55	1
E2_12_56	1
E2_12_57	1
E2_12_58	1
E2_12_59	0
E2_12_60	1
E2_12_61	0
E2_12_62	1
E2_12_63	0
E2_12_64	1
E2_12_65	0
E1_24_0	1
E1_24_1	1
E1_24_2	1
E1_24_3	1
E1_24_4	1
E1_24_5	1
E1_24_6	1
E1_24_7	1
E1_24_8	1
E1_24_9	1
E1_24_10	1
E1_24_11	1
E1_24_12	1
E1_24_13	1
E1_24_14	1
E1_24_15	1
E1_24_16	1
E1_24_17	0
E1_24_18	1
E1_24_19	1
E1_24_20	1
E1_24_21	1
E1_24_22	1
E1_24_23	1
E1_24_24	1
E1_24_25	1
E1_24_26	1
E1_24_27	1
E1_24_28	1
E1_24_29	1
E1_24_30	1
E1_24_31	1
E1_24_32	1
E1_24_33	1
E1_24_34	1
E1_24_35	1
E1_24_36	1
E1_24_37	1
E1_24_38	1
E1_24_39	1
E1_24_40	1
E1_24_41	1
E1_24_42	1
E1_24_43	1
E1_24_44	1
E1_24_45	0
E1_24_46	1
E1_24_47	1
E1_24_48	1
E1_24_49	0
E1_24_50	1
E1_24_51	1
E1_24_52	1
E1_24_53	1
E1_24_54	1
E1_24_55	1
E1_24_56	1
E1_24_57	1
E1_24_58	1
E1_24_59	1
E1_24_60	1
E1_24_61	1
E1_24_62	1
E1_24_63	1
E1_24_64	1
E1_24_65	1
E1_24_66	1
E1_24_67	1
E1_24_68	1
E1_24_69	1
E4_48_0	1
E4_48_1	1
E4_48_2	1
E4_48_3	1
E4_48_4	1
E4_48_5	1
E4_48_6	1
E4_48_7	1
E4_48_8	1
E4_48_9	1
E4_48_10	1
E4_48_11	1
E4_48_12	1
E4_48_13	1
E4_48_14	1
E4_48_15	1
E4_48_16	1
E4_48_17	1
E4_48_18	1
E4_48_19	1
E4_48_20	0
E4_48_21	1
E4_48_22	1
E4_48_23	1
E4_48_24	1
E4_48_25	1
E4_48_26	1
E4_48_27	1
E4_48_28	1
E4_48_29	1
E4_48_30	1
E4_48_31	1
E4_48_32	1
E4_48_33	1
E4_48_34	1
E4_48_35	1
E4_48_36	1
E4_48_37	1
E4_48_38	1
E4_48_39	1
E4_48_40	1
E4_48_41	1
E4_48_42	1
E4_48_43	1
E4_48_44	1
E4_48_45	1
E4_48_46	1
E4_48_47	1
E4_48_48	1
E4_48_49	1
E4_48_50	1
E4_48_51	1
E4_48_52	1
E4_48_53	1
E4_48_54	1
E4_48_55	1
E4_48_56	1
E4_48_57	1
E4_48_58	1
E4_48_59	1
E4_48_60	1
E4_48_61	1
E4_48_62	1
E4_48_63	1
E4_48_64	1
E4_48_65	1
E4_48_66	1
E4_48_67	1
E4_48_68	1
E4_48_69	1
E4_48_70	1
E4_48_71	1
E4_48_72	1
E4_48_73	1
E3_72_0	1
E3_72_1	1
E3_72_2	1
E3_72_3	1
E3_72_4	1
E3_72_5	1
E3_72_6	1
E3_72_7	1
E3_72_8	1
E3_72_9	1
E3_72_10	1
E3_72_11	1
E3_72_12	1
E3_72_13	1
E3_72_14	1
E3_72_15	1
E3_72_16	1
E3_72_17	1
E3_72_18	1
E3_72_19	1
E3_72_20	1
E3_72_21	1
E3_72_22	1
E3_72_23	1
E3_72_24	1
E3_72_25	1
E3_72_26	1
E3_72_27	1
E3_72_28	1
E3_72_29	1
E3_72_30	1
E3_72_31	1
E3_72_32	1
E3_72_33	1
E3_72_34	1
E3_72_35	1
E3_72_36	1
E3_72_37	1
E3_72_38	1
E3_72_39	1
E3_72_40	1
E3_72_41	1
E3_72_42	1
E3_72_43	1
E3_72_44	1
E3_72_45	1
E3_72_46	1
E3_72_47	1
E3_72_48	1
E3_72_49	1
E3_72_50	1
E3_72_51	1
E3_72_52	1
E3_72_53	1
E3_72_54	1
E3_72_55	1
E3_72_56	1
E3_72_57	1
E3_72_58	1
E3_72_59	1
E3_72_60	1
E3_72_61	1
E3_72_62	1
E3_72_63	1
E3_72_64	1
E3_72_65	1
E3_72_66	1
E3_72_67	1
E3_72_68	1
E3_72_69	1
E3_72_70	1
E3_72_71	1
E3_72_72	1
E3_72_73	1
E3_72_74	1
E3_72_75	1
E0_0_70	0
E0_0_71	0
E0_0_72	0
E0_0_73	0
E0_0_74	0
E0_0_75	0
E0_0_76	0
E0_0_77	0
E0_0_78	0
E0_0_79	0
E0_0_80	0
E0_0_81	0
E0_0_82	0
E0_0_83	0
E0_0_84	0
E0_0_85	0
E0_0_86	0
E0_0_87	0
E0_0_88	0
E0_0_89	0
E0_0_90	0
E0_0_91	0
E2_12_66	1
E2_12_67	0
E2_12_68	1
E2_12_69	1
E2_12_70	1
E2_12_71	1
E2_12_72	1
E2_12_73	1
E2_12_74	1
E2_12_75	0
E2_12_76	0
E2_12_77	0
E2_12_78	1
E2_12_79	1
E2_12_80	1
E2_12_81	0
E2_12_82	1
E2_12_83	1
E2_12_84	0
E2_12_85	1
E2_12_86	0
E2_12_87	1
E2_12_88	0
E2_12_89	1
E2_12_90	1
E1_24_70	1
E1_24_71	1
E1_24_72	1
E1_24_73	1
E1_24_74	1
E1_24_75	1
E1_24_76	1
E1_24_77	1
E1_24_78	1
E1_24_79	1
E1_24_80	1
E1_24_81	1
E1_24_82	1
E1_24_83	1
E1_24_84	1
E1_24_85	1
E1_24_86	1
E1_24_87	1
E1_24_88	1
E1_24_89	1
E1_24_90	1
E1_24_91	1
E1_24_92	1
E4_48_74	1
E4_48_75	1
E4_48_76	1
E4_48_77	1
E4_48_78	1
E4_48_79	1
E4_48_80	1
E4_48_81	1
E4_48_82	1
E4_48_83	1
E4_48_84	1
E4_48_85	1
E4_48_86	1
E3_72_76	1
E3_72_77	1
E3_72_78	1
E3_72_79	1
E3_72_80	1
E3_72_81	1
E3_72_82	1
E3_72_83	1
E3_72_84	1
E3_72_85	1
E3_72_86	1
E3_72_87	1
E3_72_88	1
E3_72_89	1
E3_72_90	1
E3_72_91	1
E3_72_92	1
