Gene1,Gene2,combined_score
SOX2,POU5F1,0.991
POU5F1,NANOG,0.988
SOX2,NANOG,0.985
XBP1,DDIT3,0.972
SOX17,POU5F1,0.965
KLF4,SOX2,0.962
TRP53,HMGA2,0.962
ESRRB,POU5F1,0.960
KLF4,NANOG,0.956
KLF4,POU5F1,0.941
ETS1,RUNX1,0.941
ESRRB,NANOG,0.931
GLI2,GLI1,0.928
ELF2,RUNX1,0.927
FOXA2,SOX17,0.926
SOX7,SOX17,0.925
SOX2,SOX17,0.922
TRP53,JUN,0.921
GATA4,FOXA2,0.918
SOX2,SOX7,0.916
TCF7L2,SOX17,0.913
GATA4,POU5F1,0.908
ESRRB,SOX2,0.904
JUN,EGR1,0.896
ZFP42,POU5F1,0.888
TRP53,PARP1,0.885
TRP53,NANOG,0.882
NR0B1,POU5F1,0.875
TRP53,MYCN,0.869
GATA6,NANOG,0.865
JUN,ETS1,0.862
NR0B1,NANOG,0.861
GATA6,SOX17,0.858
TRP53,EGR1,0.853
GATA4,SOX17,0.852
ESRRB,KLF4,0.851
TRP53,SOX2,0.850
GATA6,POU5F1,0.850
ZFP42,NANOG,0.847
TRP53,KLF4,0.843
FOXA2,GATA6,0.840
SOX17,NANOG,0.839
TRP53,POU5F1,0.827
ESRRB,NR0B1,0.813
GATA4,NANOG,0.809
FOXD3,NANOG,0.795
ESRRB,ZFP42,0.787
SOX2,SIX1,0.784
MYCN,POU5F1,0.782
SOX2,FOXA2,0.776
TRP53,ETS1,0.775
SOX2,GATA4,0.767
SOX2,GATA6,0.766
SOX7,GATA6,0.765
SOX2,MYCN,0.765
FOXA2,NANOG,0.758
KLF4,MYCN,0.752
SOX2,FOXD3,0.750
FOXA2,POU5F1,0.748
FOXD3,POU5F1,0.744
SOX2,ZFP42,0.742
SOX7,GATA4,0.739
NFIL3,BHLHE40,0.738
GLI2,FOXA2,0.730
FOXA2,GLI1,0.727
KLF4,SOX17,0.723
ZFP42,NR0B1,0.722
TRP53,RBPJ,0.716
SOX2,HMGA2,0.713
JUN,DDIT3,0.712
KLF4,GATA4,0.706
KLF4,GATA6,0.702
SOX2,NR0B1,0.698
SOX7,POU5F1,0.693
SOX2,PARP1,0.687
SOX2,GLI1,0.684
SOX2,GLI2,0.678
SOX7,FOXA2,0.668
JUN,POU5F1,0.662
MYCN,MYBL2,0.659
ESRRB,GATA6,0.656
KLF4,NR0B1,0.656
KLF4,FOXA2,0.651
MYCN,GLI1,0.640
TRP53,DDIT3,0.635
MYCN,NANOG,0.629
TCF7L2,FOXA2,0.626
JUN,NANOG,0.625
FOXA2,HNF1B,0.624
GLI2,MYCN,0.615
ESRRB,EPAS1,0.610
GATA4,GATA6,0.608
ESRRB,MYCN,0.608
JUN,PARP1,0.606
ZFP42,GATA6,0.603
SOX7,NANOG,0.601
FOXD3,ZFP42,0.600
FOXH1,POU5F1,0.600
JUN,ETV4,0.594
ETS1,EPAS1,0.593
TRP53,GLI1,0.592
TRP53,SMAD7,0.588
SOX2,MSX2,0.586
FOXD3,ETS1,0.586
ESRRB,SOX17,0.582
GLI1,NANOG,0.579
ZFP42,SOX17,0.578
TRP53,MYBL2,0.576
FOXD3,GATA6,0.573
EGR1,SMAD7,0.573
JUN,XBP1,0.570
ESRRB,GATA4,0.564
GATA4,NR0B1,0.557
GLI2,NANOG,0.557
GLI1,POU5F1,0.555
KLF4,FOXD3,0.555
FOXD3,MSX2,0.553
ZFP42,GATA4,0.551
EGR1,ETS1,0.551
FOXD3,SIX1,0.547
GLI2,POU5F1,0.544
TRP53,RUNX1,0.533
GATA6,NR0B1,0.532
ESRRB,FOXA2,0.530
FOXD3,GATA4,0.528
TRP53,ZFHX3,0.526
TRP53,GLI2,0.522
SOX2,RBPJ,0.522
TRP53,XBP1,0.521
RBPJ,GLI1,0.516
KLF4,JUN,0.514
POU5F1,EPAS1,0.514
ESRRB,FOXD3,0.511
JUN,GATA4,0.509
REST,NANOG,0.506
JUN,SMAD7,0.499
GATA6,HNF1B,0.498
REST,POU5F1,0.497
GATA4,HNF1B,0.486
GATA4,FOXH1,0.483
FOXH1,SOX17,0.483
NFIL3,ETS1,0.481
HMGA2,POU5F1,0.479
KLF4,SOX7,0.479
JUN,SOX2,0.478
FOXD3,NR0B1,0.478
ZFP42,FOXA2,0.475
ZFHX3,POU5F1,0.475
FOXA2,MSX2,0.472
TCF7L2,HNF1B,0.471
TRP53,EPAS1,0.470
TRP53,GATA4,0.470
TCF7L2,RBPJ,0.467
FOXA2,ETS1,0.466
TRP53,ETV4,0.465
SMAD7,MSX2,0.464
NFIL3,RUNX1,0.464
JUN,ETV5,0.463
ESRRB,RHOX6,0.463
GLI1,MSX2,0.463
JUN,NFIL3,0.458
HMGA2,MYCN,0.456
TGIF1,SMAD7,0.454
TGIF1,FOXH1,0.454
GLI2,RBPJ,0.454
POU5F1,MYBL2,0.453
FOXH1,NANOG,0.451
GATA6,RHOX6,0.447
POU5F1,RHOX6,0.447
ZFP42,RHOX6,0.447
GATA6,FOXH1,0.446
KLF4,SMAD7,0.446
HMGA2,NANOG,0.445
GATA4,ETS1,0.442
SOX2,REST,0.436
PARP1,DDIT3,0.436
TGIF1,JUN,0.435
PARP1,POU5F1,0.433
SIX1,GATA6,0.429
RBPJ,MSX2,0.429
FOXH1,SMAD7,0.429
GLI2,MSX2,0.427
JUN,MYCN,0.427
JUN,EPAS1,0.425
DDIT3,MYBL2,0.424
EGR1,DDIT3,0.424
EGR1,BHLHE40,0.424
JUN,MYBL2,0.424
MYBL2,NANOG,0.423
NFIL3,MYBL2,0.419
TRP53,FOXA2,0.417
SOX17,HNF1B,0.416
KLF4,RARG,0.415
DDIT3,RUNX1,0.414
TRP53,HNF1B,0.414
ESRRB,SOX7,0.411
SIX1,MSX2,0.408
GATA4,RHOX6,0.404
