Gene1,Gene2
CDC5L,ARF5
DAB2,M6PR
BIN1,M6PR
EGFR,M6PR
EGF,M6PR
NR3C2,FKBP4
NRIP1,FKBP4
HSF1,FKBP4
NR3C1,FKBP4
ESR1,FKBP4
GATA3,FKBP4
MAPK1,FKBP4
TLE3,FKBP4
NCOA3,FKBP4
EP300,FKBP4
FOXA1,FKBP4
ESR2,FKBP4
AKT1,FKBP4
PGR,FKBP4
MAPK3,FKBP4
AR,FKBP4
PA2G4,FUCA2
BMP4,FUCA2
CREG1,FUCA2
MEN1,FUCA2
MNDA,FUCA2
IL6,FUCA2
MAPK1,FUCA2
EGFR,CFTR
DAB2,CFTR
BIN1,CFTR
PSMD9,CFTR
F2,CFTR
EGF,CFTR
NFYC,CYP51A1
SP1,CYP51A1
NFYB,CYP51A1
NFYA,CYP51A1
SREBF2,CYP51A1
TP53BP1,USP28
MYC,USP28
FOXO1,PDK4
PPARGC1A,PDK4
AKT1,PDK4
TAX1BP3,USH1C
MAPK12,RALA
SRC,RALA
MAPK13,RALA
MAPK14,RALA
MAPK9,RALA
STAT4,RALA
MAPK8,RALA
MAPK10,RALA
MAPK11,RALA
MDM2,CACNG3
BMP4,TMEM132A
MEN1,TMEM132A
IL6,TMEM132A
APC,DVL2
EGFR,DVL2
PRKCA,DVL2
WWTR1,DVL2
CTNNB1,DVL2
DAB2,DVL2
BIN1,DVL2
PSMD9,DVL2
EGF,DVL2
NKD2,DVL2
ANKRD6,DVL2
NOTCH2,DVL2
NOTCH3,DVL2
SMURF2,DVL2
POLR2J,RPAP3
POLR2E,RPAP3
URI1,RPAP3
MED17,RPAP3
RUVBL2,RPAP3
RUVBL1,RPAP3
ZNHIT3,RPAP3
SRC,SKAP2
HOXA11,MEIS1
MEIS1,HOXA11
HOXA11,FOXO1
FOXO1,HOXA11
TNF,CX3CL1
IFNG,CX3CL1
IL4,CX3CL1
FIGLA,YBX2
SRC,ITGA3
EGFR,ITGA3
CITED2,TFAP2D
CITED1,TFAP2D
EP300,TFAP2D
TFAP2B,TFAP2D
TFAP2A,TFAP2D
CREBBP,TFAP2D
CITED4,TFAP2D
TFAP2C,TFAP2D
YEATS4,TFAP2D
CRY1,CSNK1E
CRY1,BHLHE40
BHLHE40,CRY1
CRY1,PPP1CA
CRY1,NR1D1
NR1D1,CRY1
CRY1,NR1D2
NR1D2,CRY1
CRY1,RORC
RORC,CRY1
CRY1,RORB
RORB,CRY1
CRY1,PER3
PER3,CRY1
CRY1,NFIL3
NFIL3,CRY1
CRY1,BTRC
CRY1,UBC
CRY1,FBXL3
CRY1,TEF
TEF,CRY1
CRY1,PER2
PER2,CRY1
CRY1,UBA52
CRY1,PPP2R1B
CRY1,CLOCK
CLOCK,CRY1
CRY1,ARNTL
ARNTL,CRY1
CRY1,UBB
CRY1,TIMELESS
TIMELESS,CRY1
CRY1,RPS27A
CRY1,RORA
RORA,CRY1
CRY1,ARNTL2
ARNTL2,CRY1
CRY1,PPP1CC
CRY1,OPN4
CRY1,CRY2
CRY1,CSNK1D
CRY1,PPP1CB
CRY1,PER1
PER1,CRY1
CRY1,NPAS2
NPAS2,CRY1
CRY1,BHLHE41
BHLHE41,CRY1
NFKB1,PGLYRP1
JUP,PGLYRP1
ILF2,PGLYRP1
CAMP,PGLYRP1
TOX4,STARD3NL
CREB1,CAMK1G
MIF,CD74
PTF1A,CPA1
MPHOSPH8,RANBP9
FMR1,RANBP9
SOS1,RANBP9
CDC5L,RANBP9
DAB2,CD4
BIN1,CD4
SCD5,CD4
EGFR,CD4
SLA2,CD4
EGF,CD4
NR3C1,PPP5C
HIST2H2BE,PPP5C
HIST1H2BJ,PPP5C
ESR1,PPP5C
ATM,PPP5C
WHSC1,PPP5C
PIAS4,PPP5C
TP53BP1,PPP5C
