Gene1,Gene2
ARID1A,KAT7
ARID1A,NUP107
ARID1A,MCRIP1
ARID1A,NFKBIA
ARID1A,SEC16A
ARID1A,C9orf163
ARID1A,RAD23A
ARID1A,ZC3H6
ARID1A,MRPL45
ARID1A,PDXDC1
ARID1A,TIGD1
ARID1A,EIF4E2
ARID1A,PUM2
ARID1A,ADI1
ARID1A,CCNT2
ARID1A,LONP1
ARID1A,CATSPERD
ARID1A,NRL
ARID1A,DCAF11
ARID1A,SRP54
ARID1A,GOLGA1
ARID1A,GDI2
ARID1A,TIMM13
ARID1A,HSP90AA1
ARID1A,RBM12
ARID1A,CPNE1
ARID1A,CBWD5
ARID1A,TSPAN10
ARID1A,NPLOC4
ARID1A,MAGOHB
ARID1A,IDE
ARID1A,GZF1
ARID1A,C14orf119
ARID1A,ACIN1
ARID1A,ASNSD1
ARID1A,ASDURF
ARID1A,BIRC6
ARID1A,CBWD3
ARID1A,BANP
ARID1A,MED23
ARID1A,PIGV
ARID1A,PRMT2
ARID1A,CPPED1
ARID1A,MRPL44
ARID1A,NANP
ARID1A,SUMO2
ARID1A,NDUFS7
ARID1A,SPRTN
ARID1A,EXOC8
ARID1A,XRCC5
ARID1A,TSGA10
ARID1A,THAP7
ARID1A,SMARCA4
ARID1A,GPCPD1
ARID1A,TAX1BP3
ARID1A,EMC6
ARID1A,GET4
ARID1A,ZC3H18
ARID1A,RBM17
ARID1A,VPS35
ARID1A,ORC6
ARID1A,PARD6B
ARID1A,FANCL
ARID1A,C6orf136
ARID1A,STX16
ARID1A,VARS2
ARID1A,PDAP1
ARID1A,BUD31
ARID1A,C2orf15
ARID1A,ZC3H8
ARID1A,PITPNB
ARID1A,PIAS4
ARID1A,GOPC
ARID1A,MAP1LC3B
ARID1A,FBXO31
ARID1A,TOLLIP
ARID1A,SLX4
ARID1A,RAB35
ARID1A,ALKBH5
ARID1A,DISP2
ARID1A,STX6
ARID1A,KDM4A
ARID1A,STK32C
ARID1A,LRRC27
ARID1A,RABEP1
ARID1A,CENPS-CORT
ARID1A,CENPS
ARID1A,SLC35E3
ARID1B,RAD51AP2
ARID1B,SEPT9
ARID1B,LYNX1-SLURP2
ARID1B,LYNX1
ARID1B,STK17A
ARID1B,EXD1
ARID1B,CHP1
ARID1B,ZSCAN30
ARID1B,ZYX
ARID1B,LOC100507507
ARID1B,CFAP410
ARID1B,C14orf119
ARID1B,ACIN1
ARID1B,HIST1H4J
ARID1B,HIST1H4K
ARID1B,IGSF8
ARID1B,DDX5
ARID1B,CEP95
ARID1B,ZNF784
ARID1B,ENOSF1
ARID1B,GRTP1
ARID1B,IMP4
ARID1B,CCDC115
ARID1B,NT5DC2
ARID1B,STX3
ARID1B,HIST2H4B
ARID1B,HIST2H4A
ARID1B,MIA3
ARID1B,PNKD
ARID1B,AAMP
ARID1B,RMDN2
ARID1B,WRAP53
ARID1B,GFOD2
ARID1B,MMP15
ARID1B,SUN2
ARID1B,DHCR24
ARID1B,KATNA1
ARID1B,SP5
ARID2,HNRNPA2B1
ARID2,CBX3
ARID2,SLC39A10
ARID2,SLITRK3
ARID2,PDXDC1
ARID2,CDK12
ARID2,RBM39
ARID2,ERCC6L2
ARID3A,SMARCD2
ARID3A,INTS5
ARID3A,REXO1
ARID3A,HEXIM2
ARID3A,KDM3A
ARID3A,MTRNR2L2
ARID3A,ILF2
ARID3A,ABCB8
ARID3A,CDK12
ARID3A,KDM5C
ARID3A,MTRNR2L8
ARID3A,PPP6R1
ARID3A,ANKRD36
ARID3A,DHX16
ARID3A,SIRT4
ARID3A,RGPD2
ARID3A,RTTN
ARID3A,RMND1
ARID3A,ARMT1
ARID3A,SLC33A1
ARID3A,TRMO
ARID3A,CFB
ARID3A,SLC25A25
ARID3A,NAIF1
ARID3A,PIH1D1
ARID3A,ASNSD1
ARID3A,ASDURF
ARID3A,KMO
ARID3A,RPL26
ARID3A,SP1
ARID3A,ANKRD40
ARID3A,BDH1
ARID3A,GRWD1
ARID3A,BCAS2
ARID3A,DNM2
ARID3A,OGT
ARID3A,DHX8
ARID3A,EPS15
ARID3A,COG3
ARID3A,PRMT5
ARID3A,TBL1X
ARID3A,TMCO6
ARID3A,PCNP
ARID3A,ANKRD36C
ARID3A,COX16
ARID3A,VNN3
ARID3A,DDX18
ARID3A,PSMB7
ARID3A,ACBD4
ARID3A,JADE1
ARID3A,SPRED2
ARID3A,C18orf63
ARID3A,KIF1BP
ARID3A,RBM25
ARID3A,FBXL18
ARID3A,TOM1L2
ARID3A,DRC3
ARID3A,MYNN
ARID3A,TOMM40L
ARID3A,TMEM114
ARID3A,TYW1B
ARID3A,LETM2
ARID3A,SAXO2
ARID3A,EFL1
ARID3A,PPP6R3
ARID3A,KHSRP
ARID3A,TFE3
ARID3A,ALKBH7
ARID3A,SP5
ARID3A,HIST1H4D
ARID3A,MTRNR2L9
ARID3A,ARNT
ARID3A,ANKRD36B
ARID3A,ZNF821
ARID3A,SPATA2
ARID3A,BCL2L1
ARID3A,EVI5L
ARID3A,KDM8
ARID3A,USPL1
ARID3A,HMGB1
ARID3A,ANKRD1
ARID3A,NR2F1
ARID3A,SP2
ARID3A,LEAP2
ARID3A,GPR108
ARID3A,UTP3
ARID3A,MTRNR2L10
ARID3A,ZSWIM3
ARID3A,ZNRD1
ARID3A,ACOT8
ARID3A,KCNMB3
ARID3A,RAB5B
ARID3A,TK2
ARID3A,ZNF789
ARID3A,PAFAH2
ARID3A,SUCLG1
ARID3A,REP15
ARID3A,CUL2
ARID3A,WDR43
ARID3A,KAT6B
ARID3A,PHB2
ARID3A,EMG1
ARID3A,ZW10
ARID3A,PABPN1
ARID3A,ZNF585B
ARID3A,AKR1B10
ARID3A,KNL1
ARID3A,KLK10
ARID3A,POLG
ARID3A,RPN2
ARID3A,HIST1H2BD
ARID3A,BTRC
ARID3A,CCDC12
ARID3A,PLEKHG2
ARID3A,THOC5
ARID3A,MIA3
ARID3A,RPL27
ARID3A,NCOA7
ARID3A,IFT46
ARID3A,TMEM41B
ARID3A,ATP5F1B
ARID3A,TIMM10
ARID3A,HAX1
ARID3A,COPS3
ARID3A,ATP6V1F
ARID3A,KRTAP2-3
ARID3A,SECISBP2
ARID3A,FGA
ARID3A,ATF7IP
ARID3A,SLC35E2A
ARID3A,HNRNPH2
ARID3A,GLA
ARID3A,TMEM160
ARID3A,KPNA6
ARID3A,SNRPC
ARID3A,FANCM
ARID3A,TBC1D10B
ARID3A,MYLPF
ARID3A,GRB7
ARID3A,CEP63
ARID3A,ANAPC13
ARID3A,ALOXE3
ARID3A,CYP7A1
ARID3A,NGDN
ARID3A,COQ7
ARID3A,PNN
ARID3A,REEP6
ARID3A,PCSK4
ARID3A,DCTN1
ARID3A,CENPU
ARID3A,NDUFAF5
ARID3A,FAM186A
ARID3A,ESF1
ARID3A,HMGN4
ARID3A,SCN2A
ARID3A,SARS
ARID3A,SRF
ARID3A,G6PC
ARID3A,EFHD1
ARID3A,RBM28
ARID3A,CEBPZOS
ARID3A,PEX3
ARID3A,MAPRE2
ARID3A,ADAT2
ARID3A,RPS29
ARID3A,YJU2
ARID3A,AZGP1
ARID3A,WDPCP
ARID3A,SSBP1
ARID3A,MDH1
ARID3A,MDC1
ARID3A,TUBD1
ARID3A,RPS6KB1
ARID3A,PPIL3
ARID3A,NIF3L1
ARID3A,ACOT7
ARID3A,GLTPD2
ARID3A,EIF3F
ARID3A,YWHAG
ARID3A,ZNF618
ARID3A,OS9
ARID3A,HEXIM1
ARID3A,AKR1C4
ARID3A,U2AF2
ARID3A,SIRT5
ARID3A,INO80C
ARID3A,BLOC1S5
ARID3A,SPRY1
ARID3A,CXCL17
ARID3A,UBB
ARID3A,CREBL2
ARID3A,PFDN4
ARID3A,CCL20
ARID3A,RAB11B
ARID3A,PPRC1
ARID3A,SLC18B1
ARID3A,CALM2
ARID3A,TNRC18
ARID3A,TUT1
ARID3A,CRLS1
ARID3A,RPL22L1
ARID3A,OSBP
ARID3A,MST1L
ARID3A,COPS4
ARID3A,AMBRA1
ARID3A,HBP1
ARID3A,MOK
ARID3A,LSG1
ARID3A,CTH
ARID3A,BPNT1
ARID3A,NFE2L2
ARID3A,INO80B
ARID3A,MED23
ARID3A,SRARP
ARID3A,STAT3
ARID3A,ATXN7L3B
ARID3A,FRRS1L
ARID3A,HIST1H2BO
ARID3A,HIST1H2AM
ARID3A,TMEM60
ARID3A,PHTF2
ARID3A,ACSM1
