Parent - Child Weight Probability Score
Ahcy	+	Ahcy	0.527679	0.999751	0.370931
Aqp3	+	Ahcy	0.195846	0.252374	0.034753
Atp12a	+	Ahcy	0.029549	0.015252	0.000317
Bmp4	+	Ahcy	0.032620	0.030718	0.000705
Cdx2	-	Ahcy	-0.021521	0.016698	-0.000253
Creb312	+	Ahcy	0.024049	0.034462	0.000583
Cebpa	-	Ahcy	-0.079717	0.074822	-0.004194
Dab2	+	Ahcy	0.107536	0.103410	0.007819
DppaI	-	Ahcy	-0.129273	0.097620	-0.008873
Eomes	+	Ahcy	0.024122	0.008422	0.000143
Esrrb	-	Ahcy	-0.025090	0.031054	-0.000548
Fgf4	+	Ahcy	0.011723	0.049002	0.000404
Fgfr2	+	Ahcy	0.120574	0.105696	0.008961
Fn1	-	Ahcy	-0.042905	0.037615	-0.001135
Gata3	-	Ahcy	-0.017433	0.025023	-0.000307
Gata4	-	Ahcy	-0.082086	0.088416	-0.005103
Gata6	+	Ahcy	0.195622	0.163525	0.022492
Grhl1	-	Ahcy	-0.033431	0.032738	-0.000770
Grhl2	-	Ahcy	-0.020768	0.029010	-0.000424
Hand1	-	Ahcy	-0.053918	0.067076	-0.002543
Hnf4a	-	Ahcy	-0.039628	0.031454	-0.000876
Id2	-	Ahcy	-0.085308	0.080389	-0.004822
Klf2	-	Ahcy	-0.170991	0.175351	-0.021082
Klf4	+	Ahcy	0.011508	0.037908	0.000307
Klf5	-	Ahcy	-0.355675	0.923642	-0.230987
Krt8	+	Ahcy	0.060177	0.062643	0.002651
Lcp1	-	Ahcy	-0.081345	0.056262	-0.003218
Mbnl3	-	Ahcy	-0.168741	0.126956	-0.015063
Msc	+	Ahcy	0.086210	0.068112	0.004129
Msx2	-	Ahcy	-0.007161	0.000545	-0.000003
Nanog	+	Ahcy	0.025894	0.033691	0.000613
Pdgfa	-	Ahcy	-0.112424	0.090628	-0.007164
Pdgfra	-	Ahcy	-0.001540	0.032991	-0.000036
Pecam1	-	Ahcy	-0.011822	0.020466	-0.000170
Pou5f1	+	Ahcy	0.180415	0.128935	0.016356
Runx1	-	Ahcy	-0.058715	0.056049	-0.002314
Sox2	+	Ahcy	0.025658	0.027750	0.000501
Sall4	+	Ahcy	0.401670	0.875689	0.247315
Sox17	-	Ahcy	-0.081272	0.053761	-0.003072
Snail	-	Ahcy	-0.082332	0.079853	-0.004623
Sox13	-	Ahcy	-0.017104	0.013571	-0.000163
Tcfap2a	+	Ahcy	0.000702	0.003160	0.000002
Tcfap2c	+	Ahcy	0.156921	0.135301	0.014928
Tcf23	+	Ahcy	0.079820	0.069720	0.003913
Utf1	+	Ahcy	0.081519	0.064258	0.003683
Tspan8	-	Ahcy	-0.079096	0.071602	-0.003982
Ahcy	-	Aqp3	-0.103116	0.021360	-0.001549
Aqp3	+	Aqp3	0.344878	0.104458	0.025330
Atp12a	+	Aqp3	0.050292	0.013412	0.000474
Bmp4	+	Aqp3	0.211438	0.104185	0.015489
Cdx2	+	Aqp3	0.108576	0.036844	0.002813
Creb312	-	Aqp3	-0.360643	0.144443	-0.036627
Cebpa	+	Aqp3	0.077713	0.033454	0.001828
Dab2	+	Aqp3	0.135196	0.067728	0.006438
DppaI	-	Aqp3	-0.141772	0.070735	-0.007051
Eomes	+	Aqp3	0.169313	0.062656	0.007459
Esrrb	+	Aqp3	0.101120	0.044994	0.003199
Fgf4	-	Aqp3	-0.002270	0.047334	-0.000076
Fgfr2	+	Aqp3	0.168304	0.068921	0.008156
Fn1	-	Aqp3	-0.054219	0.025098	-0.000957
Gata3	+	Aqp3	0.062971	0.031456	0.001393
Gata4	-	Aqp3	-0.048550	0.049265	-0.001682
Gata6	+	Aqp3	0.500063	0.347246	0.122094
Grhl1	-	Aqp3	-0.051383	0.027784	-0.001004
Grhl2	-	Aqp3	-0.100139	0.042477	-0.002991
Hand1	-	Aqp3	-0.001786	0.022489	-0.000028
Hnf4a	-	Aqp3	-0.317847	0.136144	-0.030426
Id2	+	Aqp3	0.082791	0.048578	0.002828
Klf2	+	Aqp3	0.288620	0.102088	0.020717
Klf4	-	Aqp3	-0.238861	0.094544	-0.015879
Klf5	+	Aqp3	0.251803	0.090681	0.016055
Krt8	+	Aqp3	0.292326	0.139883	0.028752
Lcp1	-	Aqp3	-0.032335	0.011448	-0.000260
Mbnl3	+	Aqp3	0.067285	0.030667	0.001451
Msc	+	Aqp3	0.108142	0.036334	0.002763
Msx2	-	Aqp3	-0.180608	0.073084	-0.009281
Nanog	+	Aqp3	0.027383	0.027586	0.000531
Pdgfa	+	Aqp3	0.121285	0.034953	0.002981
Pdgfra	-	Aqp3	-0.025009	0.035639	-0.000627
Pecam1	-	Aqp3	-0.104429	0.045960	-0.003375
Pou5f1	+	Aqp3	0.108931	0.034132	0.002614
Runx1	+	Aqp3	0.063596	0.031634	0.001415
Sox2	-	Aqp3	-0.173342	0.080767	-0.009844
Sall4	-	Aqp3	-0.659336	0.571330	-0.264865
Sox17	-	Aqp3	-0.164562	0.051364	-0.005943
Snail	+	Aqp3	0.132362	0.068667	0.006391
Sox13	+	Aqp3	0.096514	0.039435	0.002676
Tcfap2a	-	Aqp3	-0.066354	0.018962	-0.000885
