,HSC_2000_0,HSC_2000_1,HSC_2000_2,HSC_2000_3,HSC_2000_4,HSC_2000_5,HSC_2000_6,HSC_2000_7,HSC_2000_8,HSC_2000_9,HSC_2000_0_20,HSC_2000_1_20,HSC_2000_2_20,HSC_2000_3_20,HSC_2000_4_20,HSC_2000_5_20,HSC_2000_6_20,HSC_2000_7_20,HSC_2000_8_20,HSC_2000_9_20,HSC_2000_0_50,HSC_2000_1_50,HSC_2000_2_50,HSC_2000_3_50,HSC_2000_4_50,HSC_2000_5_50,HSC_2000_6_50,HSC_2000_7_50,HSC_2000_8_50,HSC_2000_9_50
GENIE3,0.46188094404485425,0.4713711456971601,0.475205632869351,0.48570001904116067,0.45458805905000765,0.45377828518868235,0.455000290592645,0.4682647340637176,0.48351646199043896,0.4675516554497414,0.45803485010907585,0.4900851098461986,0.48209114785754936,0.4631403138722261,0.4647610353183236,0.4726678447249877,0.4330325530432867,0.45164135771956815,0.46130444438267504,0.4736943559145662,0.4404958053090341,0.4375977788561922,0.43849585936949675,0.4347501515205232,0.4286526108390083,0.39313455279396586,0.4428698321802603,0.43802781767680365,0.4455583193034498,0.42179673392585626
GRISLI,0.33200239087858024,0.48598986705856073,0.36116371385063256,0.33394747979977796,0.39848814182003944,0.39260539531628624,0.30510332578495974,0.3811554057254623,0.2891867619350268,0.32337620071818435,0.34049718554185954,0.4859723842286495,0.35919055790403964,0.3440125863654326,0.4234503748943665,0.42385557278599795,0.34591114660726363,0.38951288776760395,0.26430459237406123,0.35785700760808237,0.3120103308745543,0.3928058369555831,0.2983218053327548,0.377625297577025,0.3525674177058403,0.35951387468763946,0.32867083902340477,0.31752907691574117,0.3443090486702701,0.29718499112830843
GRNBOOST2,0.4166421485448531,0.4537743206333363,0.4509113091141952,0.4469745898174071,0.41362844270586435,0.456665325375721,0.4514145217395632,0.5126416662518266,0.4617663493566334,0.43271698054649627,0.4262572073711933,0.4542489177613389,0.4908563084856774,0.44504007230404563,0.43847995660033545,0.41946260704475125,0.4808285839257517,0.42232268108117316,0.41216450386526887,0.42940300567508183,0.3962476417775793,0.40331528846761594,0.4533831802416599,0.400072789004242,0.4406288175773274,0.40986239688754517,0.4948869908379715,0.46080453815251754,0.3944375303094527,0.46556414266735613
GRNVBEM,0.3537920493082715,0.4517739797208947,0.4011581000562904,0.3062142506235237,0.3288017251017243,0.3689728386557347,0.3894000079911257,0.4297943881132912,0.30654343240758253,0.3228887414167178,0.353620542555687,0.454255767639177,0.41987558964153826,0.3056549540629742,0.32877509692938256,0.3700184952024619,0.36617049329692763,0.4235641312881123,0.279793851378054,0.34389293823497136,0.2974209633440061,0.4440533559795926,0.33364878605750165,0.2736047258803675,0.3059430292509589,0.3214591331211316,0.32928512185205616,0.3968741223055584,0.2601628318410918,0.2613043787777236
LEAP,0.34663889903383627,0.3533846171490548,0.3538769984972332,0.3527383706210152,0.33503934950597103,0.3374027383593726,0.34117331018799457,0.3063114205565961,0.31324734474492355,0.32560012986059994,0.34783327582621015,0.35026600147972276,0.3522782947411218,0.33852643769556756,0.339294311266791,0.33435333764689823,0.3250578165841394,0.3039032504751438,0.2794864682644282,0.32526581788384296,0.2643436515017574,0.2691522405158554,0.3057277440328332,0.2739803837236765,0.27397276033748746,0.2729983275745255,0.2528897316251344,0.2511168446407721,0.26650362226184326,0.2687609961460772
PIDC,0.46393583035186875,0.47198094481254155,0.4714199158591466,0.4734891268058983,0.4447061209517748,0.47022174091069324,0.44995412884117253,0.451980269707434,0.4817017783203813,0.4712699162614581,0.4713496815337551,0.4679986991100242,0.4796471083332312,0.46289801930139435,0.4614826953134939,0.4644815548916476,0.43962834263208767,0.46607213919631485,0.4606990054425236,0.45270371418386074,0.4548173387033136,0.44184962292400004,0.4628696649509483,0.4523208958041245,0.4330918511749652,0.4545429320346169,0.44361685592030325,0.44289806011355576,0.47367044825605564,0.4578328549844521
PPCOR,0.38069789289735184,0.44684961220484937,0.4042957010758312,0.4013908588252359,0.4119902444368144,0.45083970190539935,0.4573451670310171,0.4010535638686761,0.4018858524545674,0.4216179811387361,0.38471535327335704,0.4612943328523446,0.40255858038042786,0.40287013271806627,0.4262170193125375,0.4354545662815502,0.45640832049004987,0.39555695502512134,0.41641449779938355,0.41066249329811827,0.3438971639635699,0.4042484463552782,0.39349676159553615,0.3959983876624729,0.4047718901757879,0.38756685281955044,0.4166510344449036,0.3525336683142005,0.4029161839899568,0.40019536009259193
SCINGE,0.19092073444167773,0.22894211439291395,0.6181818181818182,0.20908364889422745,0.2119472756165987,0.21107238335484665,0.2066512701678242,0.22035816962820343,0.23673132496119656,0.20055453954472843,0.19287268826740414,0.22785783603673956,0.6181818181818182,0.20693131767303563,0.2105991881499344,0.2169803134726851,0.20681197310621527,0.20420589499656341,0.24285468841570168,0.2030234759779623,0.21407564116426692,0.21919419749531996,0.6181818181818182,0.22018760764011933,0.23232780427906294,0.21749883354401964,0.20665933643892473,0.21853741212439948,0.21046361588607265,0.20835872952050932
SCNS,0.32969307982723406,0.39117558285858767,0.32613783636212185,0.30449233474141274,0.3140481029129992,0.34436031013357726,0.36731446891612907,0.33162646449411154,0.3778742216987174,0.32290643584062745,0.32969307982723406,0.39117558285858767,0.32613783636212185,0.30449233474141274,0.3140481029129992,0.3530668394936096,0.36731446891612907,0.33162646449411154,0.33886382484439836,0.32290643584062745,0.3561042791633278,0.38434411581022543,0.3144585326231075,0.30111545845016746,0.3123136809045906,0.3283110653251323,0.3223306759059698,0.43088515127494686,0.3527495599461481,0.3116615443644798
SCODE,0.2637894053703924,0.29586059904140455,0.23009432986723402,0.20632008369966512,0.21702707828108397,0.2504197973426597,0.21917628407471285,0.21183593972156858,0.19587787303187978,0.20347421129356158,0.21799957238207568,0.243992864130672,0.24924979766942862,0.21649574646800807,0.25193473917329867,0.20705682436126993,0.21451162265891874,0.20794567264313743,0.2399105530982632,0.23690592658385878,0.22414079849308235,0.225388096364363,0.23592385886887604,0.2184492860512814,0.2264824126677499,0.20910985275850813,0.25836044009484066,0.23186285234609708,0.20707272065144539,0.23408619203946732
SCRIBE,0.33779053238886236,0.30149599799561233,0.4020436611220658,0.37166838809909414,0.35495981361878964,0.29875586741924454,0.3162579801704752,0.37361131645276846,0.36339103083745744,0.3062488899412461,0.3171967196946295,0.34962278865024043,0.36731305851343055,0.3855800449165104,0.32329584725562505,0.28197310414856835,0.3204023233411906,0.3146303940654143,0.32275667329530394,0.3269306816296733,0.3078083670023493,0.31099439654192684,0.4389295478619374,0.405541368082448,0.4367452483465439,0.2740275849836131,0.37086294623934124,0.3947583420231885,0.36922211833698426,0.24691189079562356
SINCERITIES,0.2700804013736609,0.2605855214795479,0.23507175251055223,0.23084670879081592,0.20286081335833644,0.2236053599104727,0.19665275542859423,0.22009719289107718,0.20435284932994974,0.22889549231686038,0.2401552868856534,0.26203093890799883,0.23775111436116061,0.28302912525929214,0.21356193158564635,0.22771675680157916,0.20710769265553686,0.22995119654207186,0.2045125946381676,0.2174895484857155,0.26081850875768864,0.24756024848389394,0.18042678066201068,0.18605274438618902,0.19434450169567932,0.25601627211257494,0.2043513613913877,0.22879305389196813,0.20309673941434875,0.22336748414930105
