,HSC_2000_0,HSC_2000_0_20,HSC_2000_0_50,HSC_2000_1,HSC_2000_1_20,HSC_2000_1_50,HSC_2000_2,HSC_2000_2_20,HSC_2000_2_50,HSC_2000_3,HSC_2000_3_20,HSC_2000_3_50,HSC_2000_4,HSC_2000_4_20,HSC_2000_4_50,HSC_2000_5,HSC_2000_5_20,HSC_2000_5_50,HSC_2000_6,HSC_2000_6_20,HSC_2000_6_50,HSC_2000_7,HSC_2000_7_20,HSC_2000_7_50,HSC_2000_8,HSC_2000_8_20,HSC_2000_8_50,HSC_2000_9,HSC_2000_9_20,HSC_2000_9_50
PIDC,0.375,0.4,0.4,0.4,0.4,0.3333333333333333,0.4,0.4375,0.4666666666666667,0.375,0.4,0.4,0.4,0.375,0.3333333333333333,0.4375,0.4,0.4,0.3333333333333333,0.375,0.4,0.4,0.4,0.3333333333333333,0.4,0.4,0.4,0.4666666666666667,0.4,0.4666666666666667
GRNVBEM,0.10526315789473684,0.10526315789473684,0.06666666666666667,0.06666666666666667,0.17647058823529413,0.06666666666666667,0.10526315789473684,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.045454545454545456,0.0,0.0,0.10526315789473684,0.10526315789473684,0.058823529411764705,0.05263157894736842,0.05263157894736842,0.0625,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.06666666666666667
GENIE3,0.4,0.4,0.26666666666666666,0.4666666666666667,0.4,0.26666666666666666,0.4666666666666667,0.4,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.4,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666
GRNBOOST2,0.4,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.4,0.26666666666666666,0.4,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.2,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.26666666666666666
PPCOR,0.2,0.2,0.25,0.4375,0.4375,0.25,0.3125,0.25,0.26666666666666666,0.25,0.25,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.4,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.2,0.2,0.1875,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.25
SCODE,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.2,0.06666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.2,0.06666666666666667
SCNS,0.375,0.375,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.4,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.4666666666666667,0.4,0.4666666666666667,0.3125,0.3125,0.4
SINCERITIES,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.2,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333
LEAP,0.2,0.2,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.2,0.2,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.2,0.13333333333333333,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.2,0.2,0.06666666666666667,0.1875
GRISLI,0.25,0.1875,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.25,0.26666666666666666,0.125,0.17647058823529413,0.1875,0.26666666666666666,0.35294117647058826,0.3333333333333333,0.25,0.25,0.25,0.13333333333333333,0.25,0.3333333333333333,0.375,0.13333333333333333,0.2,0.13333333333333333,0.1875,0.26666666666666666,0.2777777777777778,0.25,0.1875,0.23529411764705882
