,HSC_2000_0,HSC_2000_1,HSC_2000_2,HSC_2000_3,HSC_2000_4,HSC_2000_5,HSC_2000_6,HSC_2000_7,HSC_2000_8,HSC_2000_9,HSC_2000_0_20,HSC_2000_1_20,HSC_2000_2_20,HSC_2000_3_20,HSC_2000_4_20,HSC_2000_5_20,HSC_2000_6_20,HSC_2000_7_20,HSC_2000_8_20,HSC_2000_9_20,HSC_2000_0_50,HSC_2000_1_50,HSC_2000_2_50,HSC_2000_3_50,HSC_2000_4_50,HSC_2000_5_50,HSC_2000_6_50,HSC_2000_7_50,HSC_2000_8_50,HSC_2000_9_50
GENIE3,0.776098901098901,0.788003663003663,0.782051282051282,0.7852564102564102,0.7770146520146519,0.7783882783882784,0.7733516483516484,0.7806776556776557,0.7829670329670331,0.7857142857142857,0.7793040293040293,0.7930402930402931,0.7893772893772895,0.7811355311355311,0.7811355311355311,0.7870879120879122,0.782967032967033,0.7898351648351649,0.7875457875457876,0.7930402930402931,0.7486263736263736,0.7605311355311355,0.7687728937728938,0.7545787545787546,0.7495421245421245,0.7559523809523809,0.7509157509157509,0.76007326007326,0.7490842490842491,0.7586996336996338
GRISLI,0.5867673992673993,0.6678113553113554,0.6037087912087913,0.6011904761904762,0.6872710622710623,0.6032509157509158,0.6382783882783883,0.6481227106227107,0.5668498168498168,0.6016483516483516,0.6007326007326007,0.6659798534798536,0.6071428571428571,0.5890567765567765,0.6904761904761905,0.6014194139194139,0.6533882783882784,0.6456043956043955,0.5602106227106227,0.5853937728937729,0.6027930402930404,0.6298076923076923,0.574404761904762,0.6073717948717948,0.6561355311355311,0.600503663003663,0.6247710622710623,0.5888278388278388,0.530448717948718,0.5723443223443224
GRNBOOST2,0.7472527472527473,0.7861721611721613,0.7637362637362637,0.7568681318681318,0.7243589743589743,0.7628205128205129,0.7518315018315018,0.7614468864468864,0.782967032967033,0.7422161172161172,0.7335164835164835,0.7522893772893773,0.7893772893772893,0.7417582417582418,0.7193223443223443,0.7463369963369964,0.7678571428571428,0.7559523809523809,0.7321428571428572,0.766941391941392,0.7156593406593407,0.7358058608058609,0.7564102564102564,0.7371794871794872,0.7216117216117216,0.7380952380952381,0.7403846153846154,0.7129120879120879,0.7005494505494505,0.7280219780219781
GRNVBEM,0.592948717948718,0.633470695970696,0.6076007326007327,0.4887820512820513,0.5510531135531136,0.5693681318681318,0.5737179487179488,0.6721611721611722,0.4958791208791209,0.6011904761904762,0.5892857142857143,0.6192765567765567,0.6119505494505494,0.48420329670329676,0.5512820512820513,0.570970695970696,0.5036630036630036,0.6591117216117216,0.46794871794871795,0.614010989010989,0.5146520146520147,0.6018772893772893,0.5370879120879122,0.43727106227106227,0.5210622710622711,0.5238095238095238,0.5059523809523809,0.6227106227106227,0.46703296703296704,0.5068681318681318
LEAP,0.7236721611721612,0.7337454212454213,0.7319139194139195,0.7261904761904763,0.6998626373626373,0.7085622710622711,0.7126831501831502,0.6586538461538461,0.6522435897435898,0.7012362637362638,0.7255036630036631,0.7319139194139195,0.731456043956044,0.7138278388278388,0.7076465201465201,0.7103937728937729,0.6980311355311355,0.6623168498168498,0.6046245421245422,0.7048992673992674,0.5618131868131868,0.6096611721611722,0.6586538461538461,0.6190476190476191,0.5908882783882784,0.5938644688644689,0.554945054945055,0.5485347985347985,0.5684523809523809,0.5881410256410257
PIDC,0.7527472527472527,0.75,0.7545787545787546,0.7527472527472527,0.73992673992674,0.7509157509157509,0.7554945054945055,0.7490842490842491,0.7646520146520147,0.7518315018315018,0.7545787545787546,0.7490842490842491,0.7545787545787546,0.7417582417582418,0.73992673992674,0.7353479853479854,0.7371794871794872,0.7518315018315018,0.7426739926739927,0.7371794871794872,0.7408424908424908,0.7234432234432234,0.7445054945054945,0.7316849816849818,0.7197802197802199,0.7408424908424908,0.73992673992674,0.738095238095238,0.7481684981684982,0.7408424908424909
PPCOR,0.6735347985347986,0.7042124542124543,0.6829212454212453,0.6788003663003663,0.6913919413919415,0.719551282051282,0.7266483516483517,0.6895604395604396,0.6698717948717949,0.6810897435897435,0.674908424908425,0.7026098901098901,0.6840659340659341,0.6815476190476191,0.6989468864468865,0.710393772893773,0.7236721611721612,0.68246336996337,0.6842948717948718,0.676510989010989,0.6385073260073261,0.698489010989011,0.6767399267399268,0.6771978021978022,0.7085622710622711,0.6758241758241759,0.7131410256410257,0.6744505494505494,0.6916208791208791,0.6634615384615384
SCINGE,0.4143772893772894,0.45902014652014655,0.5,0.4761904761904763,0.483058608058608,0.4986263736263737,0.48145604395604397,0.45741758241758246,0.5203754578754579,0.44917582417582413,0.4210164835164836,0.4624542124542125,0.5,0.46382783882783885,0.48008241758241754,0.5176282051282051,0.48443223443223443,0.47435897435897445,0.5359432234432234,0.4576465201465202,0.3692765567765568,0.44963369963369965,0.5,0.44826007326007333,0.5380036630036631,0.5084706959706959,0.483974358974359,0.4436813186813187,0.46955128205128205,0.4750457875457876
SCNS,0.6577380952380953,0.6314102564102564,0.6366758241758241,0.5972985347985349,0.6183608058608059,0.6190476190476191,0.6085164835164836,0.6016483516483516,0.6098901098901099,0.6302655677655679,0.6577380952380953,0.6314102564102564,0.6366758241758241,0.5972985347985349,0.6183608058608059,0.6295787545787546,0.6085164835164836,0.6016483516483516,0.6050824175824174,0.6302655677655679,0.6941391941391941,0.6494963369963371,0.6302655677655677,0.5956959706959708,0.6314102564102564,0.6076007326007327,0.6330128205128206,0.6130952380952381,0.6032509157509157,0.6233974358974359
SCODE,0.5119047619047619,0.5357142857142857,0.4739010989010989,0.4798534798534798,0.4917582417582418,0.48580586080586086,0.51007326007326,0.4771062271062271,0.4271978021978022,0.461996336996337,0.49862637362637363,0.4935897435897436,0.5695970695970696,0.49633699633699635,0.5796703296703296,0.4537545787545787,0.4803113553113553,0.46886446886446886,0.4752747252747253,0.5178571428571428,0.4977106227106227,0.461996336996337,0.5173992673992674,0.49633699633699635,0.5210622710622711,0.46703296703296704,0.5732600732600732,0.4926739926739927,0.46153846153846156,0.4491758241758242
