,Spearman Median,Spearman MAD
GENIE3,0.9817505578973469,0.03915452927179897
GRISLI,0.5209468891452953,0.07208422333189225
GRNBOOST2,0.9080945833239411,0.023536719909626764
GRNVBEM,0.5668128495911713,0.08499967036698457
LEAP,0.7792432627885828,0.08486037919424838
PIDC,0.9601731601731601,0.015383772610883186
PPCOR,0.8540439835832356,0.04237933142492564
SCINGE,0.4793543193941435,0.09920313719455252
SCNS,0.774965406756175,0.0877320580807228
SCODE,0.5977007866916124,0.09674851028957647
SCRIBE,0.5899375605797624,0.06728057345823439
SINCERITIES,0.35961110197506624,0.20829575126589037
