,PseudoTime0,PseudoTime1,PseudoTime2
E128_3_685,,3.685,
E7_7_129,7.129,,
E127_4_245,,4.245,
E132_2_884,2.884,,
E11_1_202,,1.202,
E7_6_408,6.408,,
E106_0_32,0.32,,
E8_2_163,,2.163,
E126_4_245,,4.245,
E140_1_842,,,1.842
E136_1_842,,,1.842
E101_2_003,,2.003,
E17_4_325,,4.325,
E113_7_69,,,7.69
E93_4_085,4.085,,
E133_2_323,,2.323,
E75_0_0,0.0,,
E142_2_563,,,2.563
E3_3_605,,3.605,
E3_3_044,,3.044,
E41_1_121,,1.121,
E5_3_444,3.444,,
E46_4_085,,,4.085
E111_6_568,6.568,,
E146_5_287,,5.287,
E35_3_925,,3.925,
E25_4_325,4.325,,
E91_6_969,,6.969,
E46_6_168,,,6.168
E102_2_243,,,2.243
E83_4_005,,,4.005
E20_6_328,,,6.328
E128_2_323,,2.323,
E119_0_561,,0.561,
E126_0_961,,0.961,
E46_6_809,,,6.809
E64_4_806,4.806,,
E123_6_328,,6.328,
E53_4_646,,4.646,
E15_1_202,,1.202,
E70_5_126,5.126,,
E0_6_889,,6.889,
E121_4_806,,,4.806
E65_6_008,6.008,,
E40_5_927,5.927,,
E96_6_408,6.408,,
E0_1_442,,1.442,
E118_1_762,1.762,,
E16_3_605,3.605,,
E1_4_085,,,4.085
E20_3_124,,,3.124
E34_2_563,2.563,,
E65_5_447,5.447,,
E69_4_486,,4.486,
E93_7_61,7.61,,
E98_3_685,,,3.685
E68_6_328,,,6.328
E134_7_77,7.77,,
E78_5_367,,,5.367
E63_4_486,,,4.486
E115_5_046,,5.046,
E120_5_367,,5.367,
E132_1_282,1.282,,
E30_0_08,,0.08,
E66_4_245,,,4.245
E22_2_884,,,2.884
E52_5_126,,,5.126
E131_4_726,,4.726,
E119_0_801,,0.801,
E3_1_121,,1.121,
E143_1_041,,,1.041
E0_1_121,,1.121,
E134_4_886,4.886,,
E17_6_408,,6.408,
E4_1_282,,,1.282
E95_6_648,,,6.648
E6_5_367,,,5.367
E58_3_685,,,3.685
E69_4_806,,4.806,
E8_2_643,,2.643,
E2_5_527,5.527,,
E4_3_605,,,3.605
E62_0_641,,0.641,
E133_7_93,,7.93,
E6_5_287,,,5.287
E65_3_765,3.765,,
E52_6_969,,,6.969
E125_6_488,6.488,,
E35_4_245,,4.245,
E132_2_243,2.243,,
E106_4_806,4.806,,
E36_2_243,,2.243,
E68_5_367,,,5.367
E60_2_964,,2.964,
E60_5_847,,5.847,
E59_7_209,,7.209,
E109_1_442,,1.442,
E57_1_522,,1.522,
