Gene1,Gene2,Type
BCL6,EGR2,-
BCL6,FOS,-
BCL6,KLF13,-
BCL6,NFATC2,-
BCL6,SNAI3,-
CBFB,CEBPB,-
CBFB,LMO2,-
CBFB,NFATC2,-
CBFB,PPARG,-
CBFB,RUNX1,-
CBFB,TCFL5,-
CEBPB,KLF10,-
CEBPB,PPARG,-
CEBPB,PRDM1,-
CEBPB,SMAD4,-
CEBPB,SPI1,-
CEBPD,FOS,-
CEBPD,MYEF2,-
CEBPD,NFATC2,-
CEBPD,PPARG,-
CEBPD,PRDM1,-
CEBPD,RREB1,-
EGR2,ELK1,-
EGR2,KLF13,-
EGR2,MAFB,-
EGR2,NFATC1,-
EGR2,NFATC2,-
EGR2,PPARD,-
EGR2,PPARG,-
EGR2,PRDM1,-
EGR2,SNAI1,-
EGR2,SNAI3,-
EGR2,SPIB,-
ELK1,BCL6,-
ELK1,IRF8,-
ELK1,MAFB,-
ELK1,NFATC2,-
ELK1,PPARD,-
ELK1,PPARG,-
ELK1,PRDM1,-
ELK1,RREB1,-
ELK1,STAT1,-
ETS1,EGR2,-
ETS1,IRF8,-
ETS1,MAFB,-
ETS1,SPI1,-
ETS1,UHRF1,-
FLI1,LMO2,-
FLI1,NFATC2,-
FLI1,PPARG,-
FLI1,ETS1,-
FLI1,SPIB,-
FOS,BCL6,-
FOS,EGR2,-
FOS,IRF8,-
FOS,KLF13,-
FOS,MAFB,-
FOS,NFYC,-
FOS,PPARD,-
FOS,PRDM1,-
FOS,MYB,-
FOS,NFYA,-
FOS,TCFL5,-
FOSB,BCL6,-
FOSB,EGR2,-
FOSB,ETS1,-
FOSB,MAFB,-
HOXA10,BCL6,-
HOXA10,EGR2,-
HOXA10,ETS1,-
HOXA10,MAFB,-
HOXA10,NFATC2,-
HOXA10,PPARG,-
HOXA10,PRDM1,-
HOXA10,SNAI3,-
HOXA10,SPI1,-
HOXA13,BCL6,-
HOXA13,EGR2,-
HOXA13,MAFB,-
HOXA13,NFATC2,-
HOXA13,PPARG,-
HOXA13,PRDM1,-
HOXA13,SNAI3,-
HOXA13,SPIB,-
IRF8,FOS,-
IRF8,KLF10,-
JUN,FLI1,-
JUN,LMO2,-
JUN,MAFB,-
JUN,NFATC2,-
JUN,PPARG,-
JUN,PRDM1,-
JUN,SNAI1,-
JUN,SNAI3,-
JUN,STAT1,-
JUN,TCFL5,-
JUN,TFPT,-
KLF10,BCL6,-
KLF10,ETS1,-
KLF10,FOS,-
KLF10,LMO2,-
KLF10,PPARG,-
KLF10,PRDM1,-
KLF10,SMAD4,-
KLF13,BCL6,-
KLF13,NFATC2,-
KLF13,PPARG,-
KLF13,PRDM1,-
KLF13,RUNX1,-
LMO2,BCL6,-
LMO2,NFATC2,-
LMO2,PPARG,-
LMO2,SPIB,-
MAFB,BCL6,-
MAFB,ETS1,-
MAFB,NFATC2,-
MAFB,PPARG,-
MAFB,SNAI3,-
MYB,BCL6,-
MYB,EGR2,-
MYB,ETS1,-
MYB,FOS,-
MYB,JUN,-
MYB,MAFB,-
MYB,PPARD,-
MYB,PPARG,-
MYB,PRDM1,-
MYB,SNAI3,-
MYEF2,BCL6,-
MYEF2,ETS1,-
MYEF2,FOSB,-
MYEF2,PPARG,-
MYEF2,IRF8,-
MYEF2,MYB,-
MYEF2,NFYA,-
MYEF2,STAT1,-
NFATC1,BCL6,-
NFATC1,ETS1,-
NFATC1,FOS,-
NFATC1,IRF8,-
NFATC1,MAFB,-
NFATC1,STAT1,-
NFATC2,BCL6,-
NFATC2,EGR2,-
NFATC2,ETS1,-
NFATC2,HOXA10,-
NFATC2,HOXA13,-
NFATC2,MAFB,-
NFATC2,MYEF2,-
NFATC2,SNAI3,-
NFATC2,VDR,-
NFATC2,FLI1,-
NFATC2,MYB,-
NFATC2,SMAD3,-
NFATC2,SPI1,-
NFATC2,TCFL5,-
