,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E22_2_705,,2.705,,,
E44_2_104,,,2.104,,
E145_0_651,,0.651,,,
E69_4_208,,,,4.208,
E53_0_601,,0.601,,,
E75_3_808,,3.808,,,
E109_0_351,,,,0.351,
E71_0_752,,0.752,,,
E51_3_006,3.006,,,,
E87_0_601,0.601,,,,
E11_1_303,,,,1.303,
E52_4_008,,,,4.008,
E96_4_91,4.91,,,,
E61_3_006,,,,3.006,
E115_1_152,1.152,,,,
E20_0_601,0.601,,,,
E110_0_351,,0.351,,,
E52_2_956,,,,2.956,
E79_2_455,,2.455,,,
E97_1_503,,,,1.503,
E22_3_607,,3.607,,,
E147_2_405,,2.405,,,
E39_4_208,,4.208,,,
E116_2_355,,2.355,,,
E112_1_102,1.102,,,,
E117_0_401,0.401,,,,
E102_3_908,,,,3.908,
E77_0_852,,,,0.852,
E32_4_609,,,4.609,,
E122_3_707,,,,3.707,
E127_3_156,,3.156,,,
E136_0_601,0.601,,,,
E51_4_459,4.459,,,,
E66_3_056,3.056,,,,
E148_0_2,,,0.2,,
E112_2_906,2.906,,,,
E134_4_709,,,4.709,,
E146_1_603,,1.603,,,
E121_1_854,,,,1.854,
E59_2_104,,,,2.104,
E118_2_054,,2.054,,,
E108_0_301,,0.301,,,
E38_3_908,,,,,3.908
E127_1_052,,1.052,,,
E105_2_104,,,,2.104,
E58_2_405,,,,2.405,
E114_0_952,,0.952,,,
E148_4_609,,,4.609,,
E103_2_505,,2.505,,,
E123_3_006,3.006,,,,
E142_0_752,0.752,,,,
E46_1_603,1.603,,,,
E20_4_509,4.509,,,,
E138_2_154,2.154,,,,
E141_1_904,,,,1.904,
E124_1_503,,,,,1.503
E63_4_409,4.409,,,,
E69_3_808,,,,3.808,
E40_2_054,,2.054,,,
E143_3_557,,,,3.557,
E77_4_108,,,,4.108,
E82_2_054,2.054,,,,
E143_0_301,,,,0.301,
E66_3_257,3.257,,,,
E132_2_956,,,,2.956,
E102_2_305,,,,2.305,
E96_0_351,0.351,,,,
E127_0_752,,0.752,,,
E67_3_206,3.206,,,,
E56_3_808,3.808,,,,
E88_1_653,,1.653,,,
E111_4_208,,,4.208,,
E87_1_603,1.603,,,,
E87_2_605,2.605,,,,
E66_0_251,0.251,,,,
E102_3_056,,,,3.056,
E6_4_208,4.208,,,,
E60_0_401,,,,0.401,
E122_2_906,,,,2.906,
E118_0_0,,0.0,,,
E44_3_707,,,3.707,,
E22_2_655,,2.655,,,
E140_2_405,2.405,,,,
E54_2_605,2.605,,,,
E125_4_459,4.459,,,,
E42_3_206,,,,3.206,
E83_0_752,0.752,,,,
E118_3_457,,3.457,,,
E128_0_852,,,,0.852,
E67_1_754,1.754,,,,
E44_1_052,,,1.052,,
E81_4_158,4.158,,,,
E149_2_154,2.154,,,,
E56_0_501,0.501,,,,
E95_0_451,,,,0.451,
E2_4_659,4.659,,,,
E74_4_409,,,,4.409,
E67_4_609,4.609,,,,
E33_0_2,,,,0.2,
E59_4_76,,,,4.76,
E149_0_301,0.301,,,,
E108_0_601,,0.601,,,
E52_1_954,,,,1.954,
E104_2_605,,,,2.605,
E97_4_259,,,,4.259,
E24_2_605,,2.605,,,
E56_4_76,4.76,,,,
E35_2_054,,,,,2.054
E16_4_559,,,,4.559,
E12_0_952,,,,0.952,
E149_4_309,4.309,,,,
E141_1_102,,,,1.102,
E1_4_008,4.008,,,,
E93_2_605,,,,2.605,
E68_3_958,,3.958,,,
E111_3_908,,,3.908,,
E94_0_802,,0.802,,,
E76_1_503,,,,1.503,
E135_2_355,2.355,,,,
E124_1_152,,,,,1.152
E112_2_756,2.756,,,,
E38_1_002,,,,,1.002
E118_1_703,,1.703,,,
E17_1_653,,1.653,,,
E129_3_758,,3.758,,,
E98_4_158,,4.158,,,
E109_0_651,,,,0.651,
E41_3_257,,3.257,,,
E131_4_309,,4.309,,,
E27_3_357,3.357,,,,
E64_4_359,,,,4.359,
E25_1_453,1.453,,,,
E6_2_455,2.455,,,,
E114_1_754,,1.754,,,
E136_0_2,0.2,,,,
E68_2_204,,2.204,,,
E95_4_91,,,,4.91,
E8_4_509,,,,4.509,
E147_2_305,,2.305,,,
E79_0_952,,0.952,,,
E18_0_401,,,,0.401,
E115_3_958,3.958,,,,
E105_1_804,,,,1.804,
E122_0_401,,,,0.401,
E47_1_703,,1.703,,,
E99_1_202,,1.202,,,
E65_2_204,2.204,,,,
E43_1_653,,1.653,,,
E118_0_401,,0.401,,,
E26_4_709,,,,4.709,
E40_1_453,,1.453,,,
E127_3_006,,3.006,,,
E31_1_002,,,,,1.002
E132_1_553,,,,1.553,
E47_4_509,,4.509,,,
E130_0_701,0.701,,,,
E25_4_459,4.459,,,,
E33_2_806,,,,2.806,
E116_2_505,,2.505,,,
E106_2_605,,,2.605,,
E19_4_81,4.81,,,,
E144_0_852,,0.852,,,
E44_3_006,,,3.006,,
E113_2_154,2.154,,,,
E62_4_91,,,,,4.91
E67_1_703,1.703,,,,
E5_1_754,,,,1.754,
E44_1_403,,,1.403,,
E117_0_1,0.1,,,,
E29_2_255,,2.255,,,
E146_1_754,,1.754,,,
E52_1_353,,,,1.353,
E46_2_405,2.405,,,,
E143_1_603,,,,1.603,
E76_3_457,,,,3.457,
E115_3_808,3.808,,,,
E58_0_852,,,,0.852,
E17_2_756,,2.756,,,
E22_4_459,,4.459,,,
E73_3_858,,3.858,,,
E136_2_004,2.004,,,,
E44_1_904,,,1.904,,
E131_2_605,,2.605,,,
E105_4_409,,,,4.409,
E0_2_655,,,,2.655,
E12_4_709,,,,4.709,
E33_0_05,,,,0.05,
E33_4_208,,,,4.208,
E47_4_459,,4.459,,,
E73_4_91,,4.91,,,
E26_3_607,,,,3.607,
E71_0_401,,0.401,,,
E70_2_305,,,,2.305,
E12_3_657,,,,3.657,
E135_1_503,1.503,,,,
E95_3_106,,,,3.106,
E144_1_603,,1.603,,,
E9_2_054,,,,2.054,
E14_0_902,,0.902,,,
E89_3_908,,,,3.908,
E90_4_359,4.359,,,,
E17_1_403,,1.403,,,
E0_1_403,,,,1.403,
E133_2_204,,2.204,,,
E13_4_309,,4.309,,,
E56_2_154,2.154,,,,
E39_0_651,,0.651,,,
E133_3_758,,3.758,,,
E57_0_301,,0.301,,,
E131_3_657,,3.657,,,
E94_3_557,,3.557,,,
E82_3_457,3.457,,,,
E131_4_459,,4.459,,,
E8_1_253,,,,1.253,
E143_1_102,,,,1.102,
E48_2_655,,2.655,,,
E93_4_709,,,,4.709,
E136_4_509,4.509,,,,
E96_4_709,4.709,,,,
E132_3_507,,,,3.507,
E2_0_251,0.251,,,,
E45_0_852,,0.852,,,
E3_0_551,,0.551,,,
E59_3_557,,,,3.557,
E117_1_804,1.804,,,,
E134_0_401,,,0.401,,
E53_2_104,,2.104,,,
E29_0_802,,0.802,,,
E45_1_703,,1.703,,,
E129_4_709,,4.709,,,
E148_2_756,,,2.756,,
E87_1_002,1.002,,,,
E86_3_457,,3.457,,,
E146_2_405,,2.405,,,
E143_3_357,,,,3.357,
E42_4_459,,,,4.459,
E23_3_858,,,3.858,,
E110_2_455,,2.455,,,
E78_4_86,,,,4.86,
E111_2_054,,,2.054,,
E130_2_956,2.956,,,,
E84_3_257,,3.257,,,
E112_0_2,0.2,,,,
E36_2_154,2.154,,,,
E83_3_307,3.307,,,,
E121_3_257,,,,3.257,
E106_2_555,,,2.555,,
E88_2_505,,2.505,,,
E125_3_557,3.557,,,,
E31_3_307,,,,,3.307
E10_3_858,3.858,,,,
E74_3_657,,,,3.657,
E121_3_557,,,,3.557,
E148_3_006,,,3.006,,
E131_2_956,,2.956,,,
E34_4_058,,,4.058,,
E113_4_058,4.058,,,,
E102_0_902,,,,0.902,
E133_3_908,,3.908,,,
E67_3_607,3.607,,,,
E66_4_559,4.559,,,,
E148_3_307,,,3.307,,
E8_3_106,,,,3.106,
E85_0_15,,0.15,,,
E12_0_902,,,,0.902,
E69_2_605,,,,2.605,
E117_2_605,2.605,,,,
E135_4_208,4.208,,,,
E116_0_05,,0.05,,,
E84_4_058,,4.058,,,
E116_2_806,,2.806,,,
E86_4_008,,4.008,,,
E78_0_0,,,,0.0,
E138_4_409,4.409,,,,
E37_0_902,0.902,,,,
E129_0_802,,0.802,,,
E89_3_357,,,,3.357,
E90_2_906,2.906,,,,
E85_4_108,,4.108,,,
E6_3_858,3.858,,,,
E15_4_609,,4.609,,,
E86_0_05,,0.05,,,
E119_0_501,,,,,0.501
E113_4_459,4.459,,,,
E88_2_555,,2.555,,,
E89_0_551,,,,0.551,
E61_0_301,,,,0.301,
E87_2_906,2.906,,,,
E63_1_453,1.453,,,,
E138_2_505,2.505,,,,
E144_1_754,,1.754,,,
E148_1_954,,,1.954,,
E130_3_257,3.257,,,,
E25_2_054,2.054,,,,
E96_2_305,2.305,,,,
E126_2_204,,,,2.204,
E116_0_401,,0.401,,,
E124_2_154,,,,,2.154
E35_4_459,,,,,4.459
E87_1_954,1.954,,,,
E121_0_802,,,,0.802,
E102_1_453,,,,1.453,
E149_1_253,1.253,,,,
E56_3_557,3.557,,,,
E110_1_102,,1.102,,,
E24_3_056,,3.056,,,
E101_1_904,,1.904,,,
E19_4_058,4.058,,,,
E4_4_108,,,,4.108,
E87_1_152,1.152,,,,
E142_0_651,0.651,,,,
E128_0_952,,,,0.952,
E46_3_858,3.858,,,,
E77_3_808,,,,3.808,
E28_2_956,,,,2.956,
E99_4_509,,4.509,,,
E129_1_904,,1.904,,,
E148_3_758,,,3.758,,
E46_3_557,3.557,,,,
E79_3_958,,3.958,,,
E49_2_455,,,,,2.455
E39_4_359,,4.359,,,
E112_4_81,4.81,,,,
E6_0_601,0.601,,,,
E125_3_808,3.808,,,,
E11_4_459,,,,4.459,
E84_3_707,,3.707,,,
E70_4_459,,,,4.459,
E101_2_255,,2.255,,,
E142_2_154,2.154,,,,
E5_1_703,,,,1.703,
E22_1_854,,1.854,,,
E102_2_154,,,,2.154,
E90_1_603,1.603,,,,
E12_1_453,,,,1.453,
E74_2_204,,,,2.204,
E130_3_206,3.206,,,,
E106_0_0,,,0.0,,
E7_0_902,0.902,,,,
E83_1_453,1.453,,,,
E85_2_255,,2.255,,,
E13_3_006,,3.006,,,
E1_0_852,0.852,,,,
E115_3_407,3.407,,,,
E114_2_856,,2.856,,,
E149_4_409,4.409,,,,
E120_2_305,2.305,,,,
E112_0_401,0.401,,,,
E62_4_81,,,,,4.81
E43_3_758,,3.758,,,
E41_1_253,,1.253,,,
E57_3_858,,3.858,,,
E69_2_856,,,,2.856,
E122_1_553,,,,1.553,
E92_0_251,,0.251,,,
E60_3_607,,,,3.607,
E96_1_403,1.403,,,,
E51_4_76,4.76,,,,
E96_1_202,1.202,,,,
E147_4_359,,4.359,,,
E110_4_559,,4.559,,,
E43_4_559,,4.559,,,
E146_1_152,,1.152,,,
E12_1_102,,,,1.102,
E92_2_455,,2.455,,,
E6_4_609,4.609,,,,
E121_3_407,,,,3.407,
E144_3_758,,3.758,,,
E76_2_455,,,,2.455,
E1_2_104,2.104,,,,
E24_0_401,,0.401,,,
E135_0_501,0.501,,,,
E144_1_202,,1.202,,,
E7_4_208,4.208,,,,
E65_3_106,3.106,,,,
E98_2_655,,2.655,,,
E27_1_152,1.152,,,,
E67_3_657,3.657,,,,
E114_2_054,,2.054,,,
E87_1_353,1.353,,,,
E141_3_908,,,,3.908,
E13_0_902,,0.902,,,
E128_1_754,,,,1.754,
E63_1_052,1.052,,,,
E135_4_609,4.609,,,,
E81_1_403,1.403,,,,
E142_1_804,1.804,,,,
E53_4_309,,4.309,,,
E47_2_455,,2.455,,,
E125_0_802,0.802,,,,
E92_4_158,,4.158,,,
E13_4_96,,4.96,,,
E10_4_158,4.158,,,,
E18_3_808,,,,3.808,
E44_0_451,,,0.451,,
E116_1_102,,1.102,,,
E125_0_0,0.0,,,,
E149_1_603,1.603,,,,
E69_4_96,,,,4.96,
E53_1_904,,1.904,,,
E8_2_806,,,,2.806,
E60_1_152,,,,1.152,
E76_1_202,,,,1.202,
E20_0_902,0.902,,,,
E39_1_353,,1.353,,,
E70_2_004,,,,2.004,
E59_1_804,,,,1.804,
E123_1_954,1.954,,,,
E103_2_756,,2.756,,,
E38_3_206,,,,,3.206
E2_4_609,4.609,,,,
E118_3_206,,3.206,,,
E56_0_601,0.601,,,,
E65_3_958,3.958,,,,
E88_0_651,,0.651,,,
E138_4_709,4.709,,,,
E62_3_858,,,,,3.858
E62_0_902,,,,,0.902
E104_2_505,,,,2.505,
E132_1_002,,,,1.002,
E68_1_152,,1.152,,,
E56_4_709,4.709,,,,
E14_3_056,,3.056,,,
E139_4_709,4.709,,,,
E21_2_355,,2.355,,,
E18_1_303,,,,1.303,
E147_4_91,,4.91,,,
E88_0_701,,0.701,,,
E12_1_303,,,,1.303,
E135_2_405,2.405,,,,
E130_3_006,3.006,,,,
E116_4_459,,4.459,,,
E118_1_954,,1.954,,,
E116_1_353,,1.353,,,
E67_4_259,4.259,,,,
E133_1_403,,1.403,,,
E127_3_407,,3.407,,,
E11_0_752,,,,0.752,
E85_1_553,,1.553,,,
E24_0_05,,0.05,,,
E133_3_357,,3.357,,,
E125_1_954,1.954,,,,
E139_2_104,2.104,,,,
E120_4_108,4.108,,,,
E124_2_655,,,,,2.655
E4_2_054,,,,2.054,
E147_0_301,,0.301,,,
E133_0_401,,0.401,,,
E88_0_451,,0.451,,,
E9_4_559,,,,4.559,
E113_0_15,0.15,,,,
E105_3_858,,,,3.858,
E130_4_81,4.81,,,,
E34_0_802,,,0.802,,
E20_0_05,0.05,,,,
E10_3_357,3.357,,,,
E141_3_607,,,,3.607,
E97_4_459,,,,4.459,
E118_1_653,,1.653,,,
E75_3_106,,3.106,,,
E141_4_359,,,,4.359,
E84_3_106,,3.106,,,
E103_3_607,,3.607,,,
E74_3_858,,,,3.858,
E26_1_453,,,,1.453,
E77_3_156,,,,3.156,
E4_0_301,,,,0.301,
E16_2_255,,,,2.255,
E99_4_259,,4.259,,,
E10_3_557,3.557,,,,
E7_4_008,4.008,,,,
E136_1_303,1.303,,,,
E74_0_451,,,,0.451,
E133_0_651,,0.651,,,
E71_3_257,,3.257,,,
E12_0_2,,,,0.2,
E114_1_603,,1.603,,,
E43_4_108,,4.108,,,
E48_2_054,,2.054,,,
E98_1_854,,1.854,,,
E102_4_459,,,,4.459,
E145_0_2,,0.2,,,
E92_2_305,,2.305,,,
E58_2_956,,,,2.956,
E100_1_553,,,,1.553,
E145_0_601,,0.601,,,
E33_3_607,,,,3.607,
E131_3_357,,3.357,,,
E12_2_054,,,,2.054,
E15_2_455,,2.455,,,
E21_2_004,,2.004,,,
E0_0_05,,,,0.05,
E16_4_76,,,,4.76,
E21_4_108,,4.108,,,
E96_3_357,3.357,,,,
E81_1_603,1.603,,,,
E65_1_904,1.904,,,,
E48_1_002,,1.002,,,
E123_4_81,4.81,,,,
E41_3_156,,3.156,,,
E105_3_758,,,,3.758,
E147_3_707,,3.707,,,
E6_3_557,3.557,,,,
E127_0_351,,0.351,,,
E26_4_409,,,,4.409,
E50_4_86,,4.86,,,
E3_3_707,,3.707,,,
E10_1_703,1.703,,,,
E72_3_457,3.457,,,,
E124_1_002,,,,,1.002
E84_1_553,,1.553,,,
E16_2_906,,,,2.906,
E53_3_307,,3.307,,,
E124_2_004,,,,,2.004
E129_3_056,,3.056,,,
E46_1_052,1.052,,,,
E81_3_257,3.257,,,,
E116_4_81,,4.81,,,
E108_4_259,,4.259,,,
E1_2_956,2.956,,,,
E24_0_2,,0.2,,,
E127_4_158,,4.158,,,
E110_3_106,,3.106,,,
E52_3_056,,,,3.056,
E20_3_808,3.808,,,,
E7_1_703,1.703,,,,
E68_4_709,,4.709,,,
E63_3_357,3.357,,,,
E112_0_651,0.651,,,,
E48_0_401,,0.401,,,
E39_3_557,,3.557,,,
E139_4_108,4.108,,,,
E100_4_76,,,,4.76,
E8_4_559,,,,4.559,
E17_4_659,,4.659,,,
E14_1_854,,1.854,,,
E126_2_455,,,,2.455,
E134_2_906,,,2.906,,
E63_4_86,4.86,,,,
E28_4_158,,,,4.158,
E79_3_858,,3.858,,,
E52_0_701,,,,0.701,
E114_3_607,,3.607,,,
E31_1_553,,,,,1.553
E104_1_052,,,,1.052,
E92_2_505,,2.505,,,
E132_4_76,,,,4.76,
E37_4_359,4.359,,,,
E11_4_359,,,,4.359,
E116_3_607,,3.607,,,
E86_4_409,,4.409,,,
E126_3_958,,,,3.958,
E32_4_86,,,4.86,,
E130_1_453,1.453,,,,
E3_0_0,,0.0,,,
E8_1_904,,,,1.904,
E40_1_002,,1.002,,,
E146_0_301,,0.301,,,
E124_0_651,,,,,0.651
E123_1_503,1.503,,,,
E2_0_952,0.952,,,,
E5_0_651,,,,0.651,
E128_1_653,,,,1.653,
E11_3_006,,,,3.006,
E22_1_152,,1.152,,,
E113_0_651,0.651,,,,
E12_1_553,,,,1.553,
E67_1_553,1.553,,,,
E37_3_156,3.156,,,,
E41_1_854,,1.854,,,
E87_4_96,4.96,,,,
E22_1_503,,1.503,,,
E137_0_601,,,,0.601,
E68_2_305,,2.305,,,
E60_0_802,,,,0.802,
E85_0_852,,0.852,,,
E36_3_307,3.307,,,,
E58_2_154,,,,2.154,
E41_4_609,,4.609,,,
E102_2_355,,,,2.355,
E122_1_954,,,,1.954,
E80_4_459,,4.459,,,
E7_3_758,3.758,,,,
E52_3_006,,,,3.006,
E97_2_505,,,,2.505,
E138_0_251,0.251,,,,
E29_0_952,,0.952,,,
E21_0_501,,0.501,,,
E123_0_601,0.601,,,,
E122_0_852,,,,0.852,
E57_3_557,,3.557,,,
E69_0_2,,,,0.2,
E90_1_854,1.854,,,,
E145_0_852,,0.852,,,
E97_3_758,,,,3.758,
