,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E139_2_856,2.856,,,,
E109_2_956,,,,2.956,
E68_3_106,,3.106,,,
E138_3_257,3.257,,,,
E45_4_459,,4.459,,,
E63_3_557,3.557,,,,
E51_4_81,4.81,,,,
E53_1_553,,1.553,,,
E149_1_453,1.453,,,,
E76_2_054,,,,2.054,
E60_3_858,,,,3.858,
E65_4_459,4.459,,,,
E84_3_006,,3.006,,,
E41_0_501,,0.501,,,
E114_3_357,,3.357,,,
E89_4_81,,,,4.81,
E115_1_052,1.052,,,,
E140_0_1,0.1,,,,
E81_3_958,3.958,,,,
E58_1_303,,,,1.303,
E34_2_305,,,2.305,,
E43_3_958,,3.958,,,
E19_1_152,1.152,,,,
E35_3_858,,,,,3.858
E126_0_551,,,,0.551,
E122_1_453,,,,1.453,
E89_3_457,,,,3.457,
E21_2_355,,2.355,,,
E78_4_309,,,,4.309,
E120_1_904,1.904,,,,
E125_3_156,3.156,,,,
E115_0_451,0.451,,,,
E78_0_501,,,,0.501,
E131_3_257,,3.257,,,
E6_2_505,2.505,,,,
E24_4_058,,4.058,,,
E32_4_058,,,4.058,,
E127_4_008,,4.008,,,
E59_4_509,,,,4.509,
E4_0_401,,,,0.401,
E48_3_307,,3.307,,,
E50_0_301,,0.301,,,
E94_1_553,,1.553,,,
E55_4_91,,,,4.91,
E37_2_405,2.405,,,,
E18_2_555,,,,2.555,
E54_2_856,2.856,,,,
E121_0_2,,,,0.2,
E35_3_056,,,,,3.056
E21_2_154,,2.154,,,
E122_3_758,,,,3.758,
E65_0_1,0.1,,,,
E4_0_451,,,,0.451,
E67_2_505,2.505,,,,
E88_3_457,,3.457,,,
E113_1_403,1.403,,,,
E70_4_309,,,,4.309,
E140_1_904,1.904,,,,
E126_2_956,,,,2.956,
E138_1_503,1.503,,,,
E75_3_307,,3.307,,,
E1_1_403,1.403,,,,
E134_2_255,,,2.255,,
E56_4_309,4.309,,,,
E73_0_451,,0.451,,,
E104_1_303,,,,1.303,
E87_0_251,0.251,,,,
E123_3_707,3.707,,,,
E97_1_954,,,,1.954,
E53_3_808,,3.808,,,
E54_0_251,0.251,,,,
E73_0_401,,0.401,,,
E104_2_455,,,,2.455,
E128_4_208,,,,4.208,
E144_3_006,,3.006,,,
E77_3_557,,,,3.557,
E86_1_804,,1.804,,,
E33_1_703,,,,1.703,
E71_0_251,,0.251,,,
E141_2_906,,,,2.906,
E145_4_509,,4.509,,,
E30_0_05,,,,0.05,
E52_1_954,,,,1.954,
E64_0_501,,,,0.501,
E149_0_601,0.601,,,,
E91_3_507,,,,3.507,
E14_2_655,,2.655,,,
E107_4_058,,,,,4.058
E140_3_357,3.357,,,,
E33_1_804,,,,1.804,
