,PseudoTime0,PseudoTime1,PseudoTime2
E6_6_008,,,6.008
E129_6_568,,,6.568
E5_4_726,4.726,,
E127_3_284,,3.284,
E22_6_889,,,6.889
E67_3_605,,3.605,
E68_5_687,,,5.687
E118_4_165,4.165,,
E0_0_08,,0.08,
E14_4_245,,,4.245
E79_2_403,2.403,,
E44_4_966,4.966,,
E145_3_364,,,3.364
E93_5_287,5.287,,
E13_5_767,,,5.767
E144_3_444,3.444,,
E131_5_126,,5.126,
E31_7_69,,7.69,
E139_2_723,,,2.723
E59_4_085,,4.085,
E107_2_884,,2.884,
E91_4_646,,4.646,
E106_6_008,6.008,,
E95_0_16,,,0.16
E34_7_85,7.85,,
E23_0_481,0.481,,
E121_6_248,,,6.248
E5_0_24,0.24,,
E5_6_969,6.969,,
E82_5_447,5.447,,
E65_7_209,7.209,,
E121_7_85,,,7.85
E118_5_767,5.767,,
E3_7_449,,7.449,
E82_0_32,0.32,,
E124_4_646,4.646,,
E10_6_648,,,6.648
E25_2_964,2.964,,
E67_4_566,,4.566,
E0_2_403,,2.403,
E147_1_522,,,1.522
E129_1_041,,,1.041
E7_1_041,1.041,,
E127_5_207,,5.207,
E58_4_486,,,4.486
E82_3_044,3.044,,
E56_2_323,,,2.323
E124_4_726,4.726,,
E69_1_041,,1.041,
E62_5_527,,5.527,
E17_0_881,,0.881,
E6_2_243,,,2.243
E35_2_964,,2.964,
E140_4_566,,,4.566
E146_2_723,,2.723,
E131_6_488,,6.488,
E23_3_204,3.204,,
E4_3_605,,,3.605
E121_3_204,,,3.204
E20_3_204,,,3.204
E93_5_927,5.927,,
E68_0_481,,,0.481
E115_4_085,,4.085,
E80_1_442,,1.442,
E58_3_204,,,3.204
E37_5_687,5.687,,
E139_2_083,,,2.083
E75_2_643,2.643,,
E144_2_323,2.323,,
E107_1_842,,1.842,
E96_6_728,6.728,,
E105_1_762,1.762,,
E106_4_566,4.566,,
E75_6_889,6.889,,
E82_3_845,3.845,,
E37_6_408,6.408,,
E14_2_003,,,2.003
E146_5_287,,5.287,
E23_0_16,0.16,,
