,PseudoTime0,PseudoTime1,PseudoTime2
E87_6_648,,,6.648
E96_2_323,,,2.323
E63_4_646,4.646,,
E72_2_003,,,2.003
E60_1_362,,1.362,
E117_7_61,,7.61,
E70_4_966,,,4.966
E6_5_847,5.847,,
E111_1_602,,,1.602
E122_6_168,6.168,,
E1_0_961,0.961,,
E90_2_723,,,2.723
E72_4_486,,,4.486
E110_0_16,,0.16,
E54_2_643,,,2.643
E93_5_847,,,5.847
E136_2_563,2.563,,
E111_3_765,,,3.765
E46_1_522,1.522,,
E40_3_685,,,3.685
E13_6_088,6.088,,
E27_6_568,,6.568,
E98_6_728,6.728,,
E30_0_801,,0.801,
E134_4_325,,,4.325
E109_1_922,,1.922,
E147_4_245,4.245,,
E45_0_0,,0.0,
E7_4_726,,,4.726
E108_0_961,,0.961,
E15_0_0,,0.0,
E136_6_969,6.969,,
E21_0_08,,,0.08
E70_6_088,,,6.088
E42_5_607,5.607,,
E75_1_762,,,1.762
E31_1_282,,1.282,
E102_4_646,4.646,,
E89_1_682,,,1.682
E53_0_16,,0.16,
E107_7_129,,7.129,
E9_5_687,,5.687,
E140_2_723,2.723,,
E30_7_85,,7.85,
E100_3_685,,3.685,
E109_6_969,,6.969,
E72_1_762,,,1.762
E63_7_77,7.77,,
E97_0_801,,0.801,
E1_0_561,0.561,,
E43_0_721,,0.721,
E77_2_243,,,2.243
E43_5_927,,5.927,
E112_0_0,,0.0,
E111_5_607,,,5.607
E117_5_847,,5.847,
E47_2_804,2.804,,
E75_0_561,,,0.561
E112_3_925,,3.925,
E145_3_364,3.364,,
E2_6_889,,,6.889
E147_3_605,3.605,,
E73_3_845,,3.845,
E113_3_284,3.284,,
E125_0_881,,,0.881
E149_7_129,,,7.129
E86_1_282,,,1.282
E63_2_163,2.163,,
E28_4_726,,4.726,
E111_4_245,,,4.245
E83_4_486,4.486,,
E46_2_964,2.964,,
E62_7_129,,7.129,
E102_7_289,7.289,,
E106_6_088,,,6.088
E135_7_289,,,7.289
E4_1_762,1.762,,
E142_5_607,5.607,,
E54_5_207,,,5.207
E130_0_401,,0.401,
E15_5_687,,5.687,
E147_7_93,7.93,,
E56_7_77,7.77,,
E6_3_845,3.845,,
E128_2_643,,2.643,
E115_0_561,,0.561,
E2_7_529,,,7.529
E96_7_049,,,7.049
E147_0_481,0.481,,
E31_3_124,,3.124,
E130_4_646,,4.646,
E36_6_809,,6.809,
E139_4_085,4.085,,
E14_2_804,2.804,,
E14_2_243,2.243,,
E60_4_406,,4.406,
E107_1_762,,1.762,
E15_0_721,,0.721,
E10_1_121,1.121,,
E4_1_202,1.202,,
E112_7_529,,7.529,
E138_7_77,,7.77,
E31_5_847,,5.847,
E90_4_486,,,4.486
E110_6_488,,6.488,
E106_2_563,,,2.563
E13_2_483,2.483,,
E13_1_041,1.041,,
E87_2_563,,,2.563
