,Spearman Median,Spearman MAD
GENIE3,0.9881695162466575,0.007479801122865712
GRISLI,0.7536666396564298,0.07723935809246026
GRNBOOST2,0.9554331091483672,0.03032605167108633
GRNVBEM,0.6761119243071286,0.07278184853681807
LEAP,0.9366339842800422,0.042778124511387405
PIDC,0.8935064935064935,0.050625198820204824
PPCOR,0.8424322615784784,0.06723088987323568
SCINGE,0.5340926390716972,0.10539777452676305
SCNS,0.6984113564546939,0.18861227545183368
SCODE,0.6967830807876185,0.11931759102216995
SCRIBE,0.5941982011182239,0.08858231124530798
SINCERITIES,0.6880013225087765,0.10533732362977889
