,dyn-LI_500_0,dyn-LI_500_1,dyn-LI_500_2,dyn-LI_500_3,dyn-LI_500_4,dyn-LI_500_5,dyn-LI_500_6,dyn-LI_500_7,dyn-LI_500_8,dyn-LI_500_9,dyn-LI_2000_0,dyn-LI_2000_1,dyn-LI_2000_2,dyn-LI_2000_3,dyn-LI_2000_4,dyn-LI_2000_5,dyn-LI_2000_6,dyn-LI_2000_7,dyn-LI_2000_8,dyn-LI_2000_9,dyn-LI_5000_0,dyn-LI_5000_1,dyn-LI_5000_2,dyn-LI_5000_3,dyn-LI_5000_4,dyn-LI_5000_5,dyn-LI_5000_6,dyn-LI_5000_7,dyn-LI_5000_8,dyn-LI_5000_9
GENIE3,0.3828098488812774,0.3883594346829641,0.37847381376793143,0.36913007627293337,0.3865882133739277,0.37514132692704116,0.3905599360956504,0.3951930014430014,0.4062877598591884,0.3788860998945032,0.38466513645085065,0.3850052725052725,0.3802695320552463,0.39605751391465677,0.39264326942898364,0.37514132692704116,0.3727027932385075,0.36265748723731916,0.35221997890065115,0.4770218926731532,0.372233817769532,0.3862219130076272,0.376357967429396,0.3810937078794221,0.372233817769532,0.39095765345765343,0.376357967429396,0.3769106885178314,0.3806358324215467,0.3766448828948829
GRISLI,0.7679937022042285,0.813590136571503,0.7618167546738974,0.7627341705913133,0.8880218754168332,0.7245710429920955,0.6609095655806181,0.6978933018830875,0.7324933003504432,0.8627450980392155,0.9023809523809523,0.8865927419354838,0.870036048607477,0.8413910391742903,0.8949999999999998,0.8620129870129869,0.7974967061923584,0.7390951208069434,0.8073725216582359,0.8305555555555555,0.8687641723356008,0.8983625070581591,0.8825611325611324,0.8402885292047853,0.8935164835164835,0.8664339419978517,0.8654487601492209,0.870036048607477,0.8600972009357102,0.8865927419354838
GRNBOOST2,0.3394919331368911,0.3943576178824626,0.35085267207115944,0.4399159897059057,0.3684626881055453,0.3718667805624327,0.3454854669140383,0.48139134930609584,0.31832140902337946,0.35886058386058384,0.3527842979910649,0.36798340548340547,0.3923392972654056,0.36163056520199377,0.4033403018651466,0.362484587115129,0.36424085174085175,0.36308759658513357,0.32408532901143733,0.34202409522606564,0.37355291533862955,0.34202709988424274,0.31917606203320487,0.33869899079526405,0.368478593109135,0.35366789295360723,0.3453883331988922,0.3329622758194187,0.33636402417458316,0.35398165582497376
GRNVBEM,0.7981185481185482,0.6023597317714965,0.7535975928833072,0.6973599539389013,0.7952380952380953,0.7467948717948718,0.68699553370606,0.7020689324116743,0.6897875816993464,0.8598639455782313,0.6807142857142857,0.7026785714285714,0.7170329670329669,0.6605149236728184,0.7020408163265306,0.687078568657516,0.610571745327843,0.6425070028011204,0.6858266733266734,0.670211038961039,0.6714015151515151,0.7170329670329669,0.6563436563436564,0.6714015151515151,0.6153552330022918,0.6652148664343785,0.610571745327843,0.6111513486513487,0.7115384615384615,0.6618381618381619
LEAP,0.5423628425729266,0.5450771404795904,0.5910264105642257,0.6775871842990069,0.5568394587580483,0.5816389434561704,0.5442019968335758,0.5565843782230337,0.5636108319955033,0.556217517242362,0.6139602219306053,0.6153901653901654,0.6153901653901654,0.616317809174952,0.6105061500738191,0.617941570567621,0.6210598611914402,0.612561558734487,0.6275773725021845,0.6188877642825011,0.540683758444624,0.5412354425328935,0.5346754592525269,0.5424247431766229,0.5373498420960827,0.5417279830592524,0.5402882306768861,0.5434075394418325,0.546261068529976,0.54578164599173
PIDC,0.4616071428571428,0.46216759431045146,0.4907796451914099,0.4616071428571428,0.5077947845804988,0.513095238095238,0.5188492063492063,0.4962585034013605,0.4616071428571428,0.4645354645354645,0.4579051796157059,0.4479966986794718,0.44251700680272105,0.47828282828282825,0.46609977324263036,0.47096088435374145,0.4733287545787546,0.44367615467239524,0.4794937205651491,0.485204081632653,0.48314393939393935,0.47828282828282825,0.47096088435374145,0.4793019480519481,0.47607600732600736,0.47828282828282825,0.4684676434676434,0.46889880952380947,0.47828282828282825,0.47096088435374145
PPCOR,0.46309523809523806,0.467687074829932,0.467687074829932,0.49319727891156456,0.4761904761904762,0.4880952380952381,0.46309523809523806,0.46904761904761905,0.4829931972789116,0.4880952380952381,0.491921768707483,0.5084415584415584,0.496031746031746,0.5068027210884353,0.525,0.5119047619047618,0.5101190476190476,0.4808673469387755,0.48484848484848486,0.43154761904761896,0.5039682539682538,0.504599567099567,0.4837662337662338,0.49567099567099565,0.5322510822510822,0.49761904761904757,0.500631313131313,0.4986263736263736,0.49567099567099565,0.5108225108225107
SCINGE,0.8255256648113789,0.9999999999999998,0.5850494743351885,0.3335755514326943,0.5833333333333334,0.9020146520146519,0.38984190412761843,0.5833333333333334,0.6613378684807256,0.39886621315192744,0.7444444444444445,0.8401360544217688,0.5738095238095238,0.9999999999999998,0.803030303030303,0.8799058084772369,0.8784013605442176,0.8313775510204082,0.8139455782312925,0.9020146520146519,0.5160674369320986,0.6134092098377812,0.6790970933828075,0.5058873549419768,0.6888036262892253,0.7846371882086167,0.632727391655963,0.5937856223570509,0.4739979325063358,0.5833333333333334
SCNS,0.22505668934240364,0.1800379216013891,0.17083225304640912,0.2322747280730474,0.17309422557751902,0.1704719387755102,0.1855764638361548,0.157222678343368,0.21611721611721613,0.322779181602711,0.16420841063698208,0.18584183673469387,0.2348015897180128,0.18001823917972984,0.25660122744750075,0.16467897182182897,0.15696805247297857,0.18099162742019886,0.2604141656662665,0.18660387231815803,0.15820335578400094,0.3098649249909754,0.24669416072065842,0.1584338280766852,0.3004715916800896,0.34183673469387754,0.2282979320760562,0.16408730158730156,0.16198979591836737,0.15314188916673388
SCODE,0.2130439440875858,0.14592112438937382,0.19316180186942283,0.20777992573124418,0.18376527884746338,0.17961850790568928,0.1927118811951658,0.22477711180165844,0.1670129059291621,0.1843251262570738,0.21027139833549874,0.20598401753863937,0.17201733752169274,0.19761548617960747,0.17130909650464587,0.18462510955462083,0.15020845983133338,0.16848797106844615,0.20760426775793406,0.2115865659633484,0.1679373479843273,0.16530607300731143,0.18752485963439314,0.14874416024671777,0.15564685709422554,0.18908932200526274,0.20501592549455172,0.17809072853829888,0.23752956359200228,0.1986611623696612
