,mCAD_2000_0,mCAD_2000_1,mCAD_2000_2,mCAD_2000_3,mCAD_2000_4,mCAD_2000_5,mCAD_2000_6,mCAD_2000_7,mCAD_2000_8,mCAD_2000_9,mCAD_2000_0_20,mCAD_2000_1_20,mCAD_2000_2_20,mCAD_2000_3_20,mCAD_2000_4_20,mCAD_2000_5_20,mCAD_2000_6_20,mCAD_2000_7_20,mCAD_2000_8_20,mCAD_2000_9_20,mCAD_2000_0_50,mCAD_2000_1_50,mCAD_2000_2_50,mCAD_2000_3_50,mCAD_2000_4_50,mCAD_2000_5_50,mCAD_2000_6_50,mCAD_2000_7_50,mCAD_2000_8_50,mCAD_2000_9_50
GENIE3,1.25,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0
GRISLI,0.5,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.25,0.5,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.25,1.0,1.25,1.25,1.0,1.0,1.0,1.0,1.5,1.0,1.0
GRNBOOST2,1.0,1.25,1.0,0.75,1.0,1.25,0.75,1.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0,0.75
GRNVBEM,0.75,0.75,1.25,0.75,1.0,1.25,1.25,1.25,1.0,0.5,1.25,0.75,1.25,0.75,1.0,1.0,1.5,1.25,1.0,0.5,1.0,0.75,1.25,1.0,1.25,1.25,1.5,1.5,1.0,0.75
LEAP,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,0.75,1.0,0.75,1.0,0.75
SCINGE,0.75,1.25,1.0,1.25,1.5,0.75,1.5,0.75,1.5,1.25,0.75,1.25,1.0,1.25,1.5,1.25,1.5,0.75,1.5,1.25,0.75,1.25,1.25,1.25,1.25,0.75,1.25,0.5,1.0,1.0
SCNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCODE,1.0,1.0,0.75,0.75,0.25,0.75,0.75,1.0,0.75,0.25,1.0,1.0,1.0,0.75,0.5,1.0,0.75,1.25,1.0,0.75,1.0,1.25,0.75,0.75,0.75,0.75,1.0,1.0,1.5,1.0
SCRIBE,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.25,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0
SINCERITIES,1.0,1.25,0.0,0.25,0.0,1.25,1.25,1.0,0.75,0.5,0.5,1.25,0.0,0.25,0.0,1.25,1.0,1.0,0.5,0.5,1.0,1.25,0.25,0.5,0.0,0.5,0.75,1.0,0.5,0.0
