,mCAD_2000_0,mCAD_2000_1,mCAD_2000_2,mCAD_2000_3,mCAD_2000_4,mCAD_2000_5,mCAD_2000_6,mCAD_2000_7,mCAD_2000_8,mCAD_2000_9,mCAD_2000_0_20,mCAD_2000_1_20,mCAD_2000_2_20,mCAD_2000_3_20,mCAD_2000_4_20,mCAD_2000_5_20,mCAD_2000_6_20,mCAD_2000_7_20,mCAD_2000_8_20,mCAD_2000_9_20,mCAD_2000_0_50,mCAD_2000_1_50,mCAD_2000_2_50,mCAD_2000_3_50,mCAD_2000_4_50,mCAD_2000_5_50,mCAD_2000_6_50,mCAD_2000_7_50,mCAD_2000_8_50,mCAD_2000_9_50
GENIE3,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5147327116203634,0.5115747176535459,0.5147327116203634,0.5147327116203634,0.542667063593177,0.5395090696263594,0.5379311603561424,0.5379980806153704,0.5395090696263594,0.5323838230780359,0.5356347388289517,0.5395090696263594,0.542667063593177,0.5464005096343153
GRISLI,0.6592702703279626,0.8018384393384395,0.7002546374003864,0.7909878107127453,0.7273015684006396,0.8044749870541725,0.6788255045607987,0.7306963197026307,0.7894972758645656,0.7273349822691928,0.6592702703279626,0.8052038239538241,0.7002546374003864,0.7909878107127453,0.7273015684006396,0.8030129987500789,0.6755059074912017,0.737542695489528,0.7879418460003123,0.7338368137710243,0.6673547920154254,0.8687572661256872,0.6877178377178378,0.746512094121644,0.7226554791957269,0.7319677149145475,0.6599919562589245,0.7021899067564702,0.805172313232268,0.697345819220075
GRNBOOST2,0.5015566719737355,0.48782816506083954,0.4967664489991234,0.5210707080884504,0.513997866400224,0.48303214408834794,0.49529765635386025,0.49912050519933354,0.49002596725864167,0.5026708355878992,0.5123934122028906,0.5235257285581767,0.47371421528512503,0.5029689380636034,0.49463332571215407,0.4920185610082014,0.4717966883675981,0.47285204640825024,0.5057655695367055,0.5265236576024859,0.5015683778395138,0.5076889286522532,0.5154365229383091,0.5147916212812617,0.5158320338601358,0.5399564474582336,0.5119624329257575,0.48668770765103225,0.5244444684341089,0.5089623727335087
GRNVBEM,0.6096117233828593,0.5712616119558249,0.5941385025363354,0.6736861482038905,0.5007288672997771,0.5922298907860947,0.5923162671257456,0.7397543717098969,0.6440324685502109,0.515503549928413,0.6602754447003077,0.5559685716627846,0.589864998262831,0.6967630712808135,0.5007288672997771,0.5922298907860947,0.5563272561367346,0.7134723204278455,0.6352419001442579,0.515503549928413,0.5904665899843323,0.5674557364587729,0.5523217188926286,0.5773313659759838,0.48761697918788893,0.5654420042131403,0.5492324349924373,0.7021003245253066,0.5965411401199684,0.5296618503483234
LEAP,0.6365731854211254,0.5790847717020616,0.647790779746305,0.6221953815547527,0.6238497289670188,0.60601332643039,0.6246879242056667,0.6337911042081679,0.664507399602065,0.5644596909005101,0.6365731854211254,0.5790847717020616,0.647790779746305,0.6221953815547527,0.6238497289670188,0.60601332643039,0.6246879242056667,0.6337911042081679,0.664507399602065,0.5644596909005101,0.6101043582452846,0.6163736608381167,0.6609878045666329,0.6478806502830079,0.5950425346992982,0.5748018371113155,0.6122961466704024,0.5790364913459698,0.6602719225814009,0.6184507096063419
PIDC,0.5168956043956043,0.5168956043956043,0.508562271062271,0.5235347985347985,0.5566391941391942,0.5566391941391942,0.5509539072039072,0.5566391941391942,0.5649725274725275,0.508562271062271,0.5168956043956043,0.5168956043956043,0.508562271062271,0.5235347985347985,0.5566391941391942,0.508562271062271,0.5168956043956043,0.5566391941391942,0.5649725274725275,0.508562271062271,0.5168956043956043,0.5235347985347985,0.5235347985347985,0.5235347985347985,0.5235347985347985,0.5223443223443223,0.5112103174603174,0.5235347985347985,0.5168956043956043,0.5112103174603174
PPCOR,0.5722527472527472,0.5912545787545788,0.58079332947754,0.5303571428571429,0.565570458952812,0.5451770451770452,0.5578921078921079,0.5688186813186813,0.5912545787545788,0.5536172161172161,0.5738553113553113,0.5912545787545788,0.5856170789994319,0.5687755871579401,0.5576007326007326,0.512619752042829,0.5507326007326007,0.5688186813186813,0.5912545787545788,0.5537114845938376,0.5705155138978668,0.5683233433233433,0.5332289055973266,0.6540777849601378,0.5413946347769877,0.5439504123327652,0.6487543802946278,0.6539835164835165,0.6474385908209438,0.5383699633699632
SCINGE,0.6886783559577676,0.5436704473320334,0.8803083040639602,0.8139827922335662,0.5939063817159792,0.697885501250886,0.7750377503473479,0.5135412685737167,0.7231735763112281,0.6931377441126786,0.6886783559577676,0.5436704473320334,0.873517831464664,0.8140959144055119,0.5933021656705867,0.6954136141636142,0.7750377503473479,0.51371033028124,0.7185622902936548,0.679996718471653,0.6717964529318423,0.571237071123949,0.7041404852193135,0.80475257423638,0.6470432963347943,0.6575392232334362,0.7893537552191399,0.6278116198915794,0.7981420844245326,0.8505239983746771
SCNS,0.5775641025641025,0.5682234432234432,0.6059523809523809,0.5682234432234432,0.5682234432234432,0.5938644688644688,0.5938644688644688,0.5938644688644688,0.5682234432234432,0.5682234432234432,0.5682234432234432,0.5682234432234432,0.6059523809523809,0.5682234432234432,0.5682234432234432,0.5938644688644688,0.5938644688644688,0.5938644688644688,0.5682234432234432,0.5682234432234432,0.5711538461538461,0.5682234432234432,0.5682234432234432,0.5682234432234432,0.5682234432234432,0.5938644688644688,0.5938644688644688,0.5938644688644688,0.5938644688644688,0.5682234432234432
SCODE,0.8335520301851569,0.8551341371179426,0.8841632276854947,0.856518650040917,0.78991297428723,0.955161943319838,0.8220646900927919,0.7837185303516572,0.8536229657061998,0.887464388235405,0.8644529390986879,0.8709293995478204,0.9376098009582172,0.8178236194490063,0.8172843998635853,0.8570279896071751,0.8544673328312289,0.7912473294811351,0.8740899623252563,0.9124467465798733,0.8495107891169451,0.8597398440515849,0.8503499203159837,0.9586991439932617,0.769502992112542,0.8635717438736012,0.8710202222362855,0.8052656797834219,0.7644844835247311,0.8770691941357573
SCRIBE,0.5182616016594346,0.676179591788963,0.527847905250263,0.5373720851929948,0.6181896650490364,0.49034133816224784,0.5626262114086596,0.5201878805087902,0.498934134255044,0.5260123978717691,0.5182616016594346,0.6664726320820034,0.5359974480151903,0.5498873477082574,0.6165944653769135,0.47778146214083345,0.5592097560691274,0.5337564700389181,0.49343962876053854,0.5398037347400291,0.5336725267006287,0.6410840971629255,0.5437637202045393,0.5397351601522238,0.56101110642817,0.5009120174829272,0.5499094948606738,0.5924408412232895,0.5722970458532497,0.5214401005110103
SINCERITIES,0.6556283460129614,0.6260056183133107,0.5666250416250417,0.6685167522271593,0.6674280847357771,0.6658701875048029,0.4925111747227131,0.5902637960330268,0.5560522810522811,0.5060911310911311,0.6629793283639438,0.629393896701589,0.5666250416250417,0.6779864491968564,0.6711615307769154,0.6587731179077332,0.5808952265683034,0.642186232570848,0.5921841513187667,0.5357725074071228,0.6344516594516594,0.5562894370586678,0.5707984323368939,0.6530641492745564,0.6748474282128128,0.708093016209532,0.5976029187002037,0.6587724775224775,0.5234186753417522,0.48197310168464014
