,PseudoTime0,PseudoTime1,PseudoTime2
E56_0_641,,,0.641
E92_3_204,,,3.204
E1_0_961,,,0.961
E33_2_884,,2.884,
E145_6_969,,,6.969
E94_0_0,,0.0,
E66_5_207,,,5.207
E134_4_726,4.726,,
E80_2_483,,2.483,
E49_1_121,1.121,,
E115_3_925,,3.925,
E21_2_003,2.003,,
E73_4_085,,4.085,
E14_4_566,,,4.566
E60_6_168,,6.168,
E103_2_483,,2.483,
E88_6_648,6.648,,
E104_0_641,,0.641,
E28_4_085,,4.085,
E78_1_202,,,1.202
E88_2_163,2.163,,
E39_0_961,,0.961,
E106_2_643,2.643,,
E129_2_083,,,2.083
E81_0_401,0.401,,
E136_4_886,,,4.886
E105_5_527,5.527,,
E80_5_367,,5.367,
E11_1_922,,1.922,
E42_5_607,,,5.607
E117_4_085,,4.085,
E56_5_527,,,5.527
E29_6_648,,,6.648
E15_3_444,,3.444,
E5_0_0,0.0,,
E17_1_362,,1.362,
E145_6_568,,,6.568
E63_0_0,,,0.0
E26_0_401,0.401,,
E40_5_046,5.046,,
E130_5_687,,5.687,
E78_2_003,,,2.003
E144_0_32,0.32,,
E51_5_847,,5.847,
E51_6_728,,6.728,
E1_0_881,,,0.881
E88_6_568,6.568,,
E20_6_969,,,6.969
E12_3_524,3.524,,
E130_3_925,,3.925,
E2_2_964,2.964,,
E123_4_886,,4.886,
E89_4_726,4.726,,
E85_7_369,,7.369,
E70_1_282,1.282,,
E20_5_126,,,5.126
E140_4_486,,,4.486
E11_2_003,,2.003,
E76_6_728,6.728,,
E53_3_925,,3.925,
E130_5_126,,5.126,
E84_5_527,,,5.527
E147_2_723,,,2.723
E95_2_003,,,2.003
E3_4_726,,4.726,
E45_5_767,,5.767,
E51_7_69,,7.69,
E63_7_209,,,7.209
E44_3_444,3.444,,
E22_5_847,,,5.847
E122_0_721,,,0.721
E74_1_682,,1.682,
E76_4_966,4.966,,
E144_1_762,1.762,,
E125_1_041,1.041,,
E106_6_328,6.328,,
E148_1_041,,1.041,
E107_6_088,,6.088,
E34_2_563,2.563,,
E145_6_248,,,6.248
E96_4_085,4.085,,
E39_3_605,,3.605,
E123_6_408,,6.408,
E111_0_801,0.801,,
E106_6_408,6.408,,
E75_7_529,7.529,,
E16_2_003,2.003,,
E63_2_723,,,2.723
E20_2_884,,,2.884
E12_6_809,6.809,,
