,PseudoTime0,PseudoTime1
E63_0_801,,0.801
E24_2_563,,2.563
E120_2_643,2.643,
E135_0_401,0.401,
E101_6_008,6.008,
E108_0_721,,0.721
E48_5_607,,5.607
E56_4_806,,4.806
E63_3_765,,3.765
E1_1_121,,1.121
E131_4_486,,4.486
E40_4_245,,4.245
E136_5_367,5.367,
E48_1_121,,1.121
E135_3_364,3.364,
E108_3_685,,3.685
E112_3_124,3.124,
E20_3_524,3.524,
E109_6_969,6.969,
E133_6_728,,6.728
E80_4_726,,4.726
E107_6_728,6.728,
E86_3_605,,3.605
E80_5_207,,5.207
E85_6_408,6.408,
E101_7_85,7.85,
E80_5_527,,5.527
E54_3_925,,3.925
E51_1_522,1.522,
E88_7_529,7.529,
E86_6_728,,6.728
E17_5_367,,5.367
E78_4_486,,4.486
E55_2_163,,2.163
E88_6_488,6.488,
E0_2_083,2.083,
E94_1_202,1.202,
E106_7_209,,7.209
E51_4_165,4.165,
E40_1_842,,1.842
E15_0_0,0.0,
E121_6_728,6.728,
E126_4_325,,4.325
E123_3_364,,3.364
E119_6_648,,6.648
E4_2_003,2.003,
E96_5_607,,5.607
E110_4_325,,4.325
E49_7_209,7.209,
E119_0_16,,0.16
E109_1_602,1.602,
E121_7_69,7.69,
E88_1_202,1.202,
E79_1_362,,1.362
E110_1_282,,1.282
E85_0_881,0.881,
E24_7_69,,7.69
E66_5_607,,5.607
E56_0_961,,0.961
E1_4_886,,4.886
E86_0_16,,0.16
E125_5_046,,5.046
E17_6_488,,6.488
E109_0_881,0.881,
E0_7_93,7.93,
E107_6_889,6.889,
E133_7_049,,7.049
E121_3_765,3.765,
E15_1_762,1.762,
E78_0_32,,0.32
E88_3_765,3.765,
E41_6_969,6.969,
E10_5_046,,5.046
E37_1_282,,1.282
E42_7_369,,7.369
E16_7_369,,7.369
E128_0_561,,0.561
E131_3_605,,3.605
E31_2_804,2.804,
E98_3_524,3.524,
E42_4_325,,4.325
E109_6_809,6.809,
E135_4_085,4.085,
E15_6_809,6.809,
E80_7_61,,7.61
E0_6_088,6.088,
E135_7_129,7.129,
E94_6_408,6.408,
E70_2_964,2.964,
E17_2_804,,2.804
E2_2_323,,2.323
E88_5_767,5.767,
E51_1_202,1.202,
E10_3_524,,3.524
E94_4_646,4.646,
E54_0_721,,0.721
E15_6_328,6.328,
E37_5_447,,5.447
E63_6_008,,6.008
E107_2_083,2.083,
E107_0_561,0.561,
E1_3_925,,3.925
E123_5_527,,5.527
E112_0_0,0.0,
E79_7_61,,7.61
E24_0_401,,0.401
E125_0_16,,0.16
E108_6_969,,6.969
E37_2_403,,2.403
E101_2_723,2.723,
E94_2_723,2.723,
E41_2_403,2.403,
E88_4_406,4.406,
E47_6_408,,6.408
E66_4_486,,4.486
E96_0_481,,0.481
E86_5_126,,5.126
E107_2_964,2.964,
E36_0_721,0.721,
E120_1_282,1.282,
E2_5_207,,5.207
E20_1_842,1.842,
E112_2_723,2.723,
E47_6_648,,6.648
E126_3_044,,3.044
E44_6_728,6.728,
E136_0_561,0.561,
E36_6_889,6.889,
E4_4_325,4.325,
E14_0_0,0.0,
E15_7_69,7.69,
E135_7_449,7.449,
E42_6_008,,6.008
E85_2_003,2.003,
E25_5_126,5.126,
E101_6_809,6.809,
E131_6_969,,6.969
E109_0_641,0.641,
E10_5_927,,5.927
E126_6_969,,6.969
E40_5_126,,5.126
E94_0_481,0.481,
E25_3_124,3.124,
E70_5_447,5.447,
E78_7_049,,7.049
E80_0_961,,0.961
E80_3_204,,3.204
E94_2_403,2.403,
E78_1_362,,1.362
E142_2_643,2.643,
E56_0_32,,0.32
E24_6_488,,6.488
E131_4_566,,4.566
E70_1_362,1.362,
E48_2_804,,2.804
E36_1_522,1.522,
E123_1_202,,1.202
E41_0_481,0.481,
E96_5_847,,5.847
E24_6_728,,6.728
E54_0_0,,0.0
E133_7_129,,7.129
E109_0_481,0.481,
E135_4_806,4.806,
E49_6_088,6.088,
E79_1_602,,1.602
E136_0_721,0.721,
E48_2_483,,2.483
E119_4_566,,4.566
E96_0_801,,0.801
E48_0_401,,0.401
E42_7_69,,7.69
E86_4_165,,4.165
E54_3_444,,3.444
E31_7_049,7.049,
E112_0_08,0.08,
E136_1_282,1.282,
E37_1_202,,1.202
E20_7_449,7.449,
E37_4_646,,4.646
E25_0_881,0.881,
E121_4_245,4.245,
E48_4_005,,4.005
E142_4_406,4.406,
E110_0_881,,0.881
E101_2_483,2.483,
E15_7_61,7.61,
E136_3_444,3.444,
E128_3_124,,3.124
E109_5_767,5.767,
E142_4_486,4.486,
E80_2_483,,2.483
E49_3_524,3.524,
E66_0_24,,0.24
E0_2_884,2.884,
E0_4_165,4.165,
E123_4_165,,4.165
E47_5_767,,5.767
E128_0_24,,0.24
E40_3_364,,3.364
E36_0_561,0.561,
E16_5_767,,5.767
E88_4_005,4.005,
E94_4_806,4.806,
E96_7_529,,7.529
E42_4_566,,4.566
E1_0_08,,0.08
E40_5_927,,5.927
E108_7_129,,7.129
E128_2_563,,2.563
E128_0_481,,0.481
E14_2_884,2.884,
E31_4_726,4.726,
E0_6_728,6.728,
E84_0_0,,0.0
E119_4_966,,4.966
E98_0_16,0.16,
E65_7_449,,7.449
E20_3_925,3.925,
E20_0_481,0.481,
E12_7_449,,7.449
E126_0_401,,0.401
E96_2_563,,2.563
E98_2_884,2.884,
E125_3_925,,3.925
E16_2_804,,2.804
E44_7_93,7.93,
E107_7_93,7.93,
E98_7_049,7.049,
E109_1_362,1.362,
E135_6_248,6.248,
E88_0_481,0.481,
E65_6_088,,6.088
E101_6_568,6.568,
E3_7_209,7.209,
E112_1_762,1.762,
E85_4_165,4.165,
E106_1_041,,1.041
E126_1_842,,1.842
E110_3_524,,3.524
E20_5_287,5.287,
E70_0_961,0.961,
E36_5_367,5.367,
E86_0_32,,0.32
E142_0_401,0.401,
E133_1_282,,1.282
E78_2_243,,2.243
E84_3_444,,3.444
E0_1_522,1.522,
E44_1_202,1.202,
E63_6_248,,6.248
E12_7_129,,7.129
E15_7_369,7.369,
E84_6_889,,6.889
E16_3_925,,3.925
E56_2_723,,2.723
E24_2_163,,2.163
E80_4_325,,4.325
E106_6_568,,6.568
E3_3_204,3.204,
E63_0_881,,0.881
E54_6_488,,6.488
E25_4_165,4.165,
E0_6_248,6.248,
E37_6_648,,6.648
E36_4_486,4.486,
E110_7_61,,7.61
E96_0_16,,0.16
E44_2_964,2.964,
E133_1_442,,1.442
E88_1_362,1.362,
E47_7_85,,7.85
E55_4_646,,4.646
E112_1_282,1.282,
E25_4_806,4.806,
E94_5_607,5.607,
E133_0_801,,0.801
E84_2_083,,2.083
E0_6_488,6.488,
E80_2_323,,2.323
E4_3_925,3.925,
E16_4_806,,4.806
E125_0_961,,0.961
E54_3_044,,3.044
E36_0_481,0.481,
E119_2_884,,2.884
E12_7_289,,7.289
E2_2_403,,2.403
E123_6_328,,6.328
E78_1_202,,1.202
E142_0_481,0.481,
E0_5_687,5.687,
E65_3_124,,3.124
E49_1_282,1.282,
E47_5_607,,5.607
E106_2_964,,2.964
E42_4_726,,4.726
E44_0_08,0.08,
E1_3_765,,3.765
E31_1_362,1.362,
E4_7_77,7.77,
E108_2_723,,2.723
E79_3_925,,3.925
E25_1_282,1.282,
E2_1_202,,1.202
E49_7_61,7.61,
E110_4_245,,4.245
E0_6_648,6.648,
E63_0_08,,0.08
E88_7_77,7.77,
E78_4_245,,4.245
E65_3_284,,3.284
E14_1_922,1.922,
E110_2_964,,2.964
E128_5_527,,5.527
E86_0_641,,0.641
E88_0_401,0.401,
E16_7_049,,7.049
E101_7_93,7.93,
E101_4_726,4.726,
E3_7_61,7.61,
E85_3_124,3.124,
E51_5_687,5.687,
E70_2_643,2.643,
E16_0_721,,0.721
E85_0_561,0.561,
E31_4_165,4.165,
E80_2_003,,2.003
E86_7_369,,7.369
E25_6_648,6.648,
E63_3_524,,3.524
E86_2_003,,2.003
E98_3_605,3.605,
E0_1_362,1.362,
E47_3_444,,3.444
E42_5_687,,5.687
E55_5_367,,5.367
E135_0_0,0.0,
E79_5_447,,5.447
E65_0_641,,0.641
E10_0_561,,0.561
E135_2_884,2.884,
E31_1_602,1.602,
E78_5_287,,5.287
E94_2_003,2.003,
E10_0_32,,0.32
E1_5_207,,5.207
E107_1_922,1.922,
E54_2_163,,2.163
E37_2_483,,2.483
E55_6_328,,6.328
E121_4_806,4.806,
E101_0_16,0.16,
E128_6_408,,6.408
E88_0_961,0.961,
E112_2_163,2.163,
E3_7_049,7.049,
E17_5_046,,5.046
E54_7_69,,7.69
E48_0_08,,0.08
E108_4_726,,4.726
E42_2_563,,2.563
E3_0_32,0.32,
E44_6_809,6.809,
E47_4_486,,4.486
E101_6_889,6.889,
E80_7_289,,7.289
E12_6_008,,6.008
E136_5_767,5.767,
E4_4_005,4.005,
E49_3_364,3.364,
E16_2_323,,2.323
E128_6_969,,6.969
E135_7_289,7.289,
E36_4_886,4.886,
E85_1_682,1.682,
E14_6_408,6.408,
E1_6_088,,6.088
E101_4_486,4.486,
E80_7_69,,7.69
E54_6_088,,6.088
E133_3_605,,3.605
E3_1_041,1.041,
E86_3_364,,3.364
E107_1_602,1.602,
E44_5_126,5.126,
E131_5_847,,5.847
E85_2_323,2.323,
E3_4_245,4.245,
E2_2_884,,2.884
E128_2_083,,2.083
E12_5_126,,5.126
E142_6_969,6.969,
E24_4_005,,4.005
E15_7_85,7.85,
E136_1_602,1.602,
E51_1_602,1.602,
E101_6_088,6.088,
E110_2_163,,2.163
E80_6_969,,6.969
E109_3_524,3.524,
E120_3_044,3.044,
E51_4_406,4.406,
E79_4_245,,4.245
E65_7_77,,7.77
E121_0_32,0.32,
E108_1_202,,1.202
E41_5_927,5.927,
E44_0_16,0.16,
E128_2_163,,2.163
E107_1_522,1.522,
E40_5_767,,5.767
E56_7_61,,7.61
E10_2_403,,2.403
E121_6_809,6.809,
E94_0_24,0.24,
E37_3_044,,3.044
E131_4_406,,4.406
E142_7_77,7.77,
E12_3_124,,3.124
E142_3_925,3.925,
E47_5_126,,5.126
E54_1_202,,1.202
E51_2_723,2.723,
E108_7_69,,7.69
E0_7_529,7.529,
E128_6_728,,6.728
E119_7_449,,7.449
E106_3_685,,3.685
E16_1_041,,1.041
E66_2_723,,2.723
E20_0_641,0.641,
E36_2_403,2.403,
E101_6_728,6.728,
E15_0_561,0.561,
E55_0_16,,0.16
E108_6_488,,6.488
E24_0_881,,0.881
E79_4_966,,4.966
E135_5_126,5.126,
E112_4_165,4.165,
E66_4_966,,4.966
E12_0_801,,0.801
E80_3_044,,3.044
E101_5_367,5.367,
E40_3_845,,3.845
E112_6_328,6.328,
E49_7_449,7.449,
E96_7_69,,7.69
E70_2_804,2.804,
E142_5_367,5.367,
E121_6_168,6.168,
E101_0_08,0.08,
E47_3_925,,3.925
E20_1_121,1.121,
E119_5_126,,5.126
E84_1_041,,1.041
E17_5_527,,5.527
E78_5_687,,5.687
E15_5_367,5.367,
E88_6_248,6.248,
E49_5_687,5.687,
E25_0_08,0.08,
E110_1_922,,1.922
E54_4_406,,4.406
E109_4_165,4.165,
E84_4_966,,4.966
E136_2_483,2.483,
E126_6_168,,6.168
E40_4_646,,4.646
E47_4_566,,4.566
E125_4_566,,4.566
E109_3_124,3.124,
E47_5_287,,5.287
E51_7_529,7.529,
E41_6_648,6.648,
E3_6_168,6.168,
E10_7_209,,7.209
E108_5_447,,5.447
E80_5_287,,5.287
E41_6_488,6.488,
E17_2_083,,2.083
E4_7_129,7.129,
E85_6_568,6.568,
E86_4_085,,4.085
E80_0_401,,0.401
E125_5_207,,5.207
E123_4_886,,4.886
E36_1_041,1.041,
E48_3_364,,3.364
E49_7_529,7.529,
E16_1_362,,1.362
E41_2_563,2.563,
E10_5_847,,5.847
E4_6_568,6.568,
E133_4_886,,4.886
E107_3_124,3.124,
E131_6_168,,6.168
E49_6_568,6.568,
E36_5_607,5.607,
E80_1_602,,1.602
E41_7_049,7.049,
E123_1_922,,1.922
E94_4_325,4.325,
E41_7_289,7.289,
E66_6_648,,6.648
E86_2_163,,2.163
E48_2_163,,2.163
E25_6_488,6.488,
E65_7_129,,7.129
E80_1_282,,1.282
E80_0_721,,0.721
E3_5_447,5.447,
E55_4_726,,4.726
E94_6_568,6.568,
E133_4_806,,4.806
E108_3_364,,3.364
E101_1_202,1.202,
E20_6_328,6.328,
E80_6_728,,6.728
E85_6_889,6.889,
E70_4_325,4.325,
E47_7_449,,7.449
E31_1_922,1.922,
E10_7_77,,7.77
E63_4_085,,4.085
E49_5_767,5.767,
E17_6_969,,6.969
E36_5_527,5.527,
E36_2_163,2.163,
E24_0_24,,0.24
E88_3_845,3.845,
E44_7_049,7.049,
E2_5_927,,5.927
E41_4_085,4.085,
E131_0_881,,0.881
E126_7_61,,7.61
E70_2_723,2.723,
E41_2_163,2.163,
E20_7_369,7.369,
E55_0_961,,0.961
E109_7_049,7.049,
E47_0_24,,0.24
E123_6_248,,6.248
E31_7_77,7.77,
E86_1_282,,1.282
E16_2_403,,2.403
E101_5_527,5.527,
E110_0_961,,0.961
E31_3_044,3.044,
E1_1_922,,1.922
E44_7_449,7.449,
E36_3_444,3.444,
E2_5_767,,5.767
E4_5_767,5.767,
E131_2_403,,2.403
E41_1_282,1.282,
E40_1_442,,1.442
E109_1_282,1.282,
E108_6_648,,6.648
E42_3_685,,3.685
E136_7_049,7.049,
E15_2_403,2.403,
E49_4_726,4.726,
E63_1_762,,1.762
E96_6_008,,6.008
E107_7_449,7.449,
E119_1_362,,1.362
E88_6_568,6.568,
E44_0_24,0.24,
E85_6_248,6.248,
E98_4_325,4.325,
E56_5_687,,5.687
E66_0_881,,0.881
E42_0_0,,0.0
E10_7_369,,7.369
E14_6_969,6.969,
E4_1_202,1.202,
E107_2_403,2.403,
E110_4_886,,4.886
E51_2_563,2.563,
E86_7_289,,7.289
E78_5_367,,5.367
E42_5_447,,5.447
E84_2_323,,2.323
E79_0_801,,0.801
E120_4_646,4.646,
E24_3_845,,3.845
E86_3_765,,3.765
E20_5_927,5.927,
E98_2_163,2.163,
E125_6_088,,6.088
E56_3_444,,3.444
E54_7_129,,7.129
E36_7_93,7.93,
E10_3_284,,3.284
E66_7_529,,7.529
E3_2_723,2.723,
E107_6_088,6.088,
E119_0_08,,0.08
E17_6_408,,6.408
E66_3_765,,3.765
E80_4_886,,4.886
E12_7_61,,7.61
E54_0_641,,0.641
E106_5_687,,5.687
E25_6_168,6.168,
E107_5_927,5.927,
E37_0_32,,0.32
E51_4_886,4.886,
E48_4_726,,4.726
E14_0_24,0.24,
E123_7_93,,7.93
E40_5_287,,5.287
E109_7_69,7.69,
E85_5_927,5.927,
E86_0_561,,0.561
E107_1_202,1.202,
E109_3_444,3.444,
E88_1_842,1.842,
E36_0_0,0.0,
E65_4_566,,4.566
E36_5_767,5.767,
E31_6_248,6.248,
E120_0_24,0.24,
E106_2_483,,2.483
E49_3_765,3.765,
E25_6_328,6.328,
E66_0_961,,0.961
E42_4_406,,4.406
E136_7_449,7.449,
E17_3_444,,3.444
E112_6_648,6.648,
E101_6_408,6.408,
E42_6_809,,6.809
E94_2_323,2.323,
E66_5_927,,5.927
E56_5_607,,5.607
E94_7_129,7.129,
E48_7_77,,7.77
E84_1_442,,1.442
E20_0_961,0.961,
E14_4_085,4.085,
E1_5_607,,5.607
E44_5_287,5.287,
