,PseudoTime0,PseudoTime1,PseudoTime2
E110_4_886,,4.886,
E47_4_085,,,4.085
E44_2_884,2.884,,
E10_3_605,,,3.605
E60_6_969,,6.969,
E85_4_646,,4.646,
E83_7_77,,,7.77
E87_7_77,7.77,,
E67_2_003,,2.003,
E75_3_364,3.364,,
E53_3_364,,3.364,
E17_0_401,,0.401,
E77_7_129,7.129,,
E107_2_083,,2.083,
E85_6_328,,6.328,
E99_2_643,,,2.643
E54_2_723,2.723,,
E139_2_964,,,2.964
E86_3_284,3.284,,
E98_7_449,,,7.449
E142_0_641,,,0.641
E88_6_488,6.488,,
E144_3_444,3.444,,
E39_7_93,,7.93,
E10_1_442,,,1.442
E31_3_685,,3.685,
E62_1_842,,1.842,
E99_2_243,,,2.243
E3_3_364,,3.364,
E20_6_008,,,6.008
E7_3_605,3.605,,
E26_1_362,1.362,,
E53_3_765,,3.765,
E101_1_442,,1.442,
E111_4_406,4.406,,
E111_7_77,7.77,,
E118_3_685,3.685,,
E129_3_124,,,3.124
E93_3_044,3.044,,
E83_0_801,,,0.801
E68_6_168,,,6.168
E62_0_0,,0.0,
E99_5_287,,,5.287
E143_5_447,,,5.447
E73_1_762,,1.762,
E87_5_687,5.687,,
E80_6_328,,6.328,
E133_1_682,,1.682,
E49_2_643,2.643,,
E110_7_209,,7.209,
E107_1_202,,1.202,
E101_5_687,,5.687,
E52_6_008,,,6.008
E1_7_529,,,7.529
E31_2_804,,2.804,
E125_2_643,2.643,,
E76_5_447,5.447,,
E60_1_602,,1.602,
E133_5_927,,5.927,
E114_1_121,1.121,,
E63_7_449,,,7.449
E93_1_602,1.602,,
E75_4_646,4.646,,
E87_7_69,7.69,,
E64_5_046,5.046,,
E122_4_966,,,4.966
E73_4_406,,4.406,
E84_2_804,,,2.804
E40_2_723,2.723,,
E88_1_121,1.121,,
E105_0_561,0.561,,
E1_0_0,,,0.0
E88_2_083,2.083,,
E10_0_721,,,0.721
E87_7_209,7.209,,
E53_1_202,,1.202,
E78_4_726,,,4.726
E49_7_129,7.129,,
E70_6_889,6.889,,
E34_0_881,0.881,,
E1_5_367,,,5.367
E13_0_08,,,0.08
E100_2_563,,2.563,
E9_2_964,,2.964,
E28_7_449,,7.449,
E2_2_083,2.083,,
E89_2_003,2.003,,
E96_7_369,7.369,,
E66_6_328,,,6.328
E142_5_046,,,5.046
E52_2_884,,,2.884
E64_3_765,3.765,,
E118_3_605,3.605,,
E147_2_884,,,2.884
E71_3_765,,3.765,
E140_0_961,,,0.961
E92_7_129,,,7.129
E20_5_447,,,5.447
E68_7_93,,,7.93
E18_4_726,4.726,,
E92_2_083,,,2.083
E46_4_966,,,4.966
E134_2_483,2.483,,
E143_2_243,,,2.243
E110_4_245,,4.245,
E102_2_643,,,2.643
E104_6_809,,6.809,
E140_6_088,,,6.088
E139_1_442,,,1.442
E98_5_287,,,5.287
