,Jaccard Median,Jaccard MAD
GENIE3,0.8888888888888888,0.07477694103139981
GRISLI,0.5217391304347826,0.13763154539037453
GRNBOOST2,0.7894736842105263,0.07382276379001354
GRNVBEM,0.5769230769230769,0.1067408406173372
LEAP,0.7894736842105263,0.07902894153514782
PIDC,0.8,0.11884380067019712
PPCOR,1.0,0.1059098956268993
SCINGE,0.3076923076923077,0.12879238879639562
SCNS,0.4117647058823529,0.13683439618005683
SCODE,0.7,0.1013881918266615
SCRIBE,0.36,0.11680620286118315
SINCERITIES,0.5454545454545454,0.1682063871943801
