,dyn-TF_500_0,dyn-TF_500_1,dyn-TF_500_2,dyn-TF_500_3,dyn-TF_500_4,dyn-TF_500_5,dyn-TF_500_6,dyn-TF_500_7,dyn-TF_500_8,dyn-TF_500_9,dyn-TF_2000_0,dyn-TF_2000_1,dyn-TF_2000_2,dyn-TF_2000_3,dyn-TF_2000_4,dyn-TF_2000_5,dyn-TF_2000_6,dyn-TF_2000_7,dyn-TF_2000_8,dyn-TF_2000_9,dyn-TF_5000_0,dyn-TF_5000_1,dyn-TF_5000_2,dyn-TF_5000_3,dyn-TF_5000_4,dyn-TF_5000_5,dyn-TF_5000_6,dyn-TF_5000_7,dyn-TF_5000_8,dyn-TF_5000_9
GENIE3,0.4805920139459655,0.5036702104075187,0.49627426606830854,0.5025774624025516,0.4760501828891269,0.498774402898298,0.4980151398076015,0.48491113832047406,0.492726304242571,0.49270062811867316,0.4790650234499271,0.5096456369517263,0.5165803937677688,0.48590678278888344,0.4573780483484527,0.49258394212267387,0.49878910204434795,0.5195601704284899,0.5090279370413502,0.5006394563396812,0.4941608134579181,0.5104415896321564,0.5149827103738975,0.49934801158798175,0.5124814304211753,0.5148515153970523,0.513365769203965,0.5103983865672375,0.5060213439005354,0.4914316693047307
GRISLI,0.304701173381048,0.40263261744809464,0.2838859112195033,0.33966231503120325,0.3447071910250894,0.40391762385609076,0.35043664254456136,0.39063754762168473,0.2631005924327898,0.36509374314452675,0.25062318422778507,0.2821035481962312,0.31554521794885265,0.2598718471321017,0.2873246879118485,0.3518586761921879,0.3449816816119323,0.26562893758667494,0.2761607945105583,0.352938639104891,0.2611116724382512,0.26859496485413137,0.2657196362989352,0.2826699025365963,0.31769421394331376,0.2643825000416808,0.2864786110023649,0.2981788134192821,0.2877671842460596,0.25476537730834764
GRNBOOST2,0.4685217164703076,0.5290723864300078,0.5357391703525477,0.5059175750301347,0.531160969525576,0.4614989957213284,0.530880933493956,0.5246733362714368,0.44233366676926805,0.5167810694001235,0.4803944987558464,0.5288245695916154,0.5219508950753954,0.4611749402149105,0.5480230939613842,0.5104418976170889,0.4900160991556697,0.4745762604411728,0.5146175443544796,0.4462822459559536,0.4366068911591318,0.4673045492542555,0.44795770736872825,0.45283227487065275,0.4599374894069108,0.44938708511801756,0.4494798998721637,0.4742796542362467,0.5041696041156272,0.5211051228523256
GRNVBEM,0.3755478834725228,0.4371284127841035,0.36265972630108473,0.4510675986482655,0.40187026441075635,0.3718095823447603,0.37510749474282556,0.4727072484727067,0.39435411998245323,0.5544819415717162,0.4972937595624403,0.5022272052593919,0.4646418956478066,0.4369475528047647,0.4891510950806709,0.5140325948439728,0.37900224435303376,0.4320933551518108,0.46151968312658226,0.5157450999046572,0.5343825270004462,0.5321839790489862,0.507470693931418,0.5869429473975936,0.5308362266188509,0.41692189674644653,0.4733019997409169,0.5240999189740134,0.5227274937996972,0.5887445360960382
LEAP,0.5355286803705382,0.4265934221547157,0.5461873606143259,0.42947106292003573,0.44303316549907823,0.5707586250530943,0.5634014297035469,0.5323174032959966,0.4498073100609361,0.4596127804332748,0.5550796506145103,0.46874266441041995,0.49641084767224475,0.49202960160939757,0.464696535381493,0.5625154978201159,0.5640793136299979,0.5589376023963614,0.47336952764548335,0.5500919660900067,0.46955020642427053,0.45933232767289556,0.547097442275313,0.5528166430969573,0.5635061643723632,0.5541304929886904,0.4568000248562768,0.46113693263124717,0.45934328163467575,0.4675653783205568
PIDC,0.4972578563731478,0.5612759216474387,0.4979405824574401,0.6416386215917613,0.6042057150160529,0.49489349791244985,0.5896317571130802,0.48530296904304177,0.49177169061639103,0.5574276760839555,0.48128414175114603,0.5630652236451845,0.5121371053693609,0.5633620954000449,0.5555427417808942,0.5030420137131811,0.4950751191551602,0.516558540567591,0.508996648024593,0.5646724015499403,0.5117046786521737,0.5266748340662027,0.526366462613424,0.5066509602592857,0.5255465397826315,0.5209440909202574,0.530525595306749,0.5121442557921123,0.51545463713359,0.512750826812201
PPCOR,0.528113063407181,0.4832958095825743,0.4623817359111476,0.521072146807441,0.46229121171818943,0.48006486977075213,0.4448987287222581,0.5370495925642985,0.5226312902783491,0.4410402097902098,0.5220593368465608,0.46827233982351446,0.5319305454253551,0.5277621887916005,0.5070641304000437,0.5373165857594924,0.4635501327317184,0.5256792780274754,0.5219229557234824,0.5111472305181145,0.5134549130857191,0.5165841263027964,0.5256229960551458,0.5151072130989268,0.5160645096946248,0.5224812848251994,0.5259196341244634,0.5154492470236415,0.46582881100144524,0.5198521802825882
SCINGE,0.4702437428437929,0.5029949765168081,0.394278356467933,0.32098242298474094,0.5033751841171845,0.4867382867822821,0.42148389802030545,0.5012476722329507,0.3755894603556916,0.4288718300655005,0.6714303921121089,0.620716477131425,0.5679492642304127,0.5114910279536797,0.726650463087623,0.5555135360247495,0.6375473835063568,0.6517857142857143,0.5007791575281613,0.4882443129901285,0.41130621403764794,0.38040460667947107,0.49545729933994104,0.4217566760995991,0.40834865305462303,0.4248864024233786,0.5127622344465116,0.4249484163009014,0.3808787149112106,0.3547628671666794
SCNS,0.3673737594585346,0.3946516106442577,0.404431216931217,0.3089878258995906,0.33973311546840956,0.275974025974026,0.3585129704055535,0.4743199911543565,0.3480392156862745,0.33544764059469945,0.35511841100076397,0.4342532467532467,0.3555672268907563,0.3398297780650722,0.39799073475544067,0.31915266106442575,0.2840157604543794,0.2811624649859944,0.3554475015812777,0.5212912087912087,0.27468487394957986,0.24369747899159663,0.3312484084542908,0.3263782785841609,0.25986227824463115,0.36782212885154064,0.33963585434173665,0.3445028011204482,0.32649799050054806,0.29193648047454274
SCODE,0.20928674939415326,0.21726945113742788,0.23357873684991015,0.20910331993254547,0.2326497047653882,0.2281695974237654,0.2151362097426662,0.21102138087691902,0.2178555414923429,0.2137479918585774,0.21526352624726441,0.22995533707320248,0.22724734935779134,0.2301715211901374,0.25210193399088804,0.23114580605546564,0.2315599600732209,0.22971730675575036,0.23194319703218408,0.2416187341402126,0.225780145315598,0.22660536606104384,0.23264006180356678,0.2257600918217136,0.21803007239309624,0.2400202667563393,0.23461104146036285,0.22474337361489566,0.2402701114234281,0.22331520647553704
SCRIBE,0.24192443310325945,0.5326684954221301,0.3588974163050976,0.6234980997819091,0.3912006853015314,0.29384866742887317,0.3580313037008439,0.33899030621916165,0.4451209422031177,0.36336764523635756,0.4074471809833043,0.275092656020637,0.35691165095575794,0.43850504212948,0.2823528233575162,0.5443047503325374,0.29044415424440795,0.3281800258663008,0.3535729417668693,0.28762216726889345,0.4858906466690888,0.4390544346592037,0.49205095337657623,0.322580933015086,0.5023633891808238,0.4435857469347099,0.35076261872077164,0.36688769217687994,0.5010309526919476,0.3902853251651963
SINCERITIES,0.33499372419435747,0.5597027181998429,0.3967142709660414,0.4167215793789107,0.35536312933093755,0.40814416253954244,0.3032972035182172,0.34458987876097,0.35489471370173925,0.34910597694169915,0.35346398756679676,0.3501985611109054,0.32425592702431116,0.3901462806754597,0.38036110263380285,0.36794291292784514,0.38068532583625597,0.32842799581147153,0.3591092497178698,0.3944676963610162,0.3332267517033335,0.33928435712041566,0.33906919822851217,0.3321594100759957,0.3412098179598534,0.3212749510884667,0.3594283038493767,0.34177482865254466,0.33353840857221523,0.39455542100900065
