,dyn-TF_500_0,dyn-TF_500_1,dyn-TF_500_2,dyn-TF_500_3,dyn-TF_500_4,dyn-TF_500_5,dyn-TF_500_6,dyn-TF_500_7,dyn-TF_500_8,dyn-TF_500_9,dyn-TF_2000_0,dyn-TF_2000_1,dyn-TF_2000_2,dyn-TF_2000_3,dyn-TF_2000_4,dyn-TF_2000_5,dyn-TF_2000_6,dyn-TF_2000_7,dyn-TF_2000_8,dyn-TF_2000_9,dyn-TF_5000_0,dyn-TF_5000_1,dyn-TF_5000_2,dyn-TF_5000_3,dyn-TF_5000_4,dyn-TF_5000_5,dyn-TF_5000_6,dyn-TF_5000_7,dyn-TF_5000_8,dyn-TF_5000_9
GENIE3,46.49,33.99,41.06,49.07,41.67,40.57,36.35,48.74,50.36,44.54,99.73,94.97,100.08,100.44,106.65,101.89,104.35,99.96,89.32,93.66,205.99,218.71,218.86,217.75,211.64,218.61,224.12,223.76,220.19,218.01
GRISLI,526.52,519.23,585.36,522.07,214.51000000000002,198.34,182.78,669.74,654.03,715.5799999999999,713.06,672.94,685.51,659.6,501.23,543.11,537.0699999999999,455.59,485.68999999999994,459.17,540.89,652.03,512.3000000000001,678.99,611.23,833.16,807.98,794.98,804.6399999999999,652.15
GRNBOOST2,13.63,11.87,12.58,13.75,10.67,10.54,10.31,14.9,15.77,14.09,35.94,38.12,36.53,36.08,30.28,33.62,35.6,34.77,33.29,33.35,56.15,62.74,62.93,62.27,60.63,61.83,63.6,62.04,61.81,61.39
GRNVBEM,50.83,50.81999999999999,52.69,56.85,50.5,49.92,50.21,55.47,55.839999999999996,55.86,74.87,67.73,78.89,66.41,68.85000000000001,64.14,78.77,75.17,65.57000000000001,76.01,79.23,81.5,78.72999999999999,80.81,79.51,83.84,79.37,83.87,87.94999999999999,80.58
LEAP,3.74,3.76,4.38,4.43,3.5300000000000002,3.86,3.77,4.01,4.37,4.02,31.96,31.15,35.57,32.81,35.35,35.4,36.46,35.13,31.64,36.059999999999995,286.91,279.93,295.16999999999996,281.93,286.02,286.94,323.46,291.28000000000003,319.04999999999995,289.7
PIDC,26.31,27.65,27.43,30.71,30.73,28.75,26.52,28.2,28.97,31.37,36.04,30.38,34.77,29.88,32.51,30.24,34.24,34.98,29.59,37.77,39.83,42.55,39.83,41.77,38.66,40.81,41.15,41.76,41.92,40.23
PPCOR,0.44,0.36,0.39,0.47,0.38,0.39,0.35,0.42,0.44,0.47,1.05,1.59,1.08,1.02,1.07,1.45,1.1,1.0,1.0,1.21,4.15,3.86,3.95,3.8,3.78,3.88,3.88,3.89,3.99,3.8
SCINGE,110.94,91.78,115.75999999999999,105.97999999999999,97.97999999999999,102.43,103.01,107.9,111.66,106.17999999999999,236.79,263.55,312.59000000000003,292.78,228.88,323.62,329.22,266.46999999999997,329.89,292.83,894.05,1273.5,1003.6500000000001,1124.38,1352.33,1189.8100000000002,1067.46,1041.52,929.8699999999999,1326.1599999999999
SCNS,11.69,14.39,11.04,10.83,15.04,12.98,13.39,11.72,13.33,11.87,18.64,19.89,17.36,16.17,20.5,14.57,18.08,15.25,17.98,18.37,20.39,20.4,21.55,23.49,20.6,25.05,18.13,25.16,22.26,19.79
SCODE,540.28,552.22,570.9399999999999,573.1,536.5,515.56,518.82,585.96,557.26,550.8299999999999,1066.5500000000002,1071.26,1042.85,1037.15,1022.8499999999999,1024.26,1039.02,1030.05,1022.86,1033.65,1944.6699999999998,1918.91,2011.9,2050.7599999999998,2037.2399999999998,2072.3,2109.6000000000004,2134.8,2168.46,2079.15
SCRIBE,22.11,21.53,20.330000000000002,17.75,17.32,17.130000000000003,21.77,20.45,20.04,20.57,36.07,38.24,37.69,33.9,33.16,33.64,32.36,31.02,31.44,31.53,76.03,90.02000000000001,77.23,77.8,81.16,80.05,84.44,79.43,83.5,78.35
SINCERITIES,8.42,8.65,9.28,10.28,10.09,9.52,8.31,9.17,9.6,9.14,11.16,10.01,11.170000000000002,12.87,9.969999999999999,9.21,10.33,9.62,9.21,10.35,9.15,9.45,9.59,10.04,9.36,10.04,9.95,10.02,10.31,10.56
