,dyn-CY_500_0,dyn-CY_500_1,dyn-CY_500_2,dyn-CY_500_3,dyn-CY_500_4,dyn-CY_500_5,dyn-CY_500_6,dyn-CY_500_7,dyn-CY_500_8,dyn-CY_500_9,dyn-CY_2000_0,dyn-CY_2000_1,dyn-CY_2000_2,dyn-CY_2000_3,dyn-CY_2000_4,dyn-CY_2000_5,dyn-CY_2000_6,dyn-CY_2000_7,dyn-CY_2000_8,dyn-CY_2000_9,dyn-CY_5000_0,dyn-CY_5000_1,dyn-CY_5000_2,dyn-CY_5000_3,dyn-CY_5000_4,dyn-CY_5000_5,dyn-CY_5000_6,dyn-CY_5000_7,dyn-CY_5000_8,dyn-CY_5000_9
GENIE3,0.7291666666666667,0.7569444444444444,0.7569444444444444,0.75,0.7430555555555555,0.763888888888889,0.7430555555555556,0.763888888888889,0.7708333333333334,0.7291666666666666,0.736111111111111,0.7430555555555555,0.7291666666666666,0.7430555555555556,0.736111111111111,0.7569444444444445,0.7569444444444445,0.75,0.736111111111111,0.75,0.7291666666666666,0.7430555555555555,0.7291666666666666,0.7291666666666666,0.736111111111111,0.7430555555555555,0.7222222222222221,0.763888888888889,0.736111111111111,0.7291666666666666
GRISLI,0.5416666666666666,0.6875,0.7361111111111112,0.6736111111111112,0.5902777777777778,0.7291666666666667,0.5277777777777778,0.6388888888888888,0.6458333333333333,0.5277777777777778,0.6736111111111112,0.7152777777777778,0.6805555555555556,0.7152777777777778,0.6388888888888888,0.7013888888888888,0.6736111111111112,0.7222222222222223,0.6597222222222223,0.5763888888888888,0.6805555555555556,0.7430555555555556,0.6875,0.7083333333333334,0.7013888888888888,0.7013888888888888,0.6666666666666667,0.7430555555555556,0.6805555555555556,0.6666666666666667
GRNBOOST2,0.7916666666666667,0.826388888888889,0.7777777777777777,0.8263888888888888,0.7708333333333333,0.7986111111111112,0.7430555555555555,0.7986111111111112,0.798611111111111,0.8125,0.7638888888888888,0.7708333333333334,0.7708333333333333,0.8055555555555555,0.8194444444444444,0.7708333333333333,0.8055555555555555,0.7569444444444444,0.8055555555555555,0.8125,0.75,0.7847222222222222,0.75,0.7430555555555556,0.7638888888888888,0.8055555555555556,0.798611111111111,0.7847222222222222,0.7777777777777777,0.7916666666666667
GRNVBEM,0.4895833333333333,0.48611111111111105,0.47222222222222227,0.4409722222222222,0.5138888888888888,0.4444444444444444,0.5069444444444444,0.5347222222222223,0.5416666666666666,0.40277777777777773,0.5208333333333334,0.5381944444444444,0.4444444444444444,0.3819444444444444,0.46875,0.5590277777777778,0.4375,0.4444444444444444,0.4722222222222222,0.5104166666666666,0.5034722222222223,0.4722222222222222,0.4305555555555556,0.5277777777777778,0.5,0.4340277777777778,0.48611111111111116,0.47916666666666674,0.4340277777777778,0.4930555555555556
LEAP,0.5868055555555555,0.6180555555555556,0.5833333333333334,0.5763888888888888,0.6111111111111112,0.6180555555555556,0.5833333333333334,0.6388888888888888,0.5763888888888888,0.6145833333333334,0.6666666666666666,0.6805555555555556,0.6770833333333334,0.6805555555555556,0.6875,0.7222222222222222,0.6840277777777777,0.7048611111111112,0.6979166666666666,0.6979166666666667,0.625,0.5972222222222222,0.5902777777777778,0.6006944444444444,0.6111111111111112,0.625,0.5972222222222222,0.6041666666666667,0.6111111111111112,0.5972222222222223
PIDC,0.75,0.7916666666666667,0.7777777777777777,0.7777777777777777,0.7916666666666667,0.7916666666666667,0.7777777777777777,0.7777777777777777,0.7916666666666667,0.75,0.75,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7638888888888888,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7916666666666667,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7916666666666667,0.7777777777777777
PPCOR,0.7777777777777777,0.7951388888888888,0.7638888888888888,0.7777777777777777,0.7777777777777778,0.7916666666666666,0.7916666666666666,0.7777777777777777,0.75,0.7638888888888888,0.7916666666666667,0.7638888888888888,0.7951388888888888,0.7916666666666667,0.7604166666666666,0.7777777777777777,0.7743055555555556,0.7673611111111112,0.7743055555555556,0.7638888888888888,0.7638888888888888,0.7673611111111112,0.7951388888888888,0.7916666666666667,0.78125,0.7638888888888888,0.7638888888888888,0.7604166666666666,0.7916666666666667,0.7916666666666667
SCINGE,0.7152777777777777,0.8541666666666666,0.6944444444444444,0.9444444444444444,0.5,0.9513888888888888,0.9444444444444444,0.5,0.8819444444444444,0.9652777777777778,0.8263888888888888,0.9930555555555556,0.9583333333333334,0.9375,0.9583333333333333,0.8715277777777779,0.9791666666666666,0.9930555555555556,0.7847222222222221,0.9166666666666667,0.9375,0.9652777777777778,0.9722222222222223,1.0,0.9375,0.9097222222222222,0.9097222222222222,0.9513888888888888,0.8888888888888888,0.5
SCNS,0.4305555555555556,0.6145833333333334,0.42708333333333337,0.8715277777777778,0.8576388888888888,0.6875,0.5694444444444444,0.78125,0.5729166666666667,0.6666666666666666,0.6006944444444444,0.625,0.6944444444444445,0.5451388888888888,0.7430555555555556,0.5972222222222222,0.48263888888888895,0.59375,0.5798611111111112,0.5763888888888888,0.5659722222222223,0.6527777777777778,0.6319444444444444,0.5208333333333333,0.5902777777777777,0.5902777777777778,0.6111111111111112,0.732638888888889,0.5486111111111112,0.5277777777777779
SCODE,0.5833333333333334,0.5208333333333334,0.5555555555555556,0.5208333333333334,0.47916666666666663,0.4930555555555555,0.5347222222222222,0.4791666666666667,0.5138888888888888,0.5486111111111112,0.4930555555555556,0.47916666666666663,0.5,0.5416666666666667,0.5347222222222222,0.5555555555555556,0.548611111111111,0.5069444444444444,0.5347222222222222,0.5,0.5138888888888888,0.5347222222222222,0.5555555555555556,0.5486111111111112,0.5277777777777778,0.5555555555555556,0.5486111111111112,0.5347222222222222,0.5625,0.5625
