,Jaccard Median,Jaccard MAD
GENIE3,1.0,0.13803672876205544
GRISLI,0.7142857142857143,0.12926787837608167
GRNBOOST2,0.7142857142857143,0.14341425237025743
GRNVBEM,0.6428571428571429,0.15535675766934057
LEAP,0.7142857142857143,0.30181514825509875
PIDC,1.0,0.0759096313912005
PPCOR,1.0,0.02026159334126031
SCINGE,0.5,0.19625673414971836
SCNS,0.23529411764705882,0.1620176559462089
SCODE,0.7142857142857143,0.13398305116735504
SCRIBE,0.3333333333333333,0.1639261855861139
SINCERITIES,0.7142857142857143,0.17152772272867375
