,dyn-CY_500_0,dyn-CY_500_1,dyn-CY_500_2,dyn-CY_500_3,dyn-CY_500_4,dyn-CY_500_5,dyn-CY_500_6,dyn-CY_500_7,dyn-CY_500_8,dyn-CY_500_9,dyn-CY_2000_0,dyn-CY_2000_1,dyn-CY_2000_2,dyn-CY_2000_3,dyn-CY_2000_4,dyn-CY_2000_5,dyn-CY_2000_6,dyn-CY_2000_7,dyn-CY_2000_8,dyn-CY_2000_9,dyn-CY_5000_0,dyn-CY_5000_1,dyn-CY_5000_2,dyn-CY_5000_3,dyn-CY_5000_4,dyn-CY_5000_5,dyn-CY_5000_6,dyn-CY_5000_7,dyn-CY_5000_8,dyn-CY_5000_9
GENIE3,0.2829698079698079,0.3171626984126984,0.30951548451548455,0.31417008917008915,0.30049603174603173,0.31510364635364635,0.2994214119214119,0.3129571817071817,0.3287309912309912,0.2911796536796537,0.2968344155844156,0.29664363414363415,0.28840187590187594,0.29628496503496504,0.2968344155844156,0.3053814241314241,0.3053814241314241,0.3050761738261738,0.2968344155844156,0.30071109446109445,0.28840187590187594,0.29664363414363415,0.28840187590187594,0.28840187590187594,0.2968344155844156,0.29664363414363415,0.2816558441558441,0.3138139638139638,0.2968344155844156,0.28840187590187594
GRISLI,0.20455061243104722,0.3242221898471898,0.33579695767195766,0.26523895790200136,0.23941088151614467,0.2891040400231577,0.19907063548367898,0.26504701295722966,0.2719645994102516,0.23119929952037793,0.3124105505179674,0.2997132797829392,0.28963040310546706,0.3248584319017756,0.2705973471259849,0.333216919246331,0.4329035237283319,0.32687923066212543,0.28353881956823135,0.22038866930171278,0.2982861053778237,0.3333450046685341,0.27720261549595915,0.32099755106721056,0.3073529411764706,0.290234010270775,0.29721418538175504,0.3364603533721181,0.299198160227572,0.2770559466476649
GRNBOOST2,0.3358030858030858,0.3885808635808636,0.3434320309320309,0.399239417989418,0.3236638361638362,0.3528261090761091,0.29458874458874457,0.34192821067821066,0.35924122174122175,0.3698082010582011,0.3128757816257816,0.31926129426129424,0.3281542531542532,0.3600859788359788,0.39650974025974023,0.3196218133718134,0.35877779627779627,0.30550907425907425,0.3564960502460503,0.3764700577200577,0.30873015873015874,0.33424122174122173,0.2990530303030303,0.29413850038850037,0.31244588744588747,0.35176027676027677,0.35830026455026454,0.33424122174122173,0.33630050505050507,0.3358030858030858
GRNVBEM,0.29038943495840047,0.1905819002104499,0.25497108883191577,0.2534809722385343,0.19142586680630158,0.26166851814935277,0.1943281335522715,0.2754989234231521,0.22720511767925564,0.15997771015886958,0.4150046996332493,0.4411364258347017,0.3315855600338359,0.2323148382056428,0.3280821881396594,0.43589850762264554,0.3182839454466799,0.24767007597678659,0.4053134403406636,0.41682620565560674,0.40372574955908286,0.3946821406625328,0.38663413002493463,0.41535884921967614,0.40145263016639826,0.3859866557480744,0.39717703103785795,0.39669058292832804,0.3874064616267963,0.40146949926221476
LEAP,0.23818712152045488,0.25516751766751766,0.2606403237775052,0.25472051894465686,0.27142221908526254,0.27504609587942924,0.25580836787733335,0.308558832471876,0.24015254739892422,0.30254612086508637,0.2429109017344311,0.2563608776844071,0.24814646818323285,0.256007047289942,0.2586418512115106,0.3046181584010531,0.2596776822105769,0.27878074010039955,0.26588468720821656,0.2720424008252955,0.2847552161890397,0.24742532078058396,0.26530369820810995,0.26804089157030336,0.27113563824090137,0.28399685110211426,0.2608338420838421,0.2621871184371184,0.25796950190332546,0.2608338420838421
PIDC,0.2998015873015873,0.33154761904761904,0.3221230158730159,0.3221230158730159,0.33154761904761904,0.33154761904761904,0.3221230158730159,0.3221230158730159,0.33154761904761904,0.2998015873015873,0.2998015873015873,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.31160714285714286,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.33154761904761904,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.3221230158730159,0.33154761904761904,0.3221230158730159
PPCOR,0.3221230158730159,0.3342948717948718,0.31160714285714286,0.3221230158730159,0.3221230158730159,0.33154761904761904,0.33154761904761904,0.41577380952380955,0.2998015873015873,0.31160714285714286,0.33154761904761904,0.31160714285714286,0.3360119047619048,0.33154761904761904,0.30813492063492065,0.3221230158730159,0.31795634920634924,0.3136904761904762,0.3221230158730159,0.31160714285714286,0.31160714285714286,0.3171626984126984,0.3371031746031746,0.33154761904761904,0.32527958152958153,0.31160714285714286,0.31160714285714286,0.3076388888888889,0.33154761904761904,0.33154761904761904
SCINGE,0.5462301587301587,0.7990740740740739,0.5582633053221289,0.6232142857142857,0.6,0.8688672438672438,0.8534902597402596,0.6,0.5754810004810005,0.7880952380952381,0.7004357298474945,0.9742063492063491,0.878042328042328,0.845914502164502,0.8740079365079365,0.8731481481481481,0.9061507936507935,0.9742063492063491,0.7129629629629629,0.8223951973951974,0.7343434343434344,0.8893849206349206,0.9296296296296296,1.0,0.8015542328042328,0.8550653594771241,0.6786195286195286,0.9065170940170939,0.7937099693678641,0.6
SCNS,0.2542448292448292,0.2160818713450292,0.1528291316526611,0.7207792207792207,0.7291666666666666,0.3434640522875817,0.1856837606837607,0.47023809523809523,0.2158734842878065,0.2517857142857143,0.3055555555555556,0.22694444444444448,0.37934102934102937,0.21025132275132274,0.42882205513784466,0.29464285714285715,0.20617567818654775,0.18681318681318682,0.1992965367965368,0.18958663380860175,0.3103438228438229,0.38888888888888884,0.5117647058823529,0.1952195408077761,0.18717948717948718,0.3033637658637659,0.19454191033138402,0.30238095238095236,0.3065861244782813,0.17575757575757572
SCODE,0.22018781871723048,0.20000931883871992,0.22691211876783562,0.19307519822225705,0.32342051412491524,0.20251059044918693,0.2053594214713926,0.3238831754115231,0.1974860575910138,0.20688877552467816,0.22301683615401757,0.34686140275220734,0.2095775181191113,0.20606638743571148,0.22009086506424233,0.21019578329416055,0.21554991775046223,0.19590075540353113,0.2079782952384239,0.2237724947528869,0.20753118675379006,0.20194659760455907,0.3435351291335064,0.2104662982198479,0.2006747213326828,0.21301326786240582,0.21676971702326675,0.20507114870705134,0.21647369632283425,0.21873996899351866
SCRIBE,0.6023892939493962,0.5442205942205942,0.21164725639363322,0.6728213815170336,0.7105379188712522,0.5391250837942014,0.6995098039215687,0.5031305114638448,0.5406893348197697,0.5665591353091353,0.7223544973544973,0.4305194805194805,0.5849972152603731,0.5445206182706183,0.39350334057814873,0.6882069877759532,0.36669719169719167,0.41751186191975664,0.622828517371861,0.7546626984126984,0.6347400284900284,0.6554353938545115,0.6347006487452711,0.5764424132630653,0.6130799755799755,0.4420815295815296,0.6246595996595996,0.5405659699777347,0.5634680134680135,0.5410714285714285
SINCERITIES,0.7539758852258852,0.5208994708994709,0.8177248677248677,0.7765542328042327,0.6757733007733008,0.8688672438672438,0.6504779942279942,0.336453823953824,0.8110625485625486,0.7191798941798941,0.9204545454545454,0.8618055555555556,0.901098901098901,0.8495115995115994,0.8549297924297923,0.9296296296296296,0.8495115995115994,0.8740079365079365,0.8759615384615385,0.8159902597402597,0.845914502164502,0.8705433455433456,0.8407738095238095,0.8618055555555556,0.8341346153846153,0.8448412698412697,0.8549297924297923,0.7422364672364672,0.9128787878787878,0.8495115995115994
