,Spearman Median,Spearman MAD
GENIE3,0.9862068965517241,0.006705710650741428
GRISLI,0.8976640711902113,0.051234731680993136
GRNBOOST2,0.9354838709677419,0.020473934206486803
GRNVBEM,0.785793809841906,0.09089009158086025
LEAP,0.8139741878059635,0.14730941429778105
PIDC,0.9357142857142857,0.039470735896419626
PPCOR,0.9620354179123505,0.015485827763864788
SCINGE,0.5538376668924895,0.14844223946054652
SCNS,0.2734259727095758,0.22094990723123414
SCODE,0.8923248053392658,0.0954554075806255
SCRIBE,0.38153503893214685,0.14936616792546023
SINCERITIES,0.8461494902689882,0.08389881260021727
