,PseudoTime0,PseudoTime1,PseudoTime2
E122_3_685,,,3.685
E7_7_129,7.129,,
E121_4_245,,,4.245
E126_2_884,,2.884,
E11_1_202,,1.202,
E7_6_408,6.408,,
E100_0_32,,0.32,
E9_2_163,,2.163,
E118_4_245,4.245,,
E139_1_842,,,1.842
E133_1_842,,1.842,
E95_2_003,,,2.003
E16_4_325,4.325,,
E104_7_69,,7.69,
E88_4_085,4.085,,
E128_2_323,,2.323,
E74_0_0,,0.0,
E140_2_563,,,2.563
E3_3_605,,3.605,
E3_3_044,,3.044,
E44_1_121,1.121,,
E5_3_444,3.444,,
E47_4_085,,,4.085
E103_6_568,,6.568,
E145_5_287,,,5.287
E35_3_925,,3.925,
E28_4_325,,4.325,
E86_6_969,6.969,,
E47_6_168,,,6.168
E96_2_243,2.243,,
E80_4_005,,4.005,
E18_6_328,6.328,,
E122_2_323,,,2.323
E107_0_561,,0.561,
E118_0_961,0.961,,
E47_6_809,,,6.809
E65_4_806,4.806,,
E114_6_328,6.328,,
E52_4_646,,,4.646
E14_1_202,,,1.202
E73_5_126,,5.126,
E0_6_889,,6.889,
E111_4_806,4.806,,
E66_6_008,,,6.008
E42_5_927,,,5.927
E92_6_408,,,6.408
E0_1_442,,1.442,
E106_1_762,1.762,,
E15_3_605,,3.605,
E1_4_085,,,4.085
E18_3_124,3.124,,
E34_2_563,2.563,,
E66_5_447,,,5.447
E71_4_486,,4.486,
E88_7_61,7.61,,
E93_3_685,3.685,,
E70_6_328,6.328,,
E129_7_77,,,7.77
E75_5_367,5.367,,
E64_4_486,4.486,,
E105_5_046,5.046,,
E110_5_367,,5.367,
E126_1_282,,1.282,
E31_0_08,,0.08,
E67_4_245,,4.245,
E21_2_884,2.884,,
E51_5_126,,5.126,
E125_4_726,4.726,,
E107_0_801,,0.801,
E3_1_121,,1.121,
E142_1_041,,,1.041
E0_1_121,,1.121,
E129_4_886,,,4.886
E16_6_408,6.408,,
E4_1_282,,,1.282
E89_6_648,6.648,,
E6_5_367,,,5.367
E58_3_685,,,3.685
E71_4_806,,4.806,
E9_2_643,,2.643,
E2_5_527,5.527,,
E4_3_605,,,3.605
E63_0_641,,,0.641
E128_7_93,,7.93,
E6_5_287,,,5.287
E66_3_765,,,3.765
E51_6_969,,6.969,
E117_6_488,,6.488,
E35_4_245,,4.245,
E126_2_243,,2.243,
E100_4_806,,4.806,
E37_2_243,2.243,,
E70_5_367,5.367,,
E62_2_964,,2.964,
E62_5_847,,5.847,
E60_7_209,,7.209,
E102_1_442,,,1.442
E56_1_522,,,1.522
E123_3_524,,3.524,
E118_7_049,7.049,,
E142_3_444,,,3.444
E92_5_687,,,5.687
E6_0_481,,,0.481
E12_6_248,6.248,,
E51_5_287,,5.287,
E65_2_163,2.163,,
E51_4_566,,4.566,
E144_7_129,7.129,,
E103_5_527,,5.527,
E5_6_488,6.488,,
E128_1_602,,1.602,
E147_0_481,,,0.481
E44_1_442,1.442,,
E4_6_088,,,6.088
E129_0_481,,,0.481
E134_3_124,3.124,,
E140_2_804,,,2.804
E114_4_726,4.726,,
E98_1_041,,,1.041
E56_6_088,,,6.088
E105_2_884,2.884,,
E49_7_529,7.529,,
E6_3_124,,,3.124
E2_6_088,6.088,,
E3_1_682,,1.682,
E1_6_728,,,6.728
E95_2_723,,,2.723
E115_4_165,,4.165,
E0_1_602,,1.602,
E76_2_723,2.723,,
E128_1_682,,1.682,
E54_5_607,5.607,,
E123_2_403,,2.403,
E104_6_248,,6.248,
E60_0_32,,0.32,
E93_5_607,5.607,,
E140_4_726,,,4.726
E34_7_61,7.61,,
E147_3_044,,,3.044
E37_0_24,0.24,,
E107_5_046,,5.046,
E144_1_121,1.121,,
E18_0_32,0.32,,
E98_3_364,,,3.364
E63_2_243,,,2.243
E12_5_207,5.207,,
E81_2_483,2.483,,
E67_2_964,,2.964,
E12_7_93,7.93,,
E118_4_646,4.646,,
E88_0_08,0.08,,
E129_6_488,,,6.488
E92_2_163,,,2.163
E63_6_328,,,6.328
E58_1_282,,,1.282
E107_4_726,,4.726,
E44_5_767,5.767,,
E42_2_323,,,2.323
E10_5_287,,,5.287
E39_2_964,,2.964,
E18_7_369,7.369,,
E88_2_403,2.403,,
E46_2_243,,,2.243
E10_3_685,,,3.685
E17_6_248,,6.248,
E2_6_248,6.248,,
E3_1_041,,1.041,
E83_1_522,,,1.522
E81_6_809,6.809,,
E39_5_126,,5.126,
E121_6_408,,,6.408
E143_2_964,,,2.964
E78_6_969,,,6.969
E130_2_643,,2.643,
E39_3_364,,3.364,
E145_6_168,,,6.168
E3_6_728,,6.728,
E73_6_809,,6.809,
E5_3_925,3.925,,
E22_6_008,,,6.008
E46_0_721,,,0.721
E52_0_24,,,0.24
E122_0_08,,,0.08
E86_2_003,2.003,,
E56_2_483,,,2.483
E136_1_202,,,1.202
E46_4_406,,,4.406
E111_7_049,7.049,,
E6_0_881,,,0.881
E75_4_085,4.085,,
E46_0_561,,,0.561
E34_7_85,7.85,,
E117_7_85,,7.85,
E40_0_32,0.32,,
E78_2_483,,,2.483
E98_4_486,,,4.486
E70_5_207,5.207,,
E85_2_403,,2.403,
E52_6_889,,,6.889
E147_3_925,,,3.925
E15_1_842,,1.842,
E40_5_046,5.046,,
E39_4_486,,4.486,
E122_1_682,,,1.682
E136_3_124,,,3.124
E4_6_328,,,6.328
E11_3_044,,3.044,
E110_4_806,,4.806,
E126_6_648,,6.648,
E75_6_408,6.408,,
E18_2_243,2.243,,
E16_6_488,6.488,,
E95_5_927,,,5.927
E65_5_447,5.447,,
E31_1_602,,1.602,
E3_4_165,,4.165,
E103_4_646,,4.646,
E93_2_804,2.804,,
E12_4_726,4.726,,
E130_1_842,,1.842,
E9_3_364,,3.364,
E42_2_563,,,2.563
E121_0_401,,,0.401
E106_7_61,7.61,,
E121_2_083,,,2.083
E9_3_044,,3.044,
E125_4_486,4.486,,
E73_0_08,,0.08,
E124_2_884,2.884,,
E13_5_847,,,5.847
E94_2_243,,2.243,
E117_6_809,,6.809,
E143_7_049,,,7.049
E51_2_804,,2.804,
E21_5_927,5.927,,
E95_6_328,,,6.328
