,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E44_1_202,,,1.202,,
E94_1_303,,1.303,,,
E87_2_004,2.004,,,,
E47_4_359,,4.359,,,
E42_2_705,,,,2.705,
E106_4_509,,,4.509,,
E99_3_958,,3.958,,,
E10_4_359,4.359,,,,
E23_4_86,,,4.86,,
E85_4_108,,4.108,,,
E89_0_902,,,,0.902,
E13_3_858,,3.858,,,
E49_0_05,,,,,0.05
E72_0_601,0.601,,,,
E90_3_507,3.507,,,,
E99_3_507,,3.507,,,
E42_4_86,,,,4.86,
E1_3_357,3.357,,,,
E6_0_501,0.501,,,,
E84_4_359,,4.359,,,
E5_2_405,,,,2.405,
E109_0_551,,,,0.551,
E22_3_607,,3.607,,,
E75_2_806,,2.806,,,
E6_2_705,2.705,,,,
E98_2_455,,2.455,,,
E21_3_808,,3.808,,,
E40_0_651,,0.651,,,
E131_3_457,,3.457,,,
E113_0_651,0.651,,,,
E90_1_002,1.002,,,,
E23_1_503,,,1.503,,
E111_1_453,,,1.453,,
E19_2_405,2.405,,,,
E71_3_557,,3.557,,,
E122_2_305,,,,2.305,
E25_1_804,1.804,,,,
E107_4_259,,,,,4.259
E106_4_208,,,4.208,,
E65_2_705,2.705,,,,
E63_2_154,2.154,,,,
E140_1_353,1.353,,,,
E59_3_056,,,,3.056,
E37_2_204,2.204,,,,
E22_4_208,,4.208,,,
E111_4_509,,,4.509,,
E144_2_204,,2.204,,,
E124_4_208,,,,,4.208
E59_4_76,,,,4.76,
E6_0_952,0.952,,,,
E116_0_752,,0.752,,,
E32_3_457,,,3.457,,
E82_2_154,2.154,,,,
E139_3_858,3.858,,,,
E43_2_154,,2.154,,,
E131_0_401,,0.401,,,
E25_0_952,0.952,,,,
E77_1_603,,,,1.603,
E35_4_91,,,,,4.91
E96_2_405,2.405,,,,
E78_3_407,,,,3.407,
E26_4_81,,,,4.81,
E39_0_902,,0.902,,,
E131_2_455,,2.455,,,
E38_0_15,,,,,0.15
E96_2_605,2.605,,,,
E128_2_655,,,,2.655,
E38_2_455,,,,,2.455
E124_0_902,,,,,0.902
E4_2_605,,,,2.605,
E33_3_908,,,,3.908,
E95_4_81,,,,4.81,
E23_1_353,,,1.353,,
E144_2_054,,2.054,,,
E21_0_251,,0.251,,,
E38_1_653,,,,,1.653
E106_2_104,,,2.104,,
E75_3_206,,3.206,,,
E105_3_307,,,,3.307,
E56_2_956,2.956,,,,
E85_0_852,,0.852,,,
E85_1_102,,1.102,,,
E0_1_553,,,,1.553,
E80_0_601,,0.601,,,
E46_1_453,1.453,,,,
E87_4_259,4.259,,,,
E16_3_457,,,,3.457,
E51_0_251,0.251,,,,
E30_1_152,,,,1.152,
E94_0_251,,0.251,,,
E15_1_152,,1.152,,,
E82_2_856,2.856,,,,
E77_3_607,,,,3.607,
E125_3_758,3.758,,,,
E73_1_804,,1.804,,,
E62_1_002,,,,,1.002
E33_2_054,,,,2.054,
E39_2_555,,2.555,,,
E96_1_403,1.403,,,,
E87_3_206,3.206,,,,
E146_0_451,,0.451,,,
E123_1_052,1.052,,,,
E88_1_703,,1.703,,,
E0_0_902,,,,0.902,
E23_0_501,,,0.501,,
E103_2_054,,2.054,,,
E72_4_459,4.459,,,,
E15_2_154,,2.154,,,
E5_1_052,,,,1.052,
E90_4_058,4.058,,,,
E143_0_501,,,,0.501,
E60_1_904,,,,1.904,
E64_0_451,,,,0.451,
E111_2_355,,,2.355,,
E58_4_108,,,,4.108,
E32_2_806,,,2.806,,
E130_3_206,3.206,,,,
E105_2_305,,,,2.305,
E24_3_307,,3.307,,,
E96_1_253,1.253,,,,
E122_4_259,,,,4.259,
E13_2_355,,2.355,,,
E64_1_653,,,,1.653,
E57_0_2,,0.2,,,
E35_1_152,,,,,1.152
E45_2_305,,2.305,,,
E144_0_651,,0.651,,,
E142_1_453,1.453,,,,
E97_3_607,,,,3.607,
E11_0_651,,,,0.651,
E93_4_509,,,,4.509,
E8_2_255,,,,2.255,
E70_2_455,,,,2.455,
E109_2_255,,,,2.255,
E140_2_004,2.004,,,,
E147_1_202,,1.202,,,
E90_4_609,4.609,,,,
E4_4_309,,,,4.309,
E109_4_609,,,,4.609,
E108_0_1,,0.1,,,
E115_1_503,1.503,,,,
E142_2_305,2.305,,,,
E148_1_553,,,1.553,,
E4_3_357,,,,3.357,
E133_0_451,,0.451,,,
E61_3_307,,,,3.307,
E85_0_752,,0.752,,,
E73_0_05,,0.05,,,
E96_4_459,4.459,,,,
E0_1_653,,,,1.653,
E104_2_555,,,,2.555,
E25_3_808,3.808,,,,
E70_0_251,,,,0.251,
E22_4_559,,4.559,,,
E90_0_251,0.251,,,,
E8_3_707,,,,3.707,
E65_3_858,3.858,,,,
E118_0_401,,0.401,,,
E78_1_102,,,,1.102,
E100_4_76,,,,4.76,
E105_3_908,,,,3.908,
E81_1_703,1.703,,,,
E22_2_605,,2.605,,,
E66_4_91,4.91,,,,
E138_1_102,1.102,,,,
E73_4_108,,4.108,,,
E45_0_0,,0.0,,,
E117_3_808,3.808,,,,
E88_4_359,,4.359,,,
E3_4_86,,4.86,,,
E143_2_605,,,,2.605,
E128_4_86,,,,4.86,
E109_4_459,,,,4.459,
E127_1_854,,1.854,,,
E147_3_758,,3.758,,,
E83_3_457,3.457,,,,
E75_1_152,,1.152,,,
E38_2_806,,,,,2.806
E39_0_401,,0.401,,,
E67_1_703,1.703,,,,
E12_3_557,,,,3.557,
E108_1_804,,1.804,,,
E53_2_705,,2.705,,,
E1_2_705,2.705,,,,
E88_2_405,,2.405,,,
E123_1_854,1.854,,,,
E95_4_309,,,,4.309,
E76_2_655,,,,2.655,
E7_3_758,3.758,,,,
E83_4_96,4.96,,,,
E91_4_76,,,,4.76,
E121_0_401,,,,0.401,
E61_3_557,,,,3.557,
E46_1_754,1.754,,,,
E93_3_106,,,,3.106,
