,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E73_1_052,,1.052,,,
E89_2_405,,,,2.405,
E16_1_904,,,,1.904,
E103_0_1,,0.1,,,
E83_1_152,1.152,,,,
E45_3_156,,3.156,,,
E63_4_459,4.459,,,,
E118_3_206,,3.206,,,
E11_4_309,,,,4.309,
E70_3_908,,,,3.908,
E107_0_752,,,,,0.752
E119_4_609,,,,,4.609
E104_1_002,,,,1.002,
E138_1_002,1.002,,,,
E74_0_401,,,,0.401,
E118_4_659,,4.659,,,
E109_4_459,,,,4.459,
E51_0_802,0.802,,,,
E97_2_756,,,,2.756,
E127_3_257,,3.257,,,
E12_2_756,,,,2.756,
E117_0_0,0.0,,,,
E61_0_401,,,,0.401,
E21_4_058,,4.058,,,
E39_4_659,,4.659,,,
E121_3_808,,,,3.808,
E143_4_259,,,,4.259,
E140_0_15,0.15,,,,
E108_4_409,,4.409,,,
E9_0_651,,,,0.651,
E27_3_457,3.457,,,,
E111_4_359,,,4.359,,
E39_0_451,,0.451,,,
E11_1_102,,,,1.102,
E74_2_856,,,,2.856,
E73_2_956,,2.956,,,
E12_3_056,,,,3.056,
E56_0_501,0.501,,,,
E1_3_808,3.808,,,,
E106_4_359,,,4.359,,
E47_2_004,,2.004,,,
E61_2_004,,,,2.004,
E0_1_603,,,,1.603,
E148_0_651,,,0.651,,
E70_0_2,,,,0.2,
E138_0_05,0.05,,,,
E113_1_202,1.202,,,,
E130_2_305,2.305,,,,
E61_1_954,,,,1.954,
E55_0_752,,,,0.752,
E24_3_808,,3.808,,,
E29_1_804,,1.804,,,
E83_2_956,2.956,,,,
E133_0_1,,0.1,,,
E140_1_603,1.603,,,,
E32_0_701,,,0.701,,
E16_0_852,,,,0.852,
E59_4_609,,,,4.609,
E12_4_81,,,,4.81,
E94_0_651,,0.651,,,
E140_0_601,0.601,,,,
E66_3_307,3.307,,,,
E31_2_305,,,,,2.305
E36_0_301,0.301,,,,
E7_4_509,4.509,,,,
E129_0_651,,0.651,,,
E70_1_904,,,,1.904,
E95_0_852,,,,0.852,
E61_0_752,,,,0.752,
E88_3_758,,3.758,,,
E66_0_601,0.601,,,,
E119_0_902,,,,,0.902
E139_3_307,3.307,,,,
E129_1_152,,1.152,,,
E110_4_96,,4.96,,,
E50_2_655,,2.655,,,
E7_0_0,0.0,,,,
E100_1_353,,,,1.353,
E122_3_507,,,,3.507,
E140_1_754,1.754,,,,
E137_3_958,,,,3.958,
E120_0_752,0.752,,,,
E55_4_709,,,,4.709,
E0_4_81,,,,4.81,
E86_0_251,,0.251,,,
E10_0_15,0.15,,,,
E116_3_006,,3.006,,,
E125_2_355,2.355,,,,
E43_1_904,,1.904,,,
E30_3_507,,,,3.507,
E50_4_359,,4.359,,,
E33_1_653,,,,1.653,
E84_3_156,,3.156,,,
E80_2_004,,2.004,,,
E113_3_607,3.607,,,,
E25_0_701,0.701,,,,
E123_4_659,4.659,,,,
E131_3_908,,3.908,,,
E86_0_802,,0.802,,,
E51_3_056,3.056,,,,
E96_0_15,0.15,,,,
E78_0_351,,,,0.351,
E108_4_058,,4.058,,,
E83_4_96,4.96,,,,
E149_3_758,3.758,,,,
E45_4_659,,4.659,,,
E12_4_659,,,,4.659,
E147_3_307,,3.307,,,
E71_2_305,,2.305,,,
E16_2_705,,,,2.705,
E23_2_555,,,2.555,,
E26_2_455,,,,2.455,
E96_1_353,1.353,,,,
E32_4_208,,,4.208,,
E48_4_409,,4.409,,,
E3_4_008,,4.008,,,
E33_0_651,,,,0.651,
E95_4_76,,,,4.76,
E97_0_05,,,,0.05,
E124_3_808,,,,,3.808
E40_0_251,,0.251,,,
E13_3_307,,3.307,,,
E143_2_355,,,,2.355,
E120_4_409,4.409,,,,
E126_0_952,,,,0.952,
E59_0_451,,,,0.451,
E75_0_701,,0.701,,,
E113_3_657,3.657,,,,
E88_2_004,,2.004,,,
E129_2_455,,2.455,,,
E127_2_004,,2.004,,,
E124_1_854,,,,,1.854
E24_3_707,,3.707,,,
E51_4_259,4.259,,,,
E77_1_403,,,,1.403,
E132_0_501,,,,0.501,
E54_3_557,3.557,,,,
E149_3_006,3.006,,,,
E143_1_002,,,,1.002,
E14_1_904,,1.904,,,
E148_1_303,,,1.303,,
E50_3_407,,3.407,,,
E97_4_158,,,,4.158,
E61_0_451,,,,0.451,
E85_2_956,,2.956,,,
E56_0_451,0.451,,,,
E84_2_806,,2.806,,,
E102_2_355,,,,2.355,
E126_4_96,,,,4.96,
E143_0_15,,,,0.15,
E139_4_359,4.359,,,,
E78_2_004,,,,2.004,
E86_2_305,,2.305,,,
E50_0_902,,0.902,,,
E14_1_152,,1.152,,,
E113_0_401,0.401,,,,
E136_0_601,0.601,,,,
E105_0_2,,,,0.2,
E146_4_81,,4.81,,,
E80_4_609,,4.609,,,
E31_0_0,,,,,0.0
E138_3_758,3.758,,,,
E4_2_856,,,,2.856,
E141_0_902,,,,0.902,
E84_1_854,,1.854,,,
E85_4_76,,4.76,,,
E63_2_455,2.455,,,,
E12_3_808,,,,3.808,
E5_2_555,,,,2.555,
E40_1_353,,1.353,,,
E65_4_659,4.659,,,,
E75_3_106,,3.106,,,
E115_4_559,4.559,,,,
E91_3_707,,,,3.707,
E119_1_954,,,,,1.954
E135_1_353,1.353,,,,
E110_1_804,,1.804,,,
E27_2_655,2.655,,,,
E147_3_106,,3.106,,,
E74_0_451,,,,0.451,
E91_4_058,,,,4.058,
E83_1_303,1.303,,,,
E70_3_607,,,,3.607,
E137_2_906,,,,2.906,
E139_0_351,0.351,,,,
E23_2_906,,,2.906,,
E23_2_605,,,2.605,,
E109_2_505,,,,2.505,
E1_2_856,2.856,,,,
E110_3_507,,3.507,,,
E130_3_908,3.908,,,,
E123_3_908,3.908,,,,
E24_0_15,,0.15,,,
E24_4_108,,4.108,,,
E87_4_86,4.86,,,,
E142_0_2,0.2,,,,
E126_0_451,,,,0.451,
E79_1_904,,1.904,,,
E32_0_301,,,0.301,,
E137_4_86,,,,4.86,
E136_1_904,1.904,,,,
E82_1_804,1.804,,,,
E11_0_1,,,,0.1,
E51_2_054,2.054,,,,
E17_1_253,,1.253,,,
E28_3_758,,,,3.758,
E85_4_158,,4.158,,,
E68_2_756,,2.756,,,
E85_3_206,,3.206,,,
E101_3_657,,3.657,,,
E83_4_91,4.91,,,,
E136_4_609,4.609,,,,
E110_1_653,,1.653,,,
E57_2_655,,2.655,,,
E98_4_91,,4.91,,,
E142_0_451,0.451,,,,
E130_0_251,0.251,,,,
E74_3_758,,,,3.758,
E27_4_008,4.008,,,,
E88_4_058,,4.058,,,
E32_4_76,,,4.76,,
E140_0_501,0.501,,,,
E100_3_257,,,,3.257,
E133_4_459,,4.459,,,
E125_2_555,2.555,,,,
E88_4_76,,4.76,,,
E23_1_804,,,1.804,,
E85_2_154,,2.154,,,
E134_4_96,,,4.96,,
E41_3_858,,3.858,,,
E87_1_703,1.703,,,,
E57_3_206,,3.206,,,
E127_2_806,,2.806,,,
E62_4_609,,,,,4.609
E136_3_607,3.607,,,,
E140_3_307,3.307,,,,
E80_3_056,,3.056,,,
E144_3_407,,3.407,,,
E149_2_355,2.355,,,,
E15_0_952,,0.952,,,
E11_1_202,,,,1.202,
E138_3_808,3.808,,,,
E70_3_858,,,,3.858,
E38_1_002,,,,,1.002
E13_3_206,,3.206,,,
E78_2_305,,,,2.305,
E30_4_76,,,,4.76,
E88_1_754,,1.754,,,
E136_2_605,2.605,,,,
E49_4_108,,,,,4.108
E122_4_208,,,,4.208,
E88_1_603,,1.603,,,
E130_3_557,3.557,,,,
E126_4_86,,,,4.86,
E134_2_004,,,2.004,,
E37_1_253,1.253,,,,
E55_4_509,,,,4.509,
E10_3_257,3.257,,,,
E0_1_403,,,,1.403,
E149_3_858,3.858,,,,
E48_0_0,,0.0,,,
E54_4_108,4.108,,,,
E61_3_808,,,,3.808,
E40_1_553,,1.553,,,
E114_3_407,,3.407,,,
E142_3_557,3.557,,,,
E60_3_908,,,,3.908,
E74_1_804,,,,1.804,
E59_4_158,,,,4.158,
E16_0_05,,,,0.05,
E75_2_405,,2.405,,,
E69_1_854,,,,1.854,
E116_4_509,,4.509,,,
E82_1_102,1.102,,,,
E53_4_309,,4.309,,,
E83_4_058,4.058,,,,
E68_4_86,,4.86,,,
E93_4_108,,,,4.108,
E23_2_154,,,2.154,,
E4_0_351,,,,0.351,
E57_1_754,,1.754,,,
E81_3_958,3.958,,,,
E56_1_603,1.603,,,,
E140_3_106,3.106,,,,
E17_2_455,,2.455,,,
E143_2_505,,,,2.505,
E7_0_752,0.752,,,,
E44_3_607,,,3.607,,
E8_1_253,,,,1.253,
E101_2_305,,2.305,,,
E143_0_251,,,,0.251,
E64_3_958,,,,3.958,
E131_4_96,,4.96,,,
E140_4_81,4.81,,,,
E146_4_359,,4.359,,,
E8_0_1,,,,0.1,
E48_4_259,,4.259,,,
E142_1_553,1.553,,,,
E28_1_754,,,,1.754,
E25_0_852,0.852,,,,
E130_2_004,2.004,,,,
E23_4_008,,,4.008,,
E7_4_91,4.91,,,,
E79_3_257,,3.257,,,
E57_2_054,,2.054,,,
E101_3_507,,3.507,,,
E48_2_004,,2.004,,,
E92_0_0,,0.0,,,
E50_4_108,,4.108,,,
E80_1_754,,1.754,,,
E36_4_509,4.509,,,,
E75_3_707,,3.707,,,
E60_0_301,,,,0.301,
E62_0_401,,,,,0.401
E13_4_409,,4.409,,,
E26_3_607,,,,3.607,
E129_1_904,,1.904,,,
E38_3_006,,,,,3.006
E149_0_05,0.05,,,,
E74_0_15,,,,0.15,
E3_4_709,,4.709,,,
E28_3_958,,,,3.958,
E65_0_251,0.251,,,,
E141_4_208,,,,4.208,
E38_1_353,,,,,1.353
E95_1_603,,,,1.603,
E23_2_856,,,2.856,,
E145_2_756,,2.756,,,
E78_3_808,,,,3.808,
E99_4_91,,4.91,,,
E73_2_405,,2.405,,,
E72_1_954,1.954,,,,
E142_4_509,4.509,,,,
E46_4_81,4.81,,,,
E68_0_551,,0.551,,,
E1_4_108,4.108,,,,
E31_4_309,,,,,4.309
E74_0_301,,,,0.301,
E26_3_858,,,,3.858,
E60_4_008,,,,4.008,
E25_0_752,0.752,,,,
E111_3_106,,,3.106,,
E33_0_952,,,,0.952,
E71_3_808,,3.808,,,
E38_2_054,,,,,2.054
E133_2_154,,2.154,,,
E126_2_505,,,,2.505,
E140_0_1,0.1,,,,
E67_0_651,0.651,,,,
E81_2_355,2.355,,,,
E21_4_709,,4.709,,,
E6_1_804,1.804,,,,
E111_4_86,,,4.86,,
E10_0_952,0.952,,,,
E117_1_703,1.703,,,,
E76_3_607,,,,3.607,
E52_1_453,,,,1.453,
E103_4_208,,4.208,,,
E1_2_705,2.705,,,,
E134_3_307,,,3.307,,
E120_3_307,3.307,,,,
E119_3_908,,,,,3.908
E132_4_108,,,,4.108,
E89_2_104,,,,2.104,
E148_2_856,,,2.856,,
E119_0_701,,,,,0.701
E26_2_154,,,,2.154,
E117_2_806,2.806,,,,
E33_2_705,,,,2.705,
E79_4_309,,4.309,,,
E139_1_102,1.102,,,,
E55_0_451,,,,0.451,
E37_3_908,3.908,,,,
E137_1_253,,,,1.253,
E4_4_86,,,,4.86,
E29_3_106,,3.106,,,
E61_4_008,,,,4.008,
E43_0_802,,0.802,,,
E77_1_002,,,,1.002,
E116_0_301,,0.301,,,
E143_0_451,,,,0.451,
E33_2_204,,,,2.204,
E31_4_81,,,,,4.81
E95_0_802,,,,0.802,
E10_1_403,1.403,,,,
E97_1_503,,,,1.503,
