Gene1,Gene2
AES,0610005C13RIK
AES,0610012H03RIK
AES,1110006G14RIK
AES,1200009O22RIK
AES,1600029D21RIK
AES,1700001J03RIK
AES,1700003I16RIK
AES,1700003M02RIK
AES,1700019M22RIK
AES,1700022F17RIK
AES,1700024B18RIK
AES,1700027J07RIK
AES,1700034O15RIK
AES,1700038P13RIK
AES,1700048B10RIK
AES,1700093J21RIK
AES,1700108N06RIK
AES,1700112E06RIK
AES,1810011O10RIK
AES,1810053B23RIK
AES,2010016I18RIK
AES,2310042E22RIK
AES,2310065F04RIK
AES,2310079G19RIK
AES,2410004A20RIK
AES,2610027K06RIK
AES,2610028H24RIK
AES,2610034B18RIK
AES,2700033N17RIK
AES,2810459M11RIK
AES,2900026A02RIK
AES,3110004A20RIK
AES,3110007F17RIK
AES,3830417A13RIK
AES,4831410D14
AES,4831426I19RIK
AES,4831440D22RIK
AES,4833413E03RIK
AES,4921517D21RIK
AES,4921533I20RIK
AES,4930422C21RIK
AES,4930428D20RIK
AES,4930429F24RIK
AES,4930439D14RIK
AES,4930448I18RIK
AES,4930449I04RIK
AES,4930452L12RIK
AES,4930458A03RIK
AES,4930461L14RIK
AES,4930473A06RIK
AES,4930523C07RIK
AES,4930578G10RIK
AES,4931430N09RIK
AES,4931431C16RIK
AES,4931432E15RIK
AES,4931432P07RIK
AES,4932431L22RIK
AES,4933405E24RIK
AES,4933422A05RIK
AES,4933428M09RIK
AES,4933432G23RIK
AES,5330413P13RIK
AES,5330439M10RIK
AES,5430401F13RIK
AES,5430402P08RIK
AES,5430431A17RIK
AES,5730446D14RIK
AES,5830428M24RIK
AES,6030407O03RIK
AES,6430503K07RIK
AES,6430526N21RIK
AES,6430548G04
AES,6430548M08RIK
AES,6430553K19RIK
AES,6720467L15RIK
AES,8030402F09RIK
AES,9430069I07RIK
AES,9430078K24RIK
AES,9630014M24RIK
AES,9930023K05RIK
AES,A130038J17RIK
AES,A130078K24RIK
AES,A230006K03RIK
AES,A230045G11RIK
AES,A230084N10
AES,A330009N23RIK
AES,A430048G15RIK
AES,A530065N20
AES,A630010A05RIK
AES,A730045E13RIK
AES,A730056A06RIK
AES,A730075L09RIK
AES,A830018L16RIK
AES,A930017M01RIK
AES,ABCB5
AES,ABI3
AES,ABLIM3
AES,ACOT3
AES,ADH1
AES,ADIPOQ
AES,AHSP
AES,AI854517
AES,ANGPT1
AES,ANKK1
AES,ANKRD22
AES,ANKRD24
AES,ANKRD34A
AES,ANKRD42
AES,AOX3
AES,APLN
AES,APOB
AES,APOC2
AES,ARL6IP5
AES,ATXN1
AES,ATXN7L3
AES,AY761184
AES,B020011L13RIK
AES,B230119M05RIK
AES,B230206L02RIK
AES,B230218P12RIK
AES,BATF2
AES,BC017612
AES,BC034090
AES,BC051142
AES,BC061237
AES,BC065403
AES,BCL2A1C
AES,BHLHE41
AES,BLOC1S3
AES,BMPR1B
AES,BNC1
AES,BRUNOL5
AES,BTLA
AES,BTN1A1
AES,C130022M03RIK
AES,C1RA
AES,C230037E05RIK
AES,C230088H06RIK
AES,C330026H20RIK
AES,C430049B03RIK
AES,C79589
AES,C87129
AES,CALCB
AES,CALCR
AES,CAMK2A
AES,CASP14
AES,CASP4
AES,CASR
AES,CBLN4
AES,CCDC151
AES,CCDC154
AES,CCDC38
AES,CD300E
AES,CD44
AES,CD79A
AES,CD86
AES,CDC26
AES,CDKN2A
AES,CDX2
AES,CFH
AES,CHMP4B
AES,CHRM3
AES,CHTF8
AES,CKMT1
AES,CLDN11
AES,CLEC4A3
AES,CMTM5
AES,COL24A1
AES,COL4A5
AES,CPB1
AES,CPEB1
AES,CRISPLD1
AES,CRYBA1
AES,CSNK2A2
AES,CSPRS
AES,CST13
AES,CTS6
AES,CTSK
AES,CTSM
AES,CUBN
AES,CXCL12
AES,CYM
AES,CYP2A4
AES,CYP2B9
AES,CYP2C70
AES,CYP4A30B
AES,CYP4F14
AES,CYPT12
AES,CYSLTR1
AES,D17H6S56E-3
AES,D1ERTD75E
AES,D430041D05RIK
AES,D430042O09RIK
AES,D630003M21RIK
AES,D630004K10RIK
AES,D730048J04RIK
AES,D830013H23RIK
AES,D830016K09RIK
AES,DAAM2
AES,DBPHT1
AES,DCUN1D5
AES,DEFB50
AES,DKK1
AES,DLEU2
AES,DLX1AS
AES,DLX2
AES,DLX6
AES,DLX6OS1
AES,DMRT3
AES,DNAHC9
AES,DNASE1
AES,DNHD1
AES,DPCR1
AES,DRAM1
AES,DSC1
AES,DUOX1
AES,E330033J05RIK
AES,EG620532
AES,EG666692
AES,EHBP1
AES,EIF4E1B
AES,ELF4
AES,ELP4
