Gene1,Gene2
RGS14,GNAI3
MAPK3,GNAI3
MAPK1,GNAI3
RAPGEF3,GNAI3
NKX3-1,PBSN
AR,PBSN
MCM6,CDC45
MCM3,CDC45
ORC2,CDC45
KNTC1,CDC45
MCM5,CDC45
MCM4,CDC45
CHAF1A,CDC45
BRCA1,CDC45
ATM,CDC45
TIMELESS,CDC45
RFC1,CDC45
MCM2,CDC45
ANKRD32,CDC45
MCM7,CDC45
RAD51,CDC45
PTTG1,CDC45
ESPL1,CDC45
TRIP13,CDC45
FOXM1,CDC45
PTRF,CAV2
KLF6,JUN
JUN,KLF6
KLF6,ATF3
ATF3,KLF6
KLF6,BTG2
BTG2,KLF6
TBX2,BMP4
BMP4,TBX2
TBX2,NKX2-5
NKX2-5,TBX2
NFKB1,NGFR
NDN,NGFR
ZFP110,NGFR
TRP53,NGFR
MAPK8,NGFR
HGF,NGFR
MYD88,NGFR
PRDM4,NGFR
NFKBIA,NGFR
RELA,NGFR
IKBKB,NGFR
T,WNT3
LEF1,WNT3
BMP4,WNT3
CTNNB1,WNT3
WNT5A,WNT3
WNT1,WNT3
CTNNB1,WNT9A
WNT5A,WNT9A
WNT1,WNT9A
CTNNB1,FERT2
PA2G4,ACTR2
CDC5L,ACTR2
DAB2,ACTR2
BIN1,ACTR2
MAPK1,ACTR2
MAPK8,ACTR2
SYT1,ACTR2
WNT5A,ACTR2
RGS14,ITGB2L
DMP1,FGF23
PTH,FGF23
MAPK1,FGF23
BMP4,FGF23
VDR,FGF23
MEN1,FGF23
MAPK3,FGF23
SOS1,FGF23
CSF1,FGF23
MAPK1,FGF6
MAPK3,FGF6
SOS1,FGF6
RB1,CCND2
TFDP2,CCND2
E2F2,CCND2
GLI1,CCND2
E2F5,CCND2
TFDP1,CCND2
MYC,CCND2
RBL1,CCND2
CBFB,CCND2
RUNX1,CCND2
BCL6,CCND2
RBL2,CCND2
E2F1,CCND2
GLI3,CCND2
E2F3,CCND2
GLI2,CCND2
E2F4,CCND2
ABL1,CCND2
CCND1,CCND2
IL10,CCL2
