,PseudoTime0,PseudoTime1,PseudoTime2
E111_4_886,,,4.886
E45_4_085,,4.085,
E42_2_884,2.884,,
E12_3_605,,,3.605
E56_6_969,6.969,,
E86_4_646,,,4.646
E83_7_77,7.77,,
E89_7_77,,,7.77
E66_2_003,2.003,,
E75_3_364,,,3.364
E50_3_364,,3.364,
E21_0_401,,,0.401
E78_7_129,7.129,,
E110_2_083,,2.083,
E86_6_328,,,6.328
E99_2_643,2.643,,
E52_2_723,2.723,,
E140_2_964,2.964,,
E87_3_284,,,3.284
E98_7_449,7.449,,
E143_0_641,0.641,,
E90_6_488,,,6.488
E145_3_444,3.444,,
E37_7_93,,,7.93
E12_1_442,,,1.442
E31_3_685,,3.685,
E58_1_842,1.842,,
E99_2_243,2.243,,
E4_3_364,3.364,,
E24_6_008,,,6.008
E9_3_605,,3.605,
E28_1_362,,1.362,
E50_3_765,,3.765,
E102_1_442,1.442,,
E112_4_406,,4.406,
E112_7_77,,7.77,
E118_3_685,,,3.685
E134_3_124,,,3.124
E93_3_044,,,3.044
E83_0_801,0.801,,
E68_6_168,6.168,,
E58_0_0,0.0,,
E99_5_287,5.287,,
E144_5_447,,,5.447
E73_1_762,,1.762,
E89_5_687,,,5.687
E81_6_328,,,6.328
E136_1_682,1.682,,
E46_2_643,2.643,,
E111_7_209,,,7.209
E110_1_202,,1.202,
E102_5_687,5.687,,
E49_6_008,,,6.008
E2_7_529,,,7.529
E31_2_804,,2.804,
E129_2_643,2.643,,
E77_5_447,,,5.447
E56_1_602,1.602,,
E136_5_927,5.927,,
E114_1_121,,,1.121
E60_7_449,,7.449,
E93_1_602,,,1.602
E75_4_646,,,4.646
E89_7_69,,,7.69
E61_5_046,,5.046,
E122_4_966,4.966,,
E73_4_406,,4.406,
E84_2_804,2.804,,
E39_2_723,,2.723,
E90_1_121,,,1.121
E108_0_561,,0.561,
E2_0_0,,,0.0
E90_2_083,,,2.083
E12_0_721,,,0.721
E89_7_209,,,7.209
E50_1_202,,1.202,
E79_4_726,,,4.726
E46_7_129,7.129,,
E70_6_889,,,6.889
E33_0_881,,0.881,
E2_5_367,,,5.367
E15_0_08,,0.08,
E100_2_563,,2.563,
E10_2_964,2.964,,
E29_7_449,7.449,,
E3_2_083,,2.083,
E91_2_003,,2.003,
E97_7_369,,7.369,
E63_6_328,6.328,,
E143_5_046,5.046,,
E49_2_884,,,2.884
E61_3_765,,3.765,
E118_3_605,,,3.605
E147_2_884,2.884,,
E72_3_765,,,3.765
E142_0_961,0.961,,
E92_7_129,7.129,,
E24_5_447,,,5.447
E68_7_93,7.93,,
E22_4_726,4.726,,
E92_2_083,2.083,,
E44_4_966,,,4.966
E138_2_483,,2.483,
E144_2_243,,,2.243
E111_4_245,,,4.245
E103_2_643,,2.643,
E107_6_809,,6.809,
E142_6_088,6.088,,
E140_1_442,1.442,,
E98_5_287,5.287,,
E46_0_641,0.641,,
E36_0_401,,0.401,
E39_2_884,,2.884,
E63_3_925,3.925,,
E50_0_561,,0.561,
E2_7_93,,,7.93
E20_5_447,5.447,,
E25_6_088,,,6.088
E115_6_568,,6.568,
E81_6_969,,,6.969
E36_1_842,,1.842,
E3_3_124,,3.124,
E110_2_323,,2.323,
E106_0_0,,,0.0
E78_0_16,0.16,,
E15_4_245,,4.245,
E40_6_648,,,6.648
E45_7_93,,7.93,
E14_5_046,5.046,,
E97_0_721,,0.721,
E136_6_488,6.488,,
E115_4_646,,4.646,
E33_6_488,,6.488,
E52_7_449,7.449,,
E20_2_643,2.643,,
E46_5_207,5.207,,
E39_7_049,,7.049,
E129_3_364,3.364,,
E115_7_93,,7.93,
E19_6_248,,6.248,
E111_3_524,,,3.524
E37_1_522,,,1.522
E5_7_449,,,7.449
E66_3_925,3.925,,
E28_3_124,,3.124,
E25_5_927,,,5.927
E45_3_925,,3.925,
E52_0_961,0.961,,
E135_2_483,,,2.483
E29_0_32,0.32,,
E54_1_442,,,1.442
E91_2_723,,2.723,
E92_2_163,2.163,,
E1_6_889,6.889,,
E87_2_884,,,2.884
E125_5_527,,,5.527
E15_1_442,,1.442,
E96_2_643,,,2.643
E4_0_801,0.801,,
E138_2_643,,2.643,
E10_7_369,7.369,,
E68_5_607,5.607,,
E109_3_124,,3.124,
E142_6_648,6.648,,
E5_0_801,,,0.801
E42_2_964,2.964,,
E13_6_328,6.328,,
E95_0_0,0.0,,
E121_1_682,1.682,,
E106_6_248,,,6.248
E93_7_129,,,7.129
E78_0_641,0.641,,
E97_2_804,,2.804,
E42_2_563,2.563,,
E6_3_444,3.444,,
E54_7_209,,,7.209
E10_5_687,5.687,,
