,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E62_2_154,,,,,2.154
E31_4_309,,,,,4.309
E54_0_701,0.701,,,,
E104_0_952,,,,0.952,
E143_3_307,,,,3.307,
E127_4_208,,4.208,,,
E141_1_253,,,,1.253,
E139_3_707,3.707,,,,
E74_4_058,,,,4.058,
E100_2_104,,,,2.104,
E135_4_659,4.659,,,,
E131_0_952,,0.952,,,
E134_1_603,,,1.603,,
E47_4_96,,4.96,,,
E81_0_401,0.401,,,,
E70_1_754,,,,1.754,
E49_0_601,,,,,0.601
E61_3_206,,,,3.206,
E136_2_655,2.655,,,,
E62_0_351,,,,,0.351
E143_4_559,,,,4.559,
E44_1_453,,,1.453,,
E95_1_102,,,,1.102,
E103_4_91,,4.91,,,
E52_2_956,,,,2.956,
E84_1_954,,1.954,,,
E19_0_802,0.802,,,,
E81_3_707,3.707,,,,
E42_1_453,,,,1.453,
E24_2_806,,2.806,,,
E13_0_601,,0.601,,,
E53_2_655,,2.655,,,
E122_2_605,,,,2.605,
E95_4_359,,,,4.359,
E72_1_553,1.553,,,,
E122_1_503,,,,1.503,
E12_4_709,,,,4.709,
E103_2_956,,2.956,,,
E77_1_854,,,,1.854,
E123_2_255,2.255,,,,
E47_3_808,,3.808,,,
E147_2_054,,2.054,,,
E88_1_303,,1.303,,,
E148_1_603,,,1.603,,
E20_2_204,2.204,,,,
E55_1_703,,,,1.703,
E126_1_353,,,,1.353,
E101_4_309,,4.309,,,
E90_4_259,4.259,,,,
E59_0_451,,,,0.451,
E19_1_202,1.202,,,,
E72_1_253,1.253,,,,
E138_2_255,2.255,,,,
E104_2_255,,,,2.255,
E130_4_709,4.709,,,,
E88_3_407,,3.407,,,
E147_2_154,,2.154,,,
E111_0_1,,,0.1,,
E48_3_006,,3.006,,,
E137_4_559,,,,4.559,
E67_3_457,3.457,,,,
E71_1_603,,1.603,,,
E13_0_501,,0.501,,,
E12_1_904,,,,1.904,
E84_2_204,,2.204,,,
E85_3_357,,3.357,,,
E80_0_952,,0.952,,,
E138_1_052,1.052,,,,
E59_2_505,,,,2.505,
E79_0_451,,0.451,,,
E90_3_056,3.056,,,,
E19_4_609,4.609,,,,
E108_2_355,,2.355,,,
E149_4_259,4.259,,,,
E42_0_301,,,,0.301,
E127_0_2,,0.2,,,
E145_2_956,,2.956,,,
E76_4_86,,,,4.86,
E24_1_052,,1.052,,,
E20_1_303,1.303,,,,
E8_3_407,,,,3.407,
E125_4_359,4.359,,,,
E4_2_455,,,,2.455,
