,PseudoTime0,PseudoTime1,PseudoTime2
E79_2_723,2.723,,
E79_7_77,7.77,,
E142_3_845,,,3.845
E67_3_044,,3.044,
E67_3_524,,3.524,
E136_1_682,,,1.682
E41_5_046,,5.046,
E136_4_406,,,4.406
E149_6_648,6.648,,
E131_2_643,,2.643,
E75_5_527,5.527,,
E24_6_728,6.728,,
E82_0_881,0.881,,
E86_5_687,5.687,,
E102_1_202,,,1.202
E38_0_881,,0.881,
E96_7_61,7.61,,
E90_7_049,7.049,,
E83_1_282,,,1.282
E119_2_964,,2.964,
E63_7_209,,,7.209
E103_2_163,,2.163,
E80_4_406,,4.406,
E2_7_85,7.85,,
E135_7_529,7.529,,
E147_6_248,,,6.248
E130_4_646,,4.646,
E78_6_809,,,6.809
E34_2_563,2.563,,
E135_0_32,0.32,,
E133_3_765,,3.765,
E23_7_369,7.369,,
E36_6_168,,6.168,
E105_5_447,5.447,,
E127_3_284,,3.284,
E131_4_566,,4.566,
E126_4_245,,4.245,
E31_0_801,,0.801,
E109_5_607,,5.607,
E40_1_282,1.282,,
E137_2_643,2.643,,
E4_6_648,,,6.648
E78_5_287,,,5.287
E126_2_403,,2.403,
E83_6_969,,,6.969
E118_6_648,6.648,,
E11_4_165,,4.165,
E47_6_408,,,6.408
E13_3_685,,,3.685
E78_6_008,,,6.008
E36_6_728,,6.728,
E35_7_77,,7.77,
E22_1_682,,,1.682
E130_0_24,,0.24,
E140_5_607,,,5.607
E57_0_24,,0.24,
E60_5_767,,5.767,
E126_3_204,,3.204,
E75_4_806,4.806,,
E99_1_041,,,1.041
E29_6_248,,,6.248
E111_1_922,1.922,,
E146_6_969,,6.969,
E5_4_646,4.646,,
E19_3_765,,3.765,
E40_3_925,3.925,,
E20_5_527,,,5.527
E69_4_566,,4.566,
E8_3_204,,3.204,
E144_2_243,2.243,,
E95_7_369,,,7.369
E70_3_364,3.364,,
E17_5_687,,5.687,
E52_5_527,,,5.527
E69_2_003,,2.003,
E111_1_522,1.522,,
E4_6_728,,,6.728
E84_0_32,,,0.32
E122_0_08,,,0.08
E79_3_685,3.685,,
E78_4_486,,,4.486
E46_2_083,,,2.083
E20_3_124,,,3.124
E53_4_406,,4.406,
E25_5_207,5.207,,
E135_1_282,1.282,,
E47_1_842,,,1.842
E102_6_889,,,6.889
E92_4_886,,,4.886
E137_5_207,5.207,,
E147_2_723,,,2.723
E16_0_08,0.08,,
E14_0_801,,,0.801
E146_1_762,,1.762,
E64_0_801,0.801,,
E36_6_488,,6.488,
E31_3_685,,3.685,
E125_7_049,7.049,,
E124_4_806,4.806,,
E57_4_966,,4.966,
E106_6_008,6.008,,
E84_0_961,,,0.961
E24_6_328,6.328,,
E23_4_566,4.566,,
E78_2_483,,,2.483
E11_2_003,,2.003,
E36_5_607,,5.607,
E99_7_77,,,7.77
E101_1_202,,1.202,
E56_4_726,,,4.726
E90_4_325,4.325,,
E147_7_289,,,7.289
E10_6_648,,,6.648
E57_1_842,,1.842,
E144_7_369,7.369,,
E78_3_765,,,3.765
E44_7_369,7.369,,
E17_0_721,,0.721,
E56_1_842,,,1.842
E84_2_243,,,2.243
E99_4_966,,,4.966
E93_2_643,2.643,,
E30_4_245,,4.245,
E118_7_129,7.129,,
E14_7_049,,,7.049
E78_4_085,,,4.085
E124_5_767,5.767,,
E135_4_406,4.406,,
E86_3_284,3.284,,
E101_1_602,,1.602,
E52_7_209,,,7.209
E1_2_483,,,2.483
E82_6_088,6.088,,
E137_2_964,2.964,,
E93_4_966,4.966,,
E96_3_444,3.444,,
E13_0_24,,,0.24
E125_7_529,7.529,,
E98_3_605,,,3.605
E122_4_486,,,4.486
E132_6_969,6.969,,
E86_6_328,6.328,,
E17_7_77,,7.77,
E121_3_364,,,3.364
E90_4_165,4.165,,
E0_3_044,,3.044,
E101_0_0,,0.0,
E53_2_563,,2.563,
E3_4_566,,4.566,
E44_2_243,2.243,,
E25_2_563,2.563,,
E142_4_005,,,4.005
E13_2_964,,,2.964
E144_7_93,7.93,,
E131_7_69,,7.69,
E15_1_762,,1.762,
E143_2_884,,,2.884
E79_0_24,0.24,,
E107_4_085,,4.085,
E83_2_003,,,2.003
E120_4_165,,4.165,
E42_1_762,,,1.762
E129_5_687,,,5.687
E89_4_966,4.966,,
E101_3_925,,3.925,
E69_3_124,,3.124,
E125_0_721,0.721,,
E113_2_964,,,2.964
E35_0_32,,0.32,
E111_6_008,6.008,,
E67_1_762,,1.762,
E47_4_085,,,4.085
E46_3_284,,,3.284
E134_4_325,4.325,,
E120_5_126,,5.126,
E145_6_889,,,6.889
E111_6_809,6.809,,
E20_4_966,,,4.966
E142_0_481,,,0.481
E95_2_083,,,2.083
E83_7_93,,,7.93
E83_7_209,,,7.209
E15_6_248,,6.248,
E56_1_762,,,1.762
E42_0_32,,,0.32
E16_6_168,6.168,,
E64_7_61,7.61,,
E131_3_765,,3.765,
E130_2_723,,2.723,
E79_5_287,5.287,,
E109_3_124,,3.124,
E2_0_881,0.881,,
E57_0_16,,0.16,
E41_3_124,,3.124,
E145_6_969,,,6.969
E113_4_325,,,4.325
E52_2_884,,,2.884
E37_2_003,2.003,,
E47_2_643,,,2.643
E86_6_809,6.809,,
E8_5_847,,5.847,
E15_7_69,,7.69,
E134_4_566,4.566,,
E31_4_566,,4.566,
E126_2_723,,2.723,
E127_6_728,,6.728,
E17_1_282,,1.282,
E130_3_765,,3.765,
E137_0_881,0.881,,
E123_7_61,,7.61,
E4_2_243,,,2.243
E80_7_529,,7.529,
