,PseudoTime0,PseudoTime1,PseudoTime2
E1_2_003,,,2.003
E20_3_284,,,3.284
E102_6_889,,,6.889
E19_4_325,,4.325,
E89_4_486,4.486,,
E118_3_284,3.284,,
E34_6_889,6.889,,
E47_4_566,,,4.566
E63_1_762,,,1.762
E98_2_003,,,2.003
E134_5_607,5.607,,
E56_2_003,,,2.003
E92_3_605,,,3.605
E93_3_124,3.124,,
E123_0_721,,0.721,
E19_0_561,,0.561,
E132_5_367,5.367,,
E46_7_529,,,7.529
E24_4_325,4.325,,
E57_4_806,,4.806,
E115_4_325,,4.325,
E119_4_005,,4.005,
E59_4_646,,4.646,
E142_7_369,,,7.369
E66_3_845,,,3.845
E53_6_728,,6.728,
E25_1_922,1.922,,
E135_4_646,4.646,,
E142_4_566,,,4.566
E34_4_646,4.646,,
E56_0_08,,,0.08
E121_1_202,,,1.202
E133_4_486,,4.486,
E106_0_32,0.32,,
E66_6_728,,,6.728
E36_2_884,,2.884,
E58_2_804,,,2.804
E35_0_08,,0.08,
E24_5_447,5.447,,
E149_0_32,0.32,,
E122_2_884,,,2.884
E82_4_005,4.005,,
E129_1_682,,,1.682
E68_2_804,,,2.804
E136_1_602,,,1.602
E79_4_726,4.726,,
E144_2_003,2.003,,
E101_4_325,,4.325,
E38_1_442,,1.442,
E96_4_646,4.646,,
E98_5_447,,,5.447
E147_3_444,,,3.444
E25_2_243,2.243,,
E66_2_964,,,2.964
E38_1_682,,1.682,
E64_3_765,3.765,,
E123_5_927,,5.927,
E136_4_165,,,4.165
E98_3_364,,,3.364
E41_3_124,,3.124,
E102_0_961,,,0.961
E68_0_561,,,0.561
E4_6_969,,,6.969
E137_7_369,7.369,,
E4_6_889,,,6.889
E134_2_723,2.723,,
E20_5_207,,,5.207
E81_6_168,6.168,,
E147_0_721,,,0.721
E57_3_284,,3.284,
E145_7_61,,,7.61
E19_3_444,,3.444,
E17_2_723,,2.723,
E91_4_486,,4.486,
E81_7_049,7.049,,
E122_7_61,,,7.61
E113_1_041,,,1.041
E83_4_005,,,4.005
E35_0_561,,0.561,
E58_2_243,,,2.243
E38_3_364,,3.364,
E118_2_323,2.323,,
E22_3_685,,,3.685
E92_7_049,,,7.049
E81_6_008,6.008,,
E113_1_362,,,1.362
E60_0_08,,0.08,
E115_5_847,,5.847,
E1_4_325,,,4.325
E95_1_602,,,1.602
E98_4_966,,,4.966
E5_6_328,6.328,,
E120_0_721,,0.721,
E31_0_721,,0.721,
E67_2_483,,2.483,
E86_6_168,6.168,,
E83_4_966,,,4.966
E34_2_163,2.163,,
E102_0_721,,,0.721
E137_2_163,2.163,,
E143_2_403,,,2.403
E64_5_287,5.287,,
E58_5_207,,,5.207
E128_3_845,,3.845,
E64_2_163,2.163,,
E91_0_08,,0.08,
E3_6_248,,6.248,
E42_5_367,,,5.367
E11_0_08,,0.08,
E21_2_323,2.323,,
E38_7_209,,7.209,
E13_1_682,,,1.682
E135_2_643,2.643,,
E120_6_728,,6.728,
E3_6_568,,6.568,
E105_6_969,6.969,,
E105_3_364,3.364,,
E78_3_204,,,3.204
E130_7_449,,7.449,
E20_5_287,,,5.287
E65_2_643,2.643,,
E101_5_046,,5.046,
E47_2_964,,,2.964
E139_3_524,,,3.524
E135_5_847,5.847,,
E35_7_289,,7.289,
E109_0_481,,0.481,
E64_6_328,6.328,,
E36_7_369,,7.369,
E13_4_486,,,4.486
E113_1_842,,,1.842
E144_6_008,6.008,,
E66_3_444,,,3.444
E0_3_364,,3.364,
E54_7_369,7.369,,
E70_5_287,5.287,,
E79_4_806,4.806,,
E60_2_003,,2.003,
E90_2_083,2.083,,
E118_2_964,2.964,,
E143_3_044,,,3.044
E98_0_08,,,0.08
E22_6_809,,,6.809
E21_2_083,2.083,,
E143_4_005,,,4.005
E83_4_245,,,4.245
E140_0_08,,,0.08
E84_4_005,,,4.005
E83_3_845,,,3.845
E92_1_202,,,1.202
E128_1_282,,1.282,
E10_6_568,,,6.568
E132_5_287,5.287,,
E137_6_568,6.568,,
E86_1_842,1.842,,
E139_3_284,,,3.284
E0_1_282,,1.282,
E122_5_687,,,5.687
E89_3_044,3.044,,
E54_6_408,6.408,,
E36_0_16,,0.16,
E128_4_245,,4.245,
E121_3_925,,,3.925
E140_4_886,,,4.886
E13_7_529,,,7.529
E144_4_406,4.406,,
E82_0_481,0.481,,
E129_2_083,,,2.083
E80_7_529,,7.529,
E139_5_447,,,5.447
E83_7_369,,,7.369
E139_2_403,,,2.403
E105_6_728,6.728,,
