,VSC_2000_0,VSC_2000_1,VSC_2000_2,VSC_2000_3,VSC_2000_4,VSC_2000_5,VSC_2000_6,VSC_2000_7,VSC_2000_8,VSC_2000_9,VSC_2000_0_20,VSC_2000_1_20,VSC_2000_2_20,VSC_2000_3_20,VSC_2000_4_20,VSC_2000_5_20,VSC_2000_6_20,VSC_2000_7_20,VSC_2000_8_20,VSC_2000_9_20,VSC_2000_0_50,VSC_2000_1_50,VSC_2000_2_50,VSC_2000_3_50,VSC_2000_4_50,VSC_2000_5_50,VSC_2000_6_50,VSC_2000_7_50,VSC_2000_8_50,VSC_2000_9_50
GENIE3,83.59,88.35,80.01,81.25,81.0,85.41,81.65,86.01,81.08,82.88,68.09,75.7,73.74,74.06,69.1,73.63,74.81,73.36,77.16,73.37,71.1,72.05,70.96,69.74,69.81,68.89,69.94,80.86,61.63,73.83
GRISLI,313.25,321.11,311.0,325.52,304.19,311.24,360.86,323.65999999999997,321.67,336.61,300.04,301.11,310.35,285.48,317.38,274.78000000000003,290.65999999999997,299.14,264.99,274.77,269.83,278.18,287.84,284.84,266.11,302.63,297.89,314.22,743.97,825.1100000000001
GRNBOOST2,21.08,20.6,21.27,19.81,21.05,22.16,20.47,22.73,19.17,21.29,21.23,21.42,21.56,22.2,19.76,20.4,20.61,20.02,21.56,20.29,21.43,21.85,21.64,22.88,22.2,21.45,21.77,27.76,22.65,23.97
GRNVBEM,92.19,100.51,100.88,100.30999999999999,105.24000000000001,100.87,93.7,95.76,91.71000000000001,99.94,97.72,101.34,92.27,93.02,91.53000000000002,95.14,89.85,87.81,88.4,89.78,78.98,84.88,82.72,82.72000000000001,83.17999999999999,88.67,85.39999999999999,93.91,81.18,88.57000000000001
LEAP,11.649999999999999,14.36,14.459999999999999,13.790000000000001,16.73,14.790000000000003,18.039999999999996,15.840000000000002,14.229999999999999,14.42,11.34,14.26,14.879999999999997,14.690000000000001,14.58,13.650000000000002,15.14,13.1,12.580000000000002,13.190000000000001,11.25,14.55,14.900000000000002,14.200000000000001,13.800000000000002,13.43,15.920000000000002,13.270000000000001,13.42,14.139999999999999
PIDC,27.08,27.32,29.5,30.41,30.97,30.69,28.93,28.48,27.41,31.09,29.48,33.65,27.28,27.21,26.93,26.36,26.72,26.59,27.03,26.59,25.92,26.0,26.66,26.3,26.41,26.39,25.99,27.59,25.9,27.22
PPCOR,0.92,0.95,0.93,0.95,0.94,0.93,0.91,0.92,1.18,0.95,0.88,0.87,0.91,0.87,0.86,0.81,0.85,0.91,0.88,0.86,0.72,0.77,0.77,0.8,0.76,0.75,0.74,0.9,0.84,0.82
SCINGE,358.63,427.21000000000004,369.21000000000004,304.58,400.28,377.08000000000004,395.76,340.99,342.1,312.24,340.37,398.19999999999993,331.65999999999997,315.58000000000004,399.24,341.21000000000004,394.9699999999999,343.15,340.86,326.53,353.6700000000001,416.57000000000005,362.66,323.53,393.16,367.88,402.39,357.39,343.61,327.62
SCNS,95.15,85.98,112.27,97.7,94.23,73.42,81.74,73.05,77.04,59.03,87.59,112.69,114.99,75.55,93.92,74.28,83.09,86.35,71.37,93.42,77.24,89.91,93.92,107.87,80.86,66.87,113.89,77.01,80.56,89.11
SCODE,2339.87,2547.46,2527.32,2470.1,2524.8499999999995,2507.62,2590.78,2621.72,2517.89,2563.85,2355.66,2596.49,2541.83,2465.0299999999997,2509.77,2592.52,2517.6400000000003,2454.14,2372.88,2432.37,2323.3900000000003,2536.6400000000003,2498.0199999999995,2444.5099999999998,2543.7300000000005,2560.31,2597.98,2641.84,2486.4999999999995,2616.89
SCRIBE,35.51,35.89,34.519999999999996,33.32,37.52,36.129999999999995,35.6,33.660000000000004,36.089999999999996,35.279999999999994,35.43000000000001,32.64,33.300000000000004,32.09,32.43,32.550000000000004,33.29,32.739999999999995,31.930000000000003,32.74,32.24,33.62,33.35,33.09,33.45,32.56,33.31,32.46,33.84,34.61
SINCERITIES,12.97,12.07,11.98,12.5,12.270000000000001,13.78,14.54,13.48,12.079999999999998,13.280000000000001,12.11,11.91,12.5,12.770000000000001,12.41,12.090000000000002,12.950000000000001,12.27,12.43,12.169999999999998,12.3,12.82,12.549999999999999,12.190000000000001,12.6,11.96,12.03,12.25,14.0,13.91
