,VSC_2000_0,VSC_2000_1,VSC_2000_2,VSC_2000_3,VSC_2000_4,VSC_2000_5,VSC_2000_6,VSC_2000_7,VSC_2000_8,VSC_2000_9,VSC_2000_0_20,VSC_2000_1_20,VSC_2000_2_20,VSC_2000_3_20,VSC_2000_4_20,VSC_2000_5_20,VSC_2000_6_20,VSC_2000_7_20,VSC_2000_8_20,VSC_2000_9_20,VSC_2000_0_50,VSC_2000_1_50,VSC_2000_2_50,VSC_2000_3_50,VSC_2000_4_50,VSC_2000_5_50,VSC_2000_6_50,VSC_2000_7_50,VSC_2000_8_50,VSC_2000_9_50
GENIE3,0.791869918699187,0.7804878048780488,0.7967479674796748,0.7804878048780488,0.7902439024390244,0.7902439024390244,0.7934959349593496,0.7934959349593496,0.7691056910569105,0.783739837398374,0.8276422764227642,0.816260162601626,0.8065040650406504,0.8146341463414635,0.8211382113821138,0.808130081300813,0.8276422764227642,0.8357723577235773,0.8211382113821137,0.8048780487804879,0.7739837398373984,0.7626016260162602,0.7577235772357723,0.7723577235772358,0.7658536585365854,0.7528455284552846,0.7723577235772358,0.7658536585365854,0.759349593495935,0.7577235772357724
GRISLI,0.6617886178861788,0.6910569105691057,0.7056910569105691,0.6178861788617886,0.5902439024390244,0.6536585365853659,0.7113821138211383,0.6398373983739837,0.6186991869918699,0.6260162601626017,0.6626016260162602,0.6837398373983741,0.708130081300813,0.6235772357723577,0.5650406504065041,0.634959349593496,0.732520325203252,0.6747967479674797,0.6056910569105692,0.6504065040650405,0.6536585365853659,0.5959349593495935,0.7617886178861789,0.6479674796747967,0.5853658536585366,0.6300813008130081,0.6203252032520326,0.7357723577235772,0.6666666666666667,0.6471544715447154
GRNBOOST2,0.8,0.7983739837398374,0.8016260162601626,0.8,0.8130081300813008,0.8081300813008131,0.8081300813008131,0.8097560975609757,0.8048780487804877,0.8097560975609757,0.8357723577235773,0.8211382113821138,0.8308943089430896,0.8211382113821138,0.8211382113821137,0.832520325203252,0.8308943089430894,0.8439024390243903,0.8373983739837398,0.8081300813008131,0.8276422764227642,0.8195121951219513,0.8146341463414635,0.8243902439024391,0.8146341463414635,0.8097560975609757,0.8048780487804879,0.8243902439024391,0.8146341463414635,0.8065040650406504
GRNVBEM,0.3121951219512195,0.26097560975609757,0.35609756097560974,0.21382113821138213,0.2691056910569105,0.3593495934959349,0.3300813008130082,0.3365853658536585,0.348780487804878,0.42926829268292677,0.3154471544715447,0.2926829268292683,0.2861788617886179,0.2666666666666667,0.3186991869918699,0.35284552845528455,0.3195121951219512,0.35040650406504065,0.32195121951219513,0.40487804878048783,0.3276422764227642,0.45365853658536587,0.375609756097561,0.3869918699186992,0.3455284552845528,0.3829268292682927,0.3772357723577236,0.4536585365853658,0.3772357723577236,0.44227642276422774
LEAP,0.5365853658536586,0.6617886178861789,0.5934959349593496,0.6577235772357723,0.5723577235772358,0.5772357723577236,0.5447154471544715,0.6471544715447155,0.5121951219512195,0.5235772357723578,0.5276422764227642,0.5967479674796747,0.5560975609756098,0.5886178861788618,0.47804878048780486,0.49918699186991866,0.510569105691057,0.6650406504065041,0.48617886178861786,0.4455284552845528,0.5365853658536586,0.5723577235772358,0.5609756097560976,0.5674796747967479,0.526829268292683,0.551219512195122,0.513821138211382,0.6146341463414633,0.48455284552845523,0.49105691056910566
PIDC,0.8528455284552846,0.8105691056910569,0.8203252032520325,0.8333333333333335,0.8073170731707318,0.8138211382113821,0.8105691056910569,0.826829268292683,0.8495934959349595,0.826829268292683,0.8463414634146342,0.8105691056910569,0.8008130081300813,0.8268292682926829,0.8073170731707316,0.8268292682926829,0.8333333333333335,0.8365853658536586,0.8300813008130081,0.8235772357723576,0.8398373983739837,0.8560975609756097,0.8008130081300813,0.8821138211382115,0.8170731707317074,0.8105691056910569,0.8463414634146342,0.8398373983739837,0.8235772357723579,0.8495934959349594
PPCOR,0.683739837398374,0.6723577235772358,0.6756097560975609,0.6642276422764228,0.6528455284552845,0.6886178861788619,0.6804878048780488,0.6642276422764228,0.6829268292682927,0.7081300813008131,0.656910569105691,0.6601626016260163,0.6723577235772358,0.6430894308943089,0.6626016260162602,0.6902439024390243,0.6902439024390246,0.6886178861788619,0.6869918699186992,0.71869918699187,0.7178861788617885,0.7146341463414634,0.7219512195121951,0.7195121951219512,0.7130081300813008,0.6934959349593495,0.7146341463414634,0.7195121951219512,0.7146341463414634,0.7699186991869919
SCINGE,0.5398373983739837,0.5918699186991869,0.5455284552845527,0.5170731707317073,0.667479674796748,0.5081300813008129,0.6121951219512196,0.505691056910569,0.37398373983739835,0.326829268292683,0.4723577235772358,0.5495934959349593,0.45934959349593496,0.48536585365853663,0.6073170731707317,0.4861788617886179,0.556910569105691,0.4772357723577236,0.4479674796747968,0.35040650406504065,0.4804878048780488,0.49674796747967476,0.5065040650406503,0.5292682926829269,0.5463414634146342,0.4902439024390244,0.5130081300813009,0.39918699186991874,0.44227642276422763,0.3357723577235772
SCNS,0.6268292682926829,0.626829268292683,0.5186991869918699,0.5682926829268293,0.6447154471544716,0.5772357723577236,0.5528455284552846,0.5813008130081301,0.6040650406504064,0.5300813008130081,0.5479674796747968,0.6065040650406504,0.6853658536585365,0.5780487804878048,0.6585365853658537,0.5203252032520326,0.5918699186991869,0.5048780487804878,0.5894308943089431,0.6325203252032521,0.5495934959349593,0.5170731707317073,0.5105691056910571,0.5878048780487805,0.5951219512195123,0.5357723577235772,0.5788617886178862,0.6585365853658537,0.6138211382113821,0.5861788617886179
SCODE,0.5105691056910568,0.4780487804878049,0.5333333333333333,0.6357723577235773,0.6341463414634146,0.8178861788617886,0.632520325203252,0.44227642276422763,0.5609756097560975,0.6455284552845528,0.6113821138211382,0.6113821138211382,0.5154471544715448,0.6455284552845528,0.6439024390243901,0.6585365853658536,0.6341463414634146,0.6097560975609756,0.6601626016260163,0.7268292682926829,0.6487804878048781,0.6,0.5934959349593496,0.5772357723577236,0.5934959349593496,0.6520325203252032,0.49430894308943085,0.6552845528455284,0.5804878048780487,0.5772357723577235
SCRIBE,0.3804878048780488,0.45528455284552843,0.5073170731707317,0.5495934959349593,0.37723577235772354,0.38211382113821135,0.48617886178861786,0.4910569105691057,0.46991869918699186,0.37723577235772354,0.28130081300813004,0.4601626016260162,0.3983739837398374,0.5479674796747966,0.36097560975609755,0.2780487804878049,0.424390243902439,0.43414634146341463,0.5073170731707317,0.36910569105691055,0.3642276422764228,0.5642276422764227,0.6260162601626016,0.46341463414634143,0.45203252032520325,0.23414634146341462,0.3934959349593496,0.359349593495935,0.41951219512195126,0.3073170731707317
