,Jaccard Median,Jaccard MAD
GENIE3,0.5789473684210527,0.2054370205432445
GRISLI,0.28,0.1095171942547661
GRNBOOST2,0.7647058823529411,0.13664433206928342
GRNVBEM,0.4411764705882353,0.1004385726940571
LEAP,0.36363636363636365,0.1413117670865448
PIDC,0.7777777777777778,0.1282226626150525
PPCOR,0.6,0.16393135743750065
SCINGE,0.25,0.11727485162875018
SCNS,0.36363636363636365,0.14294292224866184
SCODE,0.30434782608695654,0.10242357050659615
SCRIBE,0.30434782608695654,0.09258007193640096
SINCERITIES,0.2,0.13188953794758082
