,VSC_2000_0,VSC_2000_1,VSC_2000_2,VSC_2000_3,VSC_2000_4,VSC_2000_5,VSC_2000_6,VSC_2000_7,VSC_2000_8,VSC_2000_9,VSC_2000_0_20,VSC_2000_1_20,VSC_2000_2_20,VSC_2000_3_20,VSC_2000_4_20,VSC_2000_5_20,VSC_2000_6_20,VSC_2000_7_20,VSC_2000_8_20,VSC_2000_9_20,VSC_2000_0_50,VSC_2000_1_50,VSC_2000_2_50,VSC_2000_3_50,VSC_2000_4_50,VSC_2000_5_50,VSC_2000_6_50,VSC_2000_7_50,VSC_2000_8_50,VSC_2000_9_50
GENIE3,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GRISLI,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
GRNBOOST2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
GRNVBEM,4.0,10.0,9.0,5.0,12.0,5.0,4.0,8.0,3.0,8.0,5.0,9.0,7.0,4.0,8.0,6.0,4.0,5.0,9.0,6.0,1.0,7.0,6.0,3.0,4.0,1.0,4.0,2.0,5.0,4.0
LEAP,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,7.0,3.0
SCINGE,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SCNS,1.0,0.0,1.0,5.0,1.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0
SCODE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCRIBE,3.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0
SINCERITIES,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
