,VSC_2000_0,VSC_2000_1,VSC_2000_2,VSC_2000_3,VSC_2000_4,VSC_2000_5,VSC_2000_6,VSC_2000_7,VSC_2000_8,VSC_2000_9,VSC_2000_0_20,VSC_2000_1_20,VSC_2000_2_20,VSC_2000_3_20,VSC_2000_4_20,VSC_2000_5_20,VSC_2000_6_20,VSC_2000_7_20,VSC_2000_8_20,VSC_2000_9_20,VSC_2000_0_50,VSC_2000_1_50,VSC_2000_2_50,VSC_2000_3_50,VSC_2000_4_50,VSC_2000_5_50,VSC_2000_6_50,VSC_2000_7_50,VSC_2000_8_50,VSC_2000_9_50
GENIE3,0.7505089999209258,0.7401200287873806,0.7379685580118777,0.7386276970925606,0.7397060355365308,0.7452467316492276,0.7431574194646194,0.7393418136211627,0.7311699498442892,0.7406584464926098,0.7457639631843025,0.7124801038084471,0.6724978031943976,0.725460184397925,0.7262875501000096,0.7014286929116322,0.7351027107534055,0.7359397228984672,0.7403296904486507,0.7164032685082616,0.6010158498467087,0.5468705975100798,0.5609241399829258,0.5555913427534422,0.5720794229823332,0.5688277967703499,0.5712298024205397,0.5259329462266247,0.5330288914424702,0.5626115005850726
GRISLI,0.48816830995886307,0.3989375179529978,0.5078831859734733,0.34398461480432235,0.5108884972808273,0.4151928284231597,0.4687452157780446,0.42759291667692434,0.44819446979813504,0.34485171320051755,0.47307492225970493,0.4372146010191923,0.4518535889222044,0.29844504488650436,0.4584588917029206,0.4219977692646576,0.47726146058983115,0.46224135865828253,0.45270293336072953,0.42612891924747154,0.4206198253400404,0.37695940605076506,0.551796057903784,0.3575518222184889,0.4479345335612338,0.34703600051084327,0.3807612158374288,0.43805287455203545,0.48351922633254507,0.3667104638797118
GRNBOOST2,0.7226344089542848,0.7016308847141137,0.6963083727501997,0.6937452963442419,0.7221701819811064,0.7142453985299934,0.7077531571068723,0.6985127156199192,0.6900174417499922,0.7462545664622077,0.7307435770101929,0.7007602485234063,0.6466419139338795,0.690961568679028,0.6892982742835354,0.7197598349618073,0.694964198797319,0.6914640986166128,0.7067203404093648,0.6814396515152329,0.5815309285272429,0.5159810819103481,0.5674332240044314,0.543062198670533,0.6010886431634803,0.500267771128502,0.5074521190144006,0.5766527207072623,0.594747564387257,0.5575378226577917
GRNVBEM,0.2490885447367848,0.269410883259425,0.31965147720671117,0.20101542683399526,0.270140976002667,0.3471266387513201,0.2823305533590472,0.3417459631189715,0.28695003688811616,0.420345665620629,0.27980275649963016,0.275077178761668,0.27361009304856126,0.24062650359650495,0.251016042348969,0.3464084263108572,0.2803404086319227,0.3454941721083641,0.3099608314197163,0.385522126432871,0.25500776976328077,0.39995301135499306,0.3226681737945071,0.29756754289129067,0.2874858224085379,0.36004924719683684,0.35313973478707583,0.40550266538177193,0.29427764363590203,0.3993848651227109
LEAP,0.2580392456087769,0.3292018858152237,0.3170373746796926,0.3300812149130167,0.26939062439157746,0.28028057610182416,0.26634486287599934,0.3139074592332501,0.2527530359902501,0.2566325911479138,0.24996319115710458,0.2885865198973393,0.29091036635624384,0.28283743537097117,0.2338952033183437,0.2467255232238566,0.24483960285249162,0.3223369669581138,0.23544693133119884,0.22697313057340424,0.2594129716939778,0.29600820138936224,0.30085477307611375,0.2843369032118879,0.2568161186036748,0.27080227275796936,0.2495789319079418,0.3289257087931442,0.242336597096939,0.2504869037086749
PIDC,0.7556384220354808,0.6834297281665702,0.6867160957950431,0.719920634920635,0.7088398692810458,0.7122222222222223,0.6819935869084476,0.7151797385620915,0.727529761904762,0.7183958159287107,0.751891923436041,0.6834297281665702,0.6549175020885547,0.7178248321726582,0.7075976301807504,0.7178248321726582,0.6937336601307189,0.7200367647058824,0.7188239538239538,0.7176681286549708,0.7344845365046604,0.7479118485000837,0.573406125608138,0.7890661884411885,0.6886325699870591,0.7191785637237582,0.7207741985683163,0.7199814293893241,0.6753666027814634,0.7438637045215992
PPCOR,0.609416567909215,0.6011025902202373,0.5431226303652774,0.5381261222437693,0.5302970531647002,0.5792400015561779,0.5605531859208329,0.5983464044125809,0.6084975203531705,0.6274450671877142,0.5385144376320847,0.534231999391313,0.535705047947695,0.5326499317675788,0.5330243258919729,0.579995281850932,0.564715753372874,0.6126936843113313,0.611067727923378,0.6308317047047866,0.6274514991181658,0.6145457905384376,0.631082105618396,0.6200445558340295,0.6215187250113721,0.6254084967320261,0.6316281512605042,0.6332070986289252,0.6316281512605042,0.6596864301276065
SCINGE,0.2934775576663224,0.32339711428729456,0.3116009716324655,0.3592086410483409,0.4693395013515331,0.30912479996203374,0.3596889892926114,0.3272152126855589,0.277777210769005,0.19399831378954951,0.36867974396387443,0.32638135971749416,0.28224558917339093,0.32190679717836923,0.41238606993127186,0.28966472511403385,0.2953326218810372,0.24283003063135591,0.2470426070404277,0.1999823756864782,0.3560290169575223,0.32912108631782805,0.30549071888581536,0.3420084958015919,0.2900135927153342,0.24510517207099528,0.32817180185343975,0.2575135744069324,0.2936871357154376,0.19375027328480865
SCNS,0.3991400166393077,0.5537082160995205,0.45069978106184994,0.3739502164502165,0.40669703666495965,0.32531746031746034,0.3907888761565232,0.3628140096618357,0.3956800046092242,0.32915649165649163,0.28040709617180204,0.5454948646125117,0.5301445279866333,0.3756524203350829,0.410984680693983,0.33988400488400483,0.4344114598241733,0.3381375334522909,0.36308506308506305,0.36869975596779503,0.3028147599115341,0.2938180260858279,0.36238222561751976,0.32505132781448576,0.3353896103896104,0.3493253968253968,0.3753712713155437,0.42027874368138063,0.32783006414506843,0.32020277927615054
SCODE,0.3181185539350883,0.28914134143690506,0.28777179424253846,0.33823358252950186,0.31849666353509065,0.6057283613458425,0.38275845906594985,0.2673831640919344,0.33571649817338695,0.453070656029546,0.48648945072460187,0.45739241226122085,0.3696633238027601,0.38793008266537676,0.353336919865647,0.4996787700875159,0.5171114220259765,0.42105869694603804,0.4417984085557538,0.5897139970696221,0.5197980515304981,0.35207734360988985,0.32809892154427295,0.32501505542549153,0.4023305167710222,0.4660873716279467,0.3953568494942525,0.488317812225307,0.3455273336038381,0.3130660814814367
SCRIBE,0.204119589837798,0.23788155312870027,0.27550111065520416,0.27030643395729526,0.2030038443507466,0.204869344928363,0.24216804464800462,0.2422039667312622,0.24515711077500546,0.20339967329228095,0.18170616253555522,0.24562734128944558,0.21350695344753454,0.2718834723831869,0.19910368688254615,0.1813496383115701,0.22154281245227797,0.2219491792732441,0.2528658139177651,0.20139739748086502,0.20408958080776748,0.28142281661890794,0.31516338773983965,0.2311785783404644,0.23597134404939638,0.1726666001816618,0.20653967526632208,0.1989447867960358,0.2300142405081268,0.1889659326652688
SINCERITIES,0.20306268329502364,0.2475826696206238,0.2617025986896309,0.30385896006836377,0.36701885575333865,0.2578614489810961,0.3130883700058107,0.30418751501845354,0.40158788993767824,0.21802245783031818,0.20205660269923853,0.2228001142831952,0.2515548707644555,0.30039739521623704,0.35944476795587577,0.2875878102394801,0.32687896153765855,0.31836376635702135,0.30863612013917247,0.21640848878002106,0.24933450211931543,0.21795270450510615,0.2973987866376279,0.35801575041342437,0.32122436290401274,0.2765565683244286,0.300296234312242,0.3107874390683563,0.34379167743637407,0.23705391877713183
