,Spearman Median,Spearman MAD
GENIE3,0.9581681476418319,0.038473302847794294
GRISLI,0.3383113745298691,0.1337771406010432
GRNBOOST2,0.9526999316473,0.023723093992322367
GRNVBEM,0.40420828176095364,0.1423934984605804
LEAP,0.5735869696098327,0.16417608974605927
PIDC,0.9173508483853311,0.02911921361604959
PPCOR,0.933139742839942,0.046327562633060496
SCINGE,0.2502140339126859,0.14388471900370758
SCNS,0.40961470593144433,0.21934186696484675
SCODE,0.43212576896787425,0.1295274087644073
SCRIBE,0.2836637047163363,0.11447490632320727
SINCERITIES,0.21415626915833205,0.17143360483714415
