,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3
E14_2_964,,2.964,,
E81_5_046,5.046,,,
E105_5_207,,,5.207,
E148_3_845,,,3.845,
E95_4_566,4.566,,,
E91_1_121,,,1.121,
E130_1_522,1.522,,,
E96_6_008,6.008,,,
E10_7_049,,,7.049,
E105_4_566,,,4.566,
E19_7_77,,,7.77,
E61_7_289,,7.289,,
E47_4_966,,,4.966,
E124_7_449,7.449,,,
E114_0_16,0.16,,,
E112_7_449,,,7.449,
E77_5_126,,,5.126,
E35_2_884,,,,2.884
E53_3_925,3.925,,,
E115_2_804,2.804,,,
E126_0_961,,,0.961,
E19_3_925,,,3.925,
E21_4_886,4.886,,,
E11_4_005,,,4.005,
E34_1_682,,,1.682,
E117_0_401,0.401,,,
E31_4_165,,,4.165,
E32_2_804,,2.804,,
E117_0_16,0.16,,,
E88_1_282,,1.282,,
E65_5_607,,,,5.607
E137_0_401,,,0.401,
E19_7_529,,,7.529,
E108_2_083,2.083,,,
E78_5_126,,,5.126,
E141_5_447,5.447,,,
E88_6_168,,6.168,,
E106_3_044,3.044,,,
E84_1_602,,,,1.602
E99_3_444,,,3.444,
E7_7_77,,,,7.77
E75_2_403,,,2.403,
E35_6_809,,,,6.809
E119_0_881,,0.881,,
E119_4_646,,4.646,,
E88_2_483,,2.483,,
E35_7_529,,,,7.529
E82_6_168,,6.168,,
E57_5_287,5.287,,,
E110_2_163,,,2.163,
E74_5_367,5.367,,,
E60_0_24,,,0.24,
E117_0_721,0.721,,,
E92_0_641,,,0.641,
E133_3_364,3.364,,,
E95_4_886,4.886,,,
E19_4_325,,,4.325,
E22_7_369,7.369,,,
E139_2_403,2.403,,,
E136_0_481,0.481,,,
E2_6_969,,,,6.969
E141_3_765,3.765,,,
E94_2_723,,,2.723,
E122_4_325,4.325,,,
E53_3_204,3.204,,,
E18_5_847,5.847,,,
E104_5_126,,,5.126,
E117_4_406,4.406,,,
E110_5_767,,,5.767,
E148_3_605,,,3.605,
E34_4_646,,,4.646,
E123_6_889,,,6.889,
E26_4_806,,,,4.806
E62_7_93,,,,7.93
E58_6_969,6.969,,,
E57_4_646,4.646,,,
E19_4_245,,,4.245,
E10_2_804,,,2.804,
E79_1_202,,,,1.202
E48_7_61,,,7.61,
E37_1_362,,,1.362,
E98_2_964,,,2.964,
E35_6_648,,,,6.648
E75_7_77,,,7.77,
E89_7_449,,,7.449,
E57_2_643,2.643,,,
E81_4_966,4.966,,,
E31_0_961,,,0.961,
E75_4_486,,,4.486,
E144_4_566,,,4.566,
E119_6_568,,6.568,,
E17_6_088,6.088,,,
E41_5_447,,5.447,,
E92_2_163,,,2.163,
E104_2_403,,,2.403,
E2_5_367,,,,5.367
E134_1_041,,,1.041,
E94_0_801,,,0.801,
E45_6_648,,,,6.648
E105_6_088,,,6.088,
E13_7_369,7.369,,,
E132_2_483,,2.483,,
E22_3_605,3.605,,,
E146_1_121,1.121,,,
E138_1_362,,,1.362,
E107_7_289,,,7.289,
E139_4_406,4.406,,,
E123_3_845,,,3.845,
E23_3_524,,,3.524,
E81_3_845,3.845,,,
E2_6_809,,,,6.809
E6_2_323,2.323,,,
E127_3_524,,,3.524,
E105_1_121,,,1.121,
E86_3_444,,,3.444,
E7_0_24,,,,0.24
E3_4_165,,,4.165,
E6_4_486,4.486,,,
E75_2_243,,,2.243,
E10_1_682,,,1.682,
E105_2_003,,,2.003,
E60_7_369,,,7.369,
E60_6_889,,,6.889,
E127_2_884,,,2.884,
E95_7_129,7.129,,,
E82_3_925,,3.925,,
E114_3_444,3.444,,,
E48_4_646,,,4.646,
E11_0_401,,,0.401,
E129_0_08,,,0.08,
E133_0_0,0.0,,,
E80_0_16,,0.16,,
E129_6_328,,,6.328,
E21_1_762,1.762,,,
E99_6_889,,,6.889,
E66_4_886,,,4.886,
E80_5_847,,5.847,,
E24_1_121,,,1.121,
E60_2_964,,,2.964,
E8_5_847,,,5.847,
E74_6_328,6.328,,,
E89_7_77,,,7.77,
E86_3_605,,,3.605,
E72_4_806,,,4.806,
E22_1_522,1.522,,,
E77_3_204,,,3.204,
E122_6_728,6.728,,,
E104_2_964,,,2.964,
E72_4_165,,,4.165,
E19_4_005,,,4.005,
E136_5_447,5.447,,,
E48_5_527,,,5.527,
E46_2_723,,,2.723,
E20_6_889,6.889,,,
E78_4_566,,,4.566,
E140_3_284,,,3.284,
E7_5_847,,,,5.847
E94_3_124,,,3.124,
E84_4_726,,,,4.726
E50_4_566,,,4.566,
E96_3_685,3.685,,,
E65_0_481,,,,0.481
E108_4_806,4.806,,,
E127_3_605,,,3.605,
E48_7_049,,,7.049,
E110_6_889,,,6.889,
E66_7_93,,,7.93,
E75_7_85,,,7.85,
E139_5_767,5.767,,,
E124_0_08,0.08,,,
E123_4_406,,,4.406,
E24_1_762,,,1.762,
E48_4_325,,,4.325,
E78_4_165,,,4.165,
E121_2_323,,2.323,,
E148_2_884,,,2.884,
E146_6_648,6.648,,,
E46_5_607,,,5.607,
E8_4_646,,,4.646,
E66_5_046,,,5.046,
E99_6_728,,,6.728,
E99_1_762,,,1.762,
E105_0_401,,,0.401,
E23_6_328,,,6.328,
E73_5_607,,,5.607,
E48_2_804,,,2.804,
E82_0_481,,0.481,,
E77_6_728,,,6.728,
E75_6_648,,,6.648,
E83_0_641,,,0.641,
E119_1_121,,1.121,,
E60_1_762,,,1.762,
E16_6_809,6.809,,,
E84_4_165,,,,4.165
E138_0_08,,,0.08,
E68_3_124,,3.124,,
E126_7_77,,,7.77,
E62_4_806,,,,4.806
E65_4_245,,,,4.245
E113_5_847,,,5.847,
E79_6_969,,,,6.969
E20_3_364,3.364,,,
E25_3_364,3.364,,,
E72_7_77,,,7.77,
E98_6_328,,,6.328,
E3_0_561,,,0.561,
E75_4_165,,,4.165,
E90_7_93,,,7.93,
E107_0_481,,,0.481,
E45_6_008,,,,6.008
E19_4_646,,,4.646,
E48_7_289,,,7.289,
E47_7_69,,,7.69,
E104_6_488,,,6.488,
E132_1_121,,1.121,,
E138_3_444,,,3.444,
E65_4_966,,,,4.966
E68_6_008,,6.008,,
E139_2_723,2.723,,,
E144_5_767,,,5.767,
E84_2_323,,,,2.323
E91_2_723,,,2.723,
E17_1_522,1.522,,,
E124_3_685,3.685,,,
E141_7_85,7.85,,,
E46_1_522,,,1.522,
E121_7_129,,7.129,,
E139_7_209,7.209,,,
E98_3_765,,,3.765,
E115_4_886,4.886,,,
E33_4_486,,,4.486,
E4_4_165,,,4.165,
E96_2_804,2.804,,,
E18_5_607,5.607,,,
E137_4_966,,,4.966,
E27_0_32,,,0.32,
E129_3_284,,,3.284,
E22_0_0,0.0,,,
E126_1_602,,,1.602,
E99_1_922,,,1.922,
E99_1_282,,,1.282,
E145_1_922,,,1.922,
E86_5_447,,,5.447,
E133_6_408,6.408,,,
E7_2_643,,,,2.643
E22_0_401,0.401,,,
E20_0_801,0.801,,,
E26_0_16,,,,0.16
E144_6_168,,,6.168,
E94_2_003,,,2.003,
E22_6_969,6.969,,,
E34_2_884,,,2.884,
E99_7_209,,,7.209,
E112_4_165,,,4.165,
E44_5_447,,,5.447,
E107_1_762,,,1.762,
E113_6_728,,,6.728,
E72_1_202,,,1.202,
E85_7_449,,,7.449,
E8_5_927,,,5.927,
E80_1_682,,1.682,,
E115_2_323,2.323,,,
E105_5_447,,,5.447,
E62_2_003,,,,2.003
E60_5_287,,,5.287,
E73_5_527,,,5.527,
E119_6_889,,6.889,,
E27_0_0,,,0.0,
E25_6_488,6.488,,,
E122_3_124,3.124,,,
E79_2_163,,,,2.163
E30_6_809,,,6.809,
E2_2_884,,,,2.884
E110_5_527,,,5.527,
E4_7_93,,,7.93,
