,PseudoTime0,PseudoTime1,PseudoTime2
E83_1_442,,,1.442
E46_7_049,,,7.049
E11_0_721,,0.721,
E110_5_767,,5.767,
E139_5_367,,,5.367
E139_0_481,,,0.481
E16_7_289,7.289,,
E10_2_884,,,2.884
E80_0_16,,0.16,
E115_4_085,,4.085,
E66_2_643,,,2.643
E143_7_77,,,7.77
E17_4_566,,4.566,
E73_3_284,,3.284,
E142_5_927,,,5.927
E64_1_121,1.121,,
E118_5_527,5.527,,
E78_2_003,,,2.003
E79_3_044,3.044,,
E89_4_726,4.726,,
E63_6_889,,,6.889
E60_5_367,,5.367,
E117_0_24,,0.24,
E0_0_881,,0.881,
E114_0_641,0.641,,
E140_2_723,,,2.723
E52_0_32,,,0.32
E93_1_041,1.041,,
E115_2_804,,2.804,
E60_4_486,,4.486,
E42_1_922,,,1.922
E89_5_367,5.367,,
E129_0_961,,,0.961
E86_3_605,3.605,,
E105_5_126,5.126,,
E134_4_646,4.646,,
E80_0_961,,0.961,
E14_1_121,,,1.121
E29_5_687,,,5.687
E33_6_008,,6.008,
E74_5_607,,5.607,
E7_7_369,7.369,,
E96_6_488,6.488,,
E88_2_403,2.403,,
E71_7_129,,7.129,
E104_6_008,,6.008,
E64_5_367,5.367,,
E143_6_889,,,6.889
E87_5_607,5.607,,
E39_4_726,,4.726,
E106_6_488,6.488,,
E54_1_442,1.442,,
E40_2_804,2.804,,
E114_3_284,3.284,,
E54_7_209,7.209,,
E31_0_32,,0.32,
E7_1_282,1.282,,
E144_2_003,2.003,,
E9_4_005,,4.005,
E65_4_486,4.486,,
E130_0_721,,0.721,
E39_2_723,,2.723,
E133_6_168,,6.168,
E35_7_289,,7.289,
E33_3_685,,3.685,
E58_0_881,,,0.881
E12_3_845,3.845,,
E142_1_282,,,1.282
E121_7_529,,,7.529
E130_5_367,,5.367,
E98_5_447,,,5.447
E26_2_323,2.323,,
E58_3_524,,,3.524
E143_0_641,,,0.641
E68_2_243,,,2.243
E78_2_643,,,2.643
E6_0_08,,,0.08
E16_3_044,3.044,,
E147_4_085,,,4.085
E16_3_364,3.364,,
E15_4_406,,4.406,
E93_3_605,3.605,,
E85_5_607,,5.607,
E107_3_605,,3.605,
E2_6_008,6.008,,
E92_0_16,,,0.16
E102_3_044,,,3.044
E67_0_481,,0.481,
E6_5_287,,,5.287
E118_3_925,3.925,,
E53_6_168,,6.168,
E76_5_367,5.367,,
E99_7_129,,,7.129
E15_6_568,,6.568,
E53_3_925,,3.925,
E11_5_287,,5.287,
E114_7_049,7.049,,
E124_0_641,0.641,,
E54_0_961,0.961,,
E104_0_16,,0.16,
E148_1_762,,1.762,
E29_1_121,,,1.121
E9_1_762,,1.762,
E20_4_966,,,4.966
E118_5_607,5.607,,
E10_4_486,,,4.486
E136_6_088,,,6.088
E85_3_124,,3.124,
E63_3_364,,,3.364
E136_4_406,,,4.406
E142_7_049,,,7.049
E16_7_529,7.529,,
E68_7_449,,,7.449
E60_4_646,,4.646,
E124_2_083,2.083,,
E101_1_362,,1.362,
E14_3_524,,,3.524
E18_5_767,5.767,,
E35_4_886,,4.886,
E47_3_124,,,3.124
E92_4_245,,,4.245
E113_1_922,,,1.922
E1_0_641,,,0.641
E118_7_61,7.61,,
E68_7_209,,,7.209
E80_4_966,,4.966,
E2_0_401,0.401,,
E81_4_245,4.245,,
E65_3_685,3.685,,
E124_2_964,2.964,,
E83_7_049,,,7.049
E84_1_202,,,1.202
E14_5_927,,,5.927
E58_2_403,,,2.403
E40_3_765,3.765,,
E84_2_403,,,2.403
E20_5_367,,,5.367
E92_3_524,,,3.524
E22_6_408,,,6.408
E93_2_083,2.083,,
E56_0_32,,,0.32
E128_3_524,,3.524,
E53_2_643,,2.643,
E134_7_77,7.77,,
E5_6_488,6.488,,
E71_3_925,,3.925,
E62_3_044,,3.044,
E39_7_289,,7.289,
E56_7_289,,,7.289
E3_5_367,,5.367,
E5_3_364,3.364,,
E4_3_044,,,3.044
E1_6_408,,,6.408
E78_2_804,,,2.804
E145_1_602,,,1.602
E1_6_648,,,6.648
E111_4_726,4.726,,
E21_3_685,3.685,,
E17_5_847,,5.847,
E56_2_403,,,2.403
E66_0_24,,,0.24
E68_1_522,,,1.522
E107_5_287,,5.287,
E94_4_325,,4.325,
E44_7_85,7.85,,
E113_3_685,,,3.685
E100_2_163,,2.163,
E121_6_408,,,6.408
E147_6_809,,,6.809
E106_5_687,5.687,,
E148_1_041,,1.041,
E145_3_284,,,3.284
E76_1_682,1.682,,
E113_7_61,,,7.61
E73_0_0,,0.0,
E58_6_969,,,6.969
E39_5_367,,5.367,
E47_0_801,,,0.801
E10_2_403,,,2.403
E17_7_77,,7.77,
E75_2_483,2.483,,
E64_6_889,6.889,,
E77_6_328,6.328,,
E114_2_243,2.243,,
E29_0_0,,,0.0
E56_0_961,,,0.961
E105_4_646,4.646,,
E111_3_925,3.925,,
E140_7_209,,,7.209
E79_5_687,5.687,,
E140_6_408,,,6.408
E67_2_884,,2.884,
E67_2_563,,2.563,
E10_4_245,,,4.245
E87_5_527,5.527,,
E117_7_129,,7.129,
E60_2_804,,2.804,
E88_3_685,3.685,,
E80_6_488,,6.488,
E58_1_682,,,1.682
E46_5_767,,,5.767
E70_2_884,2.884,,
E21_7_049,7.049,,
E85_3_044,,3.044,
E94_6_248,,6.248,
E106_7_049,7.049,,
E126_5_767,,5.767,
E96_1_282,1.282,,
E86_6_809,6.809,,
E77_0_0,0.0,,
E117_6_408,,6.408,
E52_1_922,,,1.922
E4_5_367,,,5.367
E44_4_646,4.646,,
E102_4_325,,,4.325
E144_0_401,0.401,,
E125_7_93,7.93,,
E16_5_367,5.367,,
E22_3_845,,,3.845
E42_1_602,,,1.602
E145_0_881,,,0.881
E115_5_607,,5.607,
E63_6_809,,,6.809
E85_7_85,,7.85,
E76_5_126,5.126,,
E79_0_641,0.641,,
E18_2_003,2.003,,
E37_0_721,0.721,,
E111_0_801,0.801,,
E80_0_24,,0.24,
E66_1_922,,,1.922
E37_7_61,7.61,,
E33_6_488,,6.488,
E99_3_444,,,3.444
E20_7_529,,,7.529
E75_4_726,4.726,,
E46_7_129,,,7.129
E63_0_16,,,0.16
E52_4_806,,,4.806
E4_7_449,,,7.449
E78_4_806,,,4.806
E10_2_243,,,2.243
E148_6_728,,6.728,
E126_4_566,,4.566,
E118_0_881,0.881,,
E129_1_682,,,1.682
E67_4_245,,4.245,
E3_6_168,,6.168,
E111_6_648,6.648,,
E117_3_284,,3.284,
E73_2_563,,2.563,
E85_7_049,,7.049,
E71_4_966,,4.966,
E34_2_884,2.884,,
E22_2_403,,,2.403
E123_2_964,,2.964,
E77_5_607,5.607,,
E124_5_367,5.367,,
E45_3_765,,3.765,
E51_7_289,,7.289,
E74_6_969,,6.969,
E7_0_801,0.801,,
E11_4_165,,4.165,
E62_3_925,,3.925,
E115_2_884,,2.884,
E47_3_605,,,3.605
E78_5_367,,,5.367
E139_4_005,,,4.005
E56_6_248,,,6.248
E74_6_168,,6.168,
E96_4_165,4.165,,
E144_1_682,1.682,,
E10_4_806,,,4.806
E130_0_961,,0.961,
E139_2_804,,,2.804
E118_6_248,6.248,,
E118_1_202,1.202,,
E92_7_209,,,7.209
E147_7_69,,,7.69
E110_4_566,,4.566,
E12_0_801,0.801,,
E124_4_646,4.646,,
E3_4_406,,4.406,
E118_3_284,3.284,,
E64_2_483,2.483,,
E13_6_728,,,6.728
E73_7_61,,7.61,
E56_1_922,,,1.922
E9_7_61,,7.61,
E122_0_881,,,0.881
E54_0_08,0.08,,
E143_2_163,,,2.163
E2_3_364,3.364,,
E93_6_408,6.408,,
E99_2_723,,,2.723
E52_7_049,,,7.049
E65_3_284,3.284,,
E75_0_0,0.0,,
E133_2_083,,2.083,
E52_1_682,,,1.682
E15_5_927,,5.927,
E85_0_401,,0.401,
E92_2_083,,,2.083
E86_1_041,1.041,,
E81_4_005,4.005,,
E100_6_008,,6.008,
E143_7_049,,,7.049
E15_6_088,,6.088,
E104_3_845,,3.845,
E54_2_563,2.563,,
E86_3_284,3.284,,
E136_4_726,,,4.726
E86_4_245,4.245,,
E65_3_204,3.204,,
E63_3_204,,,3.204
E73_0_801,,0.801,
E17_2_563,,2.563,
E3_5_527,,5.527,
E100_4_806,,4.806,
E142_6_488,,,6.488
E134_1_282,1.282,,
E123_3_124,,3.124,
E136_7_449,,,7.449
E22_6_648,,,6.648
E3_4_085,,4.085,
E20_5_607,,,5.607
E53_6_568,,6.568,
E89_0_561,0.561,,
E40_5_287,5.287,,
E147_7_129,,,7.129
E5_4_406,4.406,,
E65_2_483,2.483,,
E60_0_32,,0.32,
E12_2_003,2.003,,
E100_6_328,,6.328,
E113_5_767,,,5.767
E34_4_325,4.325,,
E46_0_32,,,0.32
E75_3_444,3.444,,
E115_6_328,,6.328,
E76_2_243,2.243,,
E133_6_969,,6.969,
E68_5_046,,,5.046
E67_1_762,,1.762,
E134_1_522,1.522,,
E34_4_406,4.406,,
E139_6_328,,,6.328
E39_2_403,,2.403,
E15_4_325,,4.325,
E148_3_925,,3.925,
E45_2_323,,2.323,
E111_0_08,0.08,,
E111_0_881,0.881,,
E124_1_762,1.762,,
E10_6_889,,,6.889
E45_5_207,,5.207,
E56_5_527,,,5.527
E52_2_723,,,2.723
E104_2_964,,2.964,
E40_5_367,5.367,,
E40_5_207,5.207,,
E125_0_24,0.24,,
E26_6_168,6.168,,
E101_2_163,,2.163,
E107_4_566,,4.566,
E40_4_085,4.085,,
E6_2_323,,,2.323
E143_0_0,,,0.0
E113_4_005,,,4.005
E121_2_563,,,2.563
E42_2_243,,,2.243
E128_1_682,,1.682,
E77_5_847,5.847,,
E5_2_003,2.003,,
E6_1_362,,,1.362
E114_6_889,6.889,,
E140_4_806,,,4.806
E75_3_845,3.845,,
E144_5_687,5.687,,
E49_4_406,4.406,,
E51_1_922,,1.922,
E11_4_085,,4.085,
E123_2_163,,2.163,
E110_2_243,,2.243,
E45_4_806,,4.806,
E39_4_165,,4.165,
E78_3_524,,,3.524
E80_2_563,,2.563,
E0_7_85,,7.85,
E35_7_61,,7.61,
E42_3_925,,,3.925
E34_2_323,2.323,,
E92_6_168,,,6.168
E142_5_847,,,5.847
E53_3_044,,3.044,
E26_7_369,7.369,,
E28_1_602,,1.602,
E20_6_889,,,6.889
E88_1_202,1.202,,
E66_5_607,,,5.607
E0_0_32,,0.32,
E39_5_527,,5.527,
E99_5_847,,,5.847
E139_4_085,,,4.085
E33_4_245,,4.245,
E88_0_961,0.961,,
E92_6_728,,,6.728
E104_6_728,,6.728,
E114_4_886,4.886,,
E37_1_121,1.121,,
E115_4_406,,4.406,
E122_5_527,,,5.527
E147_7_529,,,7.529
E26_5_527,5.527,,
E92_0_961,,,0.961
E58_4_646,,,4.646
E33_3_364,,3.364,
E93_4_726,4.726,,
E33_6_408,,6.408,
E42_0_32,,,0.32
E100_4_005,,4.005,
E134_0_401,0.401,,
E83_1_121,,,1.121
E110_3_124,,3.124,
E13_4_646,,,4.646
E11_5_207,,5.207,
E15_2_804,,2.804,
E6_1_442,,,1.442
E129_4_646,,,4.646
E142_4_646,,,4.646
E104_4_325,,4.325,
E62_0_641,,0.641,
E136_7_049,,,7.049
E144_0_561,0.561,,
E58_7_529,,,7.529
E70_0_24,0.24,,
E70_5_607,5.607,,
E22_7_209,,,7.209
E77_3_925,3.925,,
E139_7_61,,,7.61
E34_3_124,3.124,,
E102_7_369,,,7.369
E17_0_32,,0.32,
E31_0_561,,0.561,
E18_7_369,7.369,,
E67_6_648,,6.648,
E63_7_209,,,7.209
E107_5_847,,5.847,
E129_0_801,,,0.801
E133_0_08,,0.08,
E52_5_287,,,5.287
E85_5_927,,5.927,
E134_1_041,1.041,,
E17_1_762,,1.762,
E56_4_646,,,4.646
E113_4_966,,,4.966
E1_4_566,,,4.566
E84_5_367,,,5.367
E118_4_165,4.165,,
E6_3_284,,,3.284
E64_4_085,4.085,,
E51_4_646,,4.646,
E89_0_481,0.481,,
E62_6_488,,6.488,
E92_1_922,,,1.922
E89_6_088,6.088,,
E65_4_566,4.566,,
E63_4_886,,,4.886
E129_3_685,,,3.685
E37_4_245,4.245,,
E44_3_444,3.444,,
E4_2_804,,,2.804
E102_2_403,,,2.403
E17_3_364,,3.364,
E52_5_447,,,5.447
E0_3_765,,3.765,
E124_7_529,7.529,,
E53_4_726,,4.726,
E123_3_284,,3.284,
E142_3_524,,,3.524
E95_0_961,,,0.961
E58_3_605,,,3.605
E126_3_124,,3.124,
E117_6_969,,6.969,
E10_7_369,,,7.369
E66_6_809,,,6.809
E110_4_245,,4.245,
E21_4_886,4.886,,
E15_1_842,,1.842,
E124_1_922,1.922,,
E67_1_922,,1.922,
E0_1_682,,1.682,
E75_2_804,2.804,,
E44_3_284,3.284,,
E37_2_243,2.243,,
E21_4_165,4.165,,
E114_0_481,0.481,,
E11_4_966,,4.966,
E49_3_124,3.124,,
E84_4_966,,,4.966
E96_5_927,5.927,,
E47_6_488,,,6.488
E84_7_209,,,7.209
E74_3_044,,3.044,
E98_2_403,,,2.403
E148_0_0,,0.0,
E35_0_08,,0.08,
E95_0_881,,,0.881
E13_3_605,,,3.605
E140_0_32,,,0.32
E134_4_406,4.406,,
E103_5_287,,5.287,
E58_3_364,,,3.364
E92_4_886,,,4.886
E100_5_847,,5.847,
E31_2_884,,2.884,
E93_5_367,5.367,,
E71_5_126,,5.126,
E67_7_209,,7.209,
E84_4_806,,,4.806
E45_0_801,,0.801,
E3_3_605,,3.605,
E84_1_282,,,1.282
E74_3_444,,3.444,
E147_6_728,,,6.728
E15_2_563,,2.563,
E130_6_568,,6.568,
E28_3_524,,3.524,
E73_4_325,,4.325,
E96_4_646,4.646,,
E13_0_641,,,0.641
E123_0_641,,0.641,
E75_5_126,5.126,,
E53_5_607,,5.607,
E96_6_969,6.969,,
E73_0_32,,0.32,
E76_0_32,0.32,,
E29_4_806,,,4.806
E70_3_044,3.044,,
E54_4_886,4.886,,
E79_3_284,3.284,,
E106_1_041,1.041,,
E15_1_762,,1.762,
E121_7_369,,,7.369
E106_5_207,5.207,,
E79_4_806,4.806,,
E31_4_566,,4.566,
E107_5_367,,5.367,
E98_2_003,,,2.003
E20_2_083,,,2.083
E73_3_925,,3.925,
E40_4_806,4.806,,
E103_6_568,,6.568,
E29_7_93,,,7.93
E81_2_563,2.563,,
E128_5_607,,5.607,
E29_2_643,,,2.643
E37_6_008,6.008,,
E5_5_207,5.207,,
E17_7_449,,7.449,
E18_2_563,2.563,,
E13_0_721,,,0.721
E5_0_08,0.08,,
E139_3_204,,,3.204
E76_0_08,0.08,,
E113_6_008,,,6.008
E10_3_524,,,3.524
E54_3_524,3.524,,
E40_4_486,4.486,,
E101_1_121,,1.121,
E122_5_767,,,5.767
E40_0_961,0.961,,
E35_0_881,,0.881,
E115_6_008,,6.008,
E76_4_486,4.486,,
E21_2_643,2.643,,
E62_7_289,,7.289,
E11_0_801,,0.801,
E136_6_168,,,6.168
E18_6_168,6.168,,
E37_2_003,2.003,,
E26_2_163,2.163,,
E14_2_483,,,2.483
E93_6_568,6.568,,
E122_3_364,,,3.364
E67_2_243,,2.243,
E86_4_886,4.886,,
E134_4_566,4.566,,
E20_1_442,,,1.442
E130_3_765,,3.765,
E39_2_323,,2.323,
E78_5_847,,,5.847
E100_3_524,,3.524,
E107_6_728,,6.728,
E95_1_682,,,1.682
E139_7_129,,,7.129
E75_3_524,3.524,,
E143_6_568,,,6.568
E1_6_168,,,6.168
E99_3_685,,,3.685
E121_3_925,,,3.925
E81_5_607,5.607,,
E80_6_568,,6.568,
E95_6_568,,,6.568
E78_3_605,,,3.605
E94_5_847,,5.847,
E117_5_607,,5.607,
E3_6_728,,6.728,
E96_6_008,6.008,,
E145_0_401,,,0.401
E44_2_884,2.884,,
E86_6_648,6.648,,
E134_5_767,5.767,,
E16_2_483,2.483,,
E45_4_966,,4.966,
E9_6_088,,6.088,
E1_3_685,,,3.685
E40_0_561,0.561,,
E110_4_325,,4.325,
E60_7_449,,7.449,
E113_7_369,,,7.369
E99_4_806,,,4.806
E56_5_046,,,5.046
E46_3_124,,,3.124
E92_7_529,,,7.529
E45_5_927,,5.927,
E0_4_566,,4.566,
E96_3_845,3.845,,
E47_2_804,,,2.804
E66_3_524,,,3.524
E145_5_207,,,5.207
E105_6_728,6.728,,
E65_3_364,3.364,,
E136_1_762,,,1.762
E128_3_284,,3.284,
E52_5_367,,,5.367
E16_4_005,4.005,,
E54_0_32,0.32,,
E98_0_721,,,0.721
E144_6_248,6.248,,
E129_4_806,,,4.806
E40_1_282,1.282,,
E42_1_121,,,1.121
E60_1_682,,1.682,
E68_3_524,,,3.524
E6_7_049,,,7.049
E65_1_041,1.041,,
E87_4_646,4.646,,
E114_5_207,5.207,,
E63_3_444,,,3.444
E74_5_046,,5.046,
E92_2_884,,,2.884
E47_3_765,,,3.765
E68_5_447,,,5.447
E118_0_561,0.561,,
E144_4_886,4.886,,
E110_3_204,,3.204,
E123_6_088,,6.088,
E28_0_721,,0.721,
E76_5_527,5.527,,
E47_1_041,,,1.041
E125_4_726,4.726,,
E53_4_005,,4.005,
E67_3_284,,3.284,
E37_5_687,5.687,,
E45_2_483,,2.483,
E21_6_889,6.889,,
E147_1_922,,,1.922
E1_6_008,,,6.008
E125_5_607,5.607,,
E147_1_682,,,1.682
E144_4_646,4.646,,
E102_6_889,,,6.889
E78_4_005,,,4.005
E35_0_24,,0.24,
E96_2_643,2.643,,
E76_7_77,7.77,,
E99_0_641,,,0.641
E103_5_847,,5.847,
E107_7_129,,7.129,
E21_0_401,0.401,,
E139_6_889,,,6.889
E79_7_529,7.529,,
E33_4_005,,4.005,
E45_4_726,,4.726,
E89_2_003,2.003,,
E101_2_723,,2.723,
E98_6_728,,,6.728
E5_4_486,4.486,,
E79_2_323,2.323,,
E28_1_282,,1.282,
E7_6_088,6.088,,
E124_3_925,3.925,,
E10_0_881,,,0.881
E1_3_284,,,3.284
E33_0_641,,0.641,
E77_2_403,2.403,,
E94_1_282,,1.282,
E115_5_287,,5.287,
E99_0_16,,,0.16
E123_2_323,,2.323,
E94_7_93,,7.93,
E133_6_488,,6.488,
E14_5_527,,,5.527
E44_7_69,7.69,,
E67_4_406,,4.406,
E10_3_444,,,3.444
E139_1_041,,,1.041
E93_5_847,5.847,,
E3_0_481,,0.481,
E89_0_32,0.32,,
E70_4_726,4.726,,
E45_7_85,,7.85,
E85_0_08,,0.08,
E10_7_93,,,7.93
E110_6_488,,6.488,
E124_7_93,7.93,,
E67_3_765,,3.765,
E89_4_886,4.886,,
E101_3_444,,3.444,
E14_6_408,,,6.408
E79_1_121,1.121,,
E95_5_207,,,5.207
E76_1_202,1.202,,
E89_5_207,5.207,,
E128_1_041,,1.041,
E115_3_284,,3.284,
E10_7_449,,,7.449
E77_7_529,7.529,,
E31_4_486,,4.486,
E15_0_401,,0.401,
E66_2_243,,,2.243
E94_5_046,,5.046,
E60_6_408,,6.408,
E94_2_003,,2.003,
E78_1_041,,,1.041
E148_4_406,,4.406,
E148_7_77,,7.77,
E76_2_804,2.804,,
E115_0_16,,0.16,
E143_1_121,,,1.121
E28_4_005,,4.005,
E85_3_845,,3.845,
E106_4_566,4.566,,
E105_0_641,0.641,,
E125_2_723,2.723,,
E77_6_568,6.568,,
E144_2_163,2.163,,
E80_2_643,,2.643,
E1_6_728,,,6.728
E96_3_284,3.284,,
E21_0_0,0.0,,
E117_5_927,,5.927,
E51_2_964,,2.964,
E39_1_202,,1.202,
E9_5_607,,5.607,
E49_1_121,1.121,,
E5_2_643,2.643,,
E133_3_044,,3.044,
E2_3_204,3.204,,
E21_3_044,3.044,,
E37_4_165,4.165,,
E58_0_801,,,0.801
E49_4_165,4.165,,
E87_2_643,2.643,,
E1_5_927,,,5.927
E10_3_925,,,3.925
E2_5_607,5.607,,
E140_2_483,,,2.483
E28_4_165,,4.165,
E147_1_602,,,1.602
E139_6_488,,,6.488
E98_0_641,,,0.641
E124_2_563,2.563,,
E148_5_126,,5.126,
E148_0_641,,0.641,
E94_3_124,,3.124,
E123_7_93,,7.93,
E75_2_003,2.003,,
E129_6_488,,,6.488
E103_7_129,,7.129,
E14_4_646,,,4.646
E62_3_204,,3.204,
E7_6_648,6.648,,
E110_1_602,,1.602,
E79_2_403,2.403,,
E37_3_685,3.685,,
E88_6_969,6.969,,
E76_3_044,3.044,,
E3_0_401,,0.401,
E100_1_842,,1.842,
E123_6_488,,6.488,
E63_3_845,,,3.845
E103_5_767,,5.767,
E26_0_24,0.24,,
E42_6_889,,,6.889
E114_1_362,1.362,,
E143_4_566,,,4.566
E100_3_044,,3.044,
E96_1_202,1.202,,
E89_3_364,3.364,,
E66_5_207,,,5.207
E62_4_085,,4.085,
E101_6_568,,6.568,
E121_7_049,,,7.049
E47_0_24,,,0.24
E130_5_447,,5.447,
E113_6_248,,,6.248
E45_4_886,,4.886,
E92_1_602,,,1.602
E1_2_964,,,2.964
E35_4_406,,4.406,
E44_0_481,0.481,,
E125_6_889,6.889,,
E136_0_16,,,0.16
E99_4_566,,,4.566
E52_7_93,,,7.93
E65_7_85,7.85,,
E96_2_163,2.163,,
E49_2_563,2.563,,
E104_2_483,,2.483,
E111_2_884,2.884,,
E101_6_648,,6.648,
E60_6_008,,6.008,
E128_5_046,,5.046,
E71_4_245,,4.245,
E22_1_442,,,1.442
E81_1_121,1.121,,
E83_3_124,,,3.124
E104_3_605,,3.605,
E113_5_527,,,5.527
E99_1_362,,,1.362
E21_1_602,1.602,,
E4_1_442,,,1.442
E133_3_204,,3.204,
E126_4_646,,4.646,
E49_6_168,6.168,,
E84_6_088,,,6.088
E66_4_486,,,4.486
E133_6_088,,6.088,
E113_3_044,,,3.044
E21_5_607,5.607,,
E147_0_561,,,0.561
E71_2_323,,2.323,
E87_2_083,2.083,,
E110_0_24,,0.24,
E17_0_641,,0.641,
E60_0_721,,0.721,
E124_6_488,6.488,,
E11_7_77,,7.77,
E136_3_204,,,3.204
E134_1_762,1.762,,
E42_3_845,,,3.845
E142_7_77,,,7.77
E106_3_845,3.845,,
E129_1_922,,,1.922
E60_1_041,,1.041,
E15_5_607,,5.607,
E68_1_202,,,1.202
E140_1_121,,,1.121
E103_4_566,,4.566,
E76_6_568,6.568,,
E77_2_163,2.163,,
E107_6_648,,6.648,
E143_0_401,,,0.401
E12_4_806,4.806,,
E7_0_721,0.721,,
E107_6_328,,6.328,
E130_4_566,,4.566,
E147_2_964,,,2.964
E71_0_721,,0.721,
E6_7_85,,,7.85
E73_3_364,,3.364,
E123_6_008,,6.008,
E47_1_442,,,1.442
E63_4_245,,,4.245
E100_5_767,,5.767,
E14_1_602,,,1.602
E101_0_801,,0.801,
E148_3_765,,3.765,
E81_2_723,2.723,,
E102_6_969,,,6.969
E93_7_289,7.289,,
E4_6_728,,,6.728
E87_6_889,6.889,,
E85_5_126,,5.126,
E107_1_762,,1.762,
E17_5_927,,5.927,
E20_3_044,,,3.044
E128_6_008,,6.008,
E144_7_69,7.69,,
E7_0_481,0.481,,
E28_1_762,,1.762,
E7_2_403,2.403,,
E53_4_966,,4.966,
E136_5_126,,,5.126
E140_2_563,,,2.563
E114_3_524,3.524,,
E3_1_762,,1.762,
E89_1_922,1.922,,
E129_0_641,,,0.641
E148_6_248,,6.248,
E110_0_641,,0.641,
E124_4_886,4.886,,
E111_5_927,5.927,,
E16_0_0,0.0,,
E86_4_085,4.085,,
E12_7_529,7.529,,
E148_3_044,,3.044,
E4_6_809,,,6.809
E9_0_801,,0.801,
E134_5_847,5.847,,
E77_2_884,2.884,,
E7_7_209,7.209,,
E89_5_607,5.607,,
E100_1_202,,1.202,
E143_1_922,,,1.922
E136_6_969,,,6.969
E21_4_085,4.085,,
E130_7_289,,7.289,
E134_7_369,7.369,,
E130_2_723,,2.723,
E88_4_085,4.085,,
E111_1_362,1.362,,
E100_1_522,,1.522,
E129_7_449,,,7.449
E126_3_685,,3.685,
E54_2_804,2.804,,
E86_6_488,6.488,,
E20_7_93,,,7.93
E29_6_168,,,6.168
E111_6_889,6.889,,
E102_6_728,,,6.728
E83_4_806,,,4.806
E123_1_922,,1.922,
E73_3_845,,3.845,
E98_5_287,,,5.287
E80_6_809,,6.809,
E7_6_728,6.728,,
E104_5_207,,5.207,
E86_3_364,3.364,,
