,PseudoTime0,PseudoTime1
E17_0_641,0.641,
E88_1_602,,1.602
E67_2_723,2.723,
E5_2_003,,2.003
E137_1_762,,1.762
E89_1_282,,1.282
E6_4_325,4.325,
E71_4_406,,4.406
E34_5_607,,5.607
E76_6_408,,6.408
E82_3_284,,3.284
E16_7_289,,7.289
E147_2_964,2.964,
E10_1_282,1.282,
E48_6_889,6.889,
E137_7_85,,7.85
E63_2_003,2.003,
E146_6_248,,6.248
E146_7_77,,7.77
E63_2_804,2.804,
E88_7_129,,7.129
E137_6_969,,6.969
E140_0_561,,0.561
E22_5_527,,5.527
E86_3_605,3.605,
E77_0_0,,0.0
E40_3_204,,3.204
E109_1_522,,1.522
E115_6_648,,6.648
E133_4_245,,4.245
E139_7_529,,7.529
E83_1_682,,1.682
E100_6_889,6.889,
E121_3_925,3.925,
E111_5_367,5.367,
E11_3_524,,3.524
E1_0_881,,0.881
E75_6_248,,6.248
E45_1_282,,1.282
E11_2_884,,2.884
E19_7_77,7.77,
E99_5_287,5.287,
E86_0_641,0.641,
E137_2_563,,2.563
E36_1_282,1.282,
E23_0_401,0.401,
E59_6_488,,6.488
E124_6_809,6.809,
E136_1_842,1.842,
E132_2_163,2.163,
E147_1_121,1.121,
E36_4_165,4.165,
E115_0_0,,0.0
E12_4_486,,4.486
E117_2_003,,2.003
E67_0_16,0.16,
E29_0_24,,0.24
E37_4_165,,4.165
E15_5_767,5.767,
E27_6_168,,6.168
E88_0_721,,0.721
E20_4_806,4.806,
E47_6_168,6.168,
E29_4_566,,4.566
E86_4_325,4.325,
E28_1_522,1.522,
E132_4_726,4.726,
E5_7_69,,7.69
E70_3_845,,3.845
E80_3_284,,3.284
E143_3_765,,3.765
E20_1_602,1.602,
E72_5_767,,5.767
E48_0_401,0.401,
E2_1_922,1.922,
E84_6_328,6.328,
E62_4_966,4.966,
E116_6_008,6.008,
E13_2_804,2.804,
E9_7_129,7.129,
E36_3_284,3.284,
E108_0_24,,0.24
E31_6_809,6.809,
E67_6_648,6.648,
E17_0_801,0.801,
E136_1_682,1.682,
E110_1_202,1.202,
E124_6_728,6.728,
E105_5_126,5.126,
E50_6_168,6.168,
E134_0_721,,0.721
E56_3_364,3.364,
E9_5_767,5.767,
E140_7_449,,7.449
E1_0_961,,0.961
E10_1_922,1.922,
E137_2_884,,2.884
E96_0_961,,0.961
E44_6_969,6.969,
E32_7_61,7.61,
E76_3_444,,3.444
E116_5_607,5.607,
E29_4_085,,4.085
E2_6_248,6.248,
E79_4_806,4.806,
E71_4_806,,4.806
E2_3_044,3.044,
E53_0_561,0.561,
E118_1_202,,1.202
E3_4_406,,4.406
E75_7_85,,7.85
E17_6_889,6.889,
E91_1_922,1.922,
E107_1_121,1.121,
E140_2_483,,2.483
E94_2_723,,2.723
E54_1_442,1.442,
E27_2_804,,2.804
E146_6_889,,6.889
E60_5_126,,5.126
E133_0_16,,0.16
E33_0_481,0.481,
E116_6_328,6.328,
E21_2_804,2.804,
E111_6_168,6.168,
E125_2_083,,2.083
E63_1_041,1.041,
E95_7_85,7.85,
E123_0_801,0.801,
E61_5_607,5.607,
E148_6_408,6.408,
E79_3_845,3.845,
E22_1_522,,1.522
E80_4_165,,4.165
E141_7_369,7.369,
E110_4_245,4.245,
E85_3_765,3.765,
E66_5_527,5.527,
E52_3_124,,3.124
E98_1_282,,1.282
E23_3_925,3.925,
E146_0_0,,0.0
E144_7_049,,7.049
E139_1_282,,1.282
E13_6_728,6.728,
E129_6_728,6.728,
E92_2_643,,2.643
E140_2_964,,2.964
E118_7_369,,7.369
E39_1_762,1.762,
E55_4_165,,4.165
E126_2_884,2.884,
E129_4_646,4.646,
E106_0_721,0.721,
E21_2_964,2.964,
E5_1_602,,1.602
E53_6_728,6.728,
E44_5_927,5.927,
E135_7_61,7.61,
E104_5_527,5.527,
E2_1_442,1.442,
E38_4_486,4.486,
E85_5_527,5.527,
E142_6_809,,6.809
E66_6_328,6.328,
E6_5_367,5.367,
E76_2_964,,2.964
E53_3_685,3.685,
E51_1_842,1.842,
E20_1_442,1.442,
E65_2_884,,2.884
E8_0_32,,0.32
E123_6_008,6.008,
E108_1_842,,1.842
E104_0_641,0.641,
E75_2_323,,2.323
E109_5_367,,5.367
E128_5_207,,5.207
E63_0_32,0.32,
E105_4_806,4.806,
E7_3_124,3.124,
E100_6_488,6.488,
E73_5_687,,5.687
E124_2_083,2.083,
E110_4_566,4.566,
E10_2_403,2.403,
E61_4_406,4.406,
E51_4_646,4.646,
E68_2_964,2.964,
E143_5_367,,5.367
E5_6_648,,6.648
E31_1_522,1.522,
E125_5_927,,5.927
E47_3_765,3.765,
E5_0_08,,0.08
E130_4_165,,4.165
E103_5_447,,5.447
E70_7_77,,7.77
E105_5_207,5.207,
E101_5_046,,5.046
E91_3_204,3.204,
E7_4_566,4.566,
E109_3_605,,3.605
E119_1_922,,1.922
E117_1_762,,1.762
E137_5_046,,5.046
E102_2_243,2.243,
E17_7_049,7.049,
E53_3_925,3.925,
E14_3_524,3.524,
E106_5_447,5.447,
E101_0_641,,0.641
E128_5_126,,5.126
E17_5_287,5.287,
E82_7_529,,7.529
E92_2_323,,2.323
E18_5_287,,5.287
E74_7_85,7.85,
E58_7_529,,7.529
E33_6_568,6.568,
E26_7_129,7.129,
E138_2_243,2.243,
E109_5_607,,5.607
E86_7_529,7.529,
E85_0_721,0.721,
E146_4_085,,4.085
E44_6_809,6.809,
E10_6_728,6.728,
E60_3_044,,3.044
E86_0_401,0.401,
E18_1_682,,1.682
E80_1_282,,1.282
E97_2_243,2.243,
E56_4_325,4.325,
E57_7_529,,7.529
E83_0_481,,0.481
E118_5_527,,5.527
E74_6_568,6.568,
E66_1_682,1.682,
E142_0_32,,0.32
E27_5_287,,5.287
E122_3_364,,3.364
E109_5_287,,5.287
E39_1_041,1.041,
E92_5_126,,5.126
E31_5_207,5.207,
E72_6_008,,6.008
E18_1_522,,1.522
E90_5_447,,5.447
E14_2_964,2.964,
E134_6_648,,6.648
E126_1_442,1.442,
E62_5_527,5.527,
E96_3_925,,3.925
E15_3_685,3.685,
E45_7_529,,7.529
E73_6_008,,6.008
E40_4_486,,4.486
E18_1_922,,1.922
E141_1_922,1.922,
E26_3_204,3.204,
E46_5_767,,5.767
E91_7_529,7.529,
E14_4_646,4.646,
E31_5_046,5.046,
E97_5_126,5.126,
E94_6_889,,6.889
E22_2_083,,2.083
E65_2_403,,2.403
E32_7_129,7.129,
E98_1_682,,1.682
E0_1_362,1.362,
E97_4_165,4.165,
E59_2_884,,2.884
E95_7_69,7.69,
E84_7_85,7.85,
E17_1_922,1.922,
E3_3_044,,3.044
E5_0_0,,0.0
E72_5_367,,5.367
E81_2_643,2.643,
E147_7_209,7.209,
E29_4_806,,4.806
E48_3_044,3.044,
E92_5_367,,5.367
E94_3_364,,3.364
E46_6_809,,6.809
E64_7_93,7.93,
E103_2_563,,2.563
E59_2_323,,2.323
E67_6_328,6.328,
E137_5_287,,5.287
E125_6_328,,6.328
E145_4_325,,4.325
E8_4_646,,4.646
