,PseudoTime0,PseudoTime1
E25_2_054,,2.054
E119_1_002,1.002,
E148_2_405,2.405,
E46_3_257,,3.257
E148_3_457,3.457,
E39_1_653,1.653,
E139_1_854,1.854,
E1_1_453,,1.453
E95_4_008,,4.008
E117_3_557,3.557,
E123_3_006,3.006,
E143_2_355,2.355,
E76_1_503,,1.503
E51_4_158,4.158,
E135_4_359,,4.359
E10_0_752,0.752,
E73_4_108,,4.108
E117_2_104,2.104,
E50_1_152,1.152,
E92_4_709,4.709,
E127_2_054,2.054,
E119_3_206,3.206,
E117_2_756,2.756,
E120_4_81,,4.81
E15_1_703,,1.703
E64_2_355,,2.355
E66_0_0,,0.0
E47_0_802,,0.802
E129_1_102,,1.102
E130_4_609,4.609,
E136_2_856,,2.856
E140_3_056,,3.056
E139_2_104,2.104,
E50_0_451,0.451,
E41_4_96,,4.96
E74_1_202,,1.202
E46_4_259,,4.259
E73_1_804,,1.804
E27_4_96,4.96,
E140_0_15,,0.15
E5_4_91,4.91,
E22_3_858,3.858,
E75_3_357,3.357,
E140_0_301,,0.301
E59_0_0,0.0,
E87_0_351,,0.351
E10_3_056,3.056,
E100_1_754,1.754,
E50_1_503,1.503,
E148_3_758,3.758,
E83_4_058,4.058,
E15_3_357,,3.357
E101_3_257,,3.257
E87_2_856,,2.856
E15_0_251,,0.251
E107_2_355,2.355,
E74_1_653,,1.653
E127_1_102,1.102,
E54_0_952,,0.952
E139_0_852,0.852,
E36_3_657,3.657,
E19_2_455,2.455,
E82_4_91,,4.91
E23_4_81,4.81,
E124_0_501,0.501,
E46_2_705,,2.705
E20_4_91,4.91,
E0_4_058,,4.058
E31_4_709,,4.709
E33_2_455,2.455,
E112_0_802,,0.802
E26_0_551,,0.551
E135_2_104,,2.104
E83_3_908,3.908,
E101_1_303,,1.303
E66_2_255,,2.255
E109_1_703,,1.703
E96_4_709,,4.709
E86_2_505,,2.505
E86_4_559,,4.559
E149_2_455,,2.455
E130_0_802,0.802,
E15_0_2,,0.2
E134_2_405,,2.405
E73_2_756,,2.756
E46_4_96,,4.96
E129_3_006,,3.006
E84_0_802,,0.802
E134_1_303,,1.303
E111_1_954,1.954,
E55_1_353,1.353,
E72_4_409,4.409,
E47_0_501,,0.501
E9_0_551,,0.551
E82_4_409,,4.409
E99_4_008,,4.008
E41_3_908,,3.908
E54_1_052,,1.052
E132_2_605,,2.605
E31_2_355,,2.355
E31_3_557,,3.557
E134_2_655,,2.655
E133_1_503,1.503,
E140_1_653,,1.653
E130_1_403,1.403,
E44_4_409,4.409,
E36_0_852,0.852,
E109_0_1,,0.1
E9_2_405,,2.405
E52_2_054,,2.054
E46_3_657,,3.657
E95_3_858,,3.858
E131_4_709,4.709,
E129_1_202,,1.202
E84_4_659,,4.659
E149_3_657,,3.657
E15_4_208,,4.208
E131_0_351,0.351,
E8_4_659,4.659,
E105_3_257,,3.257
E127_2_004,2.004,
E51_2_505,2.505,
E24_1_052,1.052,
E80_3_006,,3.006
E10_1_253,1.253,
E145_1_754,1.754,
E113_4_609,,4.609
E100_4_459,4.459,
E98_1_453,,1.453
E108_3_808,3.808,
E33_2_355,2.355,
E135_2_204,,2.204
E34_1_403,,1.403
E27_4_409,4.409,
E132_0_852,,0.852
E76_2_204,,2.204
E1_3_407,,3.407
E140_3_607,,3.607
E61_2_705,2.705,
E46_1_002,,1.002
E82_1_453,,1.453
E144_0_752,,0.752
E33_2_204,2.204,
E129_0_05,,0.05
E136_1_453,,1.453
E144_2_054,,2.054
E20_1_403,1.403,
E109_1_202,,1.202
E135_0_501,,0.501
E47_1_553,,1.553
E19_4_108,4.108,
E110_1_954,,1.954
E36_1_052,1.052,
E58_0_902,,0.902
E39_1_453,1.453,
E138_4_659,4.659,
E73_2_705,,2.705
E107_1_102,1.102,
E147_2_405,,2.405
E44_0_2,0.2,
E86_2_756,,2.756
E62_1_854,,1.854
E119_4_108,4.108,
E24_3_457,3.457,
E71_0_601,,0.601
E91_3_407,3.407,
E138_3_407,3.407,
E36_4_459,4.459,
E9_2_255,,2.255
E48_2_154,2.154,
E37_3_707,3.707,
E135_3_407,,3.407
E103_0_651,0.651,
E40_3_307,3.307,
E56_4_259,,4.259
E72_3_006,3.006,
E44_1_954,1.954,
E85_0_351,,0.351
E8_0_852,0.852,
E45_4_659,4.659,
E106_1_954,1.954,
E73_1_353,,1.353
E80_3_357,,3.357
E27_0_551,0.551,
E28_3_707,3.707,
E126_1_453,1.453,
E4_0_952,0.952,
E3_3_156,3.156,
E129_1_353,,1.353
E134_3_457,,3.457
E18_1_253,1.253,
E141_3_908,3.908,
E44_3_106,3.106,
E66_3_707,,3.707
E83_3_407,3.407,
E69_2_305,2.305,
E43_4_91,4.91,
E9_4_309,,4.309
E131_4_609,4.609,
E0_4_86,,4.86
E103_4_058,4.058,
