	cl
E0_1	1
E1_1	1
E2_1	1
E3_1	1
E4_1	1
E5_1	1
E6_1	1
E7_1	0
E8_1	0
E9_1	1
E10_1	1
E11_1	1
E12_1	1
E13_1	1
E14_1	1
E15_1	1
E16_1	0
E17_1	0
E18_1	0
E19_1	1
E20_1	1
E21_1	1
E22_1	0
E23_1	0
E24_1	0
E25_1	0
E26_1	0
E27_1	0
E28_1	0
E29_1	1
E30_1	0
E31_1	1
E32_1	1
E33_1	1
E34_1	0
E35_1	0
E36_1	1
E37_1	0
E38_1	0
E39_1	0
E40_1	1
E41_1	0
E42_1	0
E43_1	1
E44_1	1
E45_1	0
E46_1	0
E47_1	0
E48_1	1
E49_1	1
E50_1	1
E51_1	1
E52_1	1
E53_1	0
E54_1	0
E55_1	0
E56_1	0
E57_1	0
E58_1	0
E59_1	0
E60_1	1
E61_1	0
E62_1	0
E63_1	0
E64_1	0
E65_1	0
E66_1	0
E67_1	0
E68_1	0
E69_1	1
E70_1	1
E71_1	0
E72_1	0
E73_1	0
E74_1	0
E75_1	0
E76_1	0
E77_1	0
E78_1	0
E79_1	1
E80_1	0
E81_1	0
E82_1	0
E83_1	0
E84_1	0
E85_1	0
E86_1	0
E87_1	1
E88_1	1
E89_1	0
E90_1	0
E91_1	1
E92_1	0
E93_1	1
E94_1	0
E95_1	0
E96_1	0
E97_1	0
E98_1	0
E99_1	0
E100_1	0
E101_1	0
E102_1	0
E103_1	0
E104_1	0
E105_1	1
E106_1	0
E107_1	0
E108_1	0
E109_1	0
E110_1	0
E111_1	0
E112_1	0
E113_1	0
E114_1	0
E115_1	0
E116_1	0
E117_1	0
E118_1	0
E119_1	0
E120_1	0
E121_1	0
E122_1	1
E123_1	0
E124_1	0
E125_1	1
E126_1	0
E127_1	0
E128_1	0
E129_1	0
E130_1	0
E131_1	1
E132_1	0
E133_1	0
E134_1	0
E135_1	0
E136_1	1
E137_1	0
E138_1	0
E139_1	0
E140_1	0
E141_1	0
E142_1	0
E143_1	1
E144_1	0
E145_1	0
E146_1	0
E147_1	0
E148_1	0
E149_1	0
E150_1	0
E151_1	0
E152_1	0
E153_1	0
E154_1	1
E155_1	0
E156_1	0
E157_1	0
E158_1	1
E159_1	0
E160_1	0
E161_1	1
E162_1	0
E163_1	0
E164_1	0
E165_1	0
E166_1	0
E167_1	0
E168_1	0
E169_1	0
E170_1	1
E171_1	0
E172_1	0
E173_1	0
E174_1	0
E175_1	0
E176_1	0
E177_1	0
E178_1	0
E179_1	0
E180_1	1
E181_1	0
E182_1	0
E183_1	0
E184_1	0
E185_1	0
E186_1	0
E187_1	0
E188_1	0
E189_1	0
E190_1	0
E191_1	1
E192_1	0
E193_1	0
E194_1	1
E195_1	0
E196_1	0
E197_1	0
E198_1	0
E199_1	1
E200_1	0
E201_1	0
E202_1	1
E203_1	0
E204_1	0
E205_1	0
E206_1	0
E207_1	0
E208_1	0
E209_1	0
E210_1	0
E211_1	0
E212_1	0
E213_1	0
E214_1	0
E215_1	0
E216_1	1
E217_1	0
E218_1	0
E219_1	0
E220_1	0
E221_1	0
E222_1	0
E223_1	0
E224_1	0
E225_1	0
E226_1	0
E227_1	0
E228_1	0
E229_1	0
E230_1	0
E231_1	0
E232_1	0
E233_1	1
E234_1	0
E235_1	0
E236_1	1
E237_1	0
E238_1	0
E239_1	0
E240_1	0
E241_1	0
E242_1	0
E243_1	1
E244_1	0
E245_1	0
E246_1	0
E247_1	1
E248_1	1
E249_1	0
E250_1	0
E251_1	0
E252_1	0
E253_1	1
E254_1	0
E255_1	0
E256_1	0
E257_1	0
E258_1	1
E259_1	0
E260_1	0
E261_1	0
E262_1	0
E263_1	0
E264_1	1
E265_1	0
E266_1	0
E267_1	0
E268_1	0
E269_1	0
E270_1	0
E271_1	0
E272_1	0
E273_1	0
E274_1	0
E275_1	0
E276_1	0
E277_1	0
E278_1	0
E279_1	0
E280_1	0
E281_1	0
E282_1	0
E283_1	0
E284_1	0
E285_1	0
E286_1	0
E287_1	0
E288_1	0
E289_1	0
E290_1	0
E291_1	0
E292_1	0
E293_1	0
E294_1	0
E295_1	0
E296_1	0
E297_1	0
E298_1	0
E299_1	0
E300_1	1
E301_1	0
E302_1	0
E303_1	0
E304_1	1
E305_1	0
E306_1	0
E307_1	0
E308_1	0
E309_1	0
E310_1	0
E311_1	0
E312_1	0
E313_1	0
E314_1	1
E315_1	0
E316_1	0
E317_1	0
E318_1	0
E319_1	0
E320_1	0
E321_1	0
E322_1	0
E323_1	0
E324_1	0
E325_1	0
E326_1	0
E327_1	0
E328_1	1
E329_1	0
E330_1	0
E331_1	0
E332_1	0
E333_1	0
E334_1	0
E335_1	0
E336_1	0
E337_1	1
E338_1	0
E339_1	0
E340_1	0
E341_1	0
E342_1	0
E343_1	1
E344_1	0
E345_1	0
E346_1	1
E347_1	1
E348_1	0
E349_1	0
E350_1	0
E351_1	0
E352_1	0
E353_1	0
E354_1	0
E355_2	0
E356_2	0
E357_2	1
E358_2	0
E359_2	0
E360_2	0
E361_2	0
E362_2	0
E363_4	0
E364_4	0
E365_4	0
E366_4	0
E367_5	0
E368_5	0
E369_7	0
E370_7	0
E371_7	1
E372_7	1
E373_7	1
E374_7	0
E375_7	0
E376_7	1
E377_7	0
E378_7	0
E379_7	1
E380_7	0
E381_7	0
E382_7	0
E383_7	0
E384_7	0
E385_7	1
E386_7	0
E387_7	0
E388_7	0
E389_7	0
E390_7	0
E391_7	1
E392_7	0
E393_7	0
E394_7	1
E395_7	1
E396_7	1
E397_7	1
E398_7	0
E399_7	0
E400_7	0
E401_7	0
E402_7	0
E403_7	0
E404_7	0
E405_7	0
E406_7	0
E407_7	0
E408_7	0
E409_7	0
E410_7	0
E411_7	1
E412_7	0
E413_8	0
E414_8	1
E415_8	0
E416_8	0
E417_8	0
E418_8	0
E419_8	0
E420_8	0
E421_8	1
E422_8	1
E423_8	1
E424_8	0
E425_8	1
E426_8	0
E427_8	0
E428_8	0
E429_8	0
E430_8	0
E431_8	0
E432_8	1
E433_8	0
E434_8	0
E435_8	0
E436_8	0
E437_8	0
E438_8	1
E439_8	1
E440_8	0
E441_8	0
E442_8	0
E443_8	0
E444_8	0
E445_8	0
E446_8	0
E447_8	0
E448_8	1
E449_8	0
E450_8	0
E451_8	0
E452_8	0
E453_8	0
E454_8	0
E455_8	0
E456_8	0
E457_8	1
E458_8	0
E459_8	1
E460_8	0
E461_8	0
E462_8	0
E463_8	0
E464_8	0
E465_8	0
E466_8	0
E467_8	0
E468_8	1
E469_8	0
E470_8	1
E471_8	0
E472_8	1
E473_8	1
E474_8	1
E475_8	0
E476_8	0
E477_8	0
E478_8	0
E479_10	0
E480_10	0
E481_10	1
E482_10	0
E483_10	0
E484_10	0
E485_10	0
E486_10	0
E487_10	0
E488_10	1
E489_10	1
E490_10	0
E491_10	0
E492_10	0
E493_10	0
E494_10	0
E495_10	0
E496_10	0
E497_10	0
E498_10	0
E499_10	0
E500_10	1
E501_10	0
E502_10	0
E503_10	0
E504_10	0
E505_10	1
E506_10	0
E507_10	0
E508_10	0
E509_10	0
E510_10	0
E511_10	0
E512_10	0
E513_10	0
E514_10	0
E515_10	1
E516_10	0
E517_10	0
E518_10	0
E519_10	0
E520_10	0
E521_10	1
E522_10	0
E523_10	0
E524_10	0
E525_10	0
E526_10	0
E527_10	0
E528_10	0
E529_10	0
E530_10	0
E531_10	0
E532_11	0
E533_11	0
E534_11	0
E535_11	0
E536_11	0
E537_11	1
E538_11	0
E539_11	0
E540_11	0
E541_11	0
E542_11	0
E543_11	0
E544_11	0
E545_11	1
E546_11	1
E547_11	0
E548_11	0
E549_11	0
E550_11	0
E551_11	1
E552_11	0
E553_11	0
E554_11	0
E555_11	0
E556_11	0
E557_11	1
E558_11	1
E559_11	0
E560_11	1
E561_11	0
E562_11	0
E563_11	0
E564_11	0
E565_11	0
E566_11	0
E567_11	0
E568_11	0
E569_11	0
E570_11	0
E571_11	0
E572_11	0
E573_11	0
E574_11	0
E575_11	1
E576_11	0
E577_11	0
E578_11	0
E579_11	1
E580_11	0
E581_11	1
E582_11	1
E583_11	0
E584_11	0
E585_11	0
E586_11	1
E587_11	0
E588_11	1
E589_11	0
E590_11	0
E591_11	0
E592_11	0
E593_11	0
E594_11	0
E595_11	0
E596_11	0
E597_11	0
E598_11	0
E599_11	0
E600_11	0
E601_11	0
E602_11	0
E603_11	0
E604_11	0
E605_11	0
E606_11	0
E607_11	0
E608_11	0
E609_11	0
E610_11	0
E611_11	0
E612_11	0
E613_11	0
E614_11	0
E615_11	0
E616_12	1
E617_12	0
E618_12	0
E619_12	0
E620_12	0
E621_12	0
E622_12	0
E623_12	0
E624_12	0
E625_12	0
E626_12	0
E627_12	0
E628_12	1
E629_12	0
E630_12	0
E631_12	0
E632_12	1
E633_12	0
E634_12	1
E635_12	0
E636_12	0
E637_12	0
E638_12	0
E639_12	1
E640_12	0
E641_12	1
E642_12	0
E643_12	0
E644_12	1
E645_12	1
E646_12	1
E647_12	0
E648_12	0
E649_12	0
E650_12	0
E651_12	0
E652_12	0
E653_12	0
E654_12	0
E655_12	0
E656_12	1
E657_12	0
E658_12	0
E659_12	0
E660_12	0
E661_12	0
E662_12	1
E663_12	0
E664_12	0
E665_12	0
E666_12	1
E667_12	0
E668_12	1
E669_12	0
E670_12	0
E671_12	0
E672_12	0
E673_12	0
E674_12	0
E675_12	0
E676_12	1
E677_12	0
E678_12	0
E679_12	0
E680_12	0
E681_12	0
E682_12	0
E683_12	0
E684_12	0
E685_12	0
E686_12	0
E687_12	0
E688_12	0
E689_12	0
E690_12	0
E691_12	0
E692_12	0
E693_12	0
E694_12	0
E695_12	0
E696_12	0
E697_12	0
E698_12	0
E699_12	0
E700_12	0
E701_12	0
E702_12	0
E703_12	0
E704_12	0
E705_12	0
E706_12	0
E707_12	0
E708_12	0
E709_12	0
E710_12	0
E711_12	0
E712_12	0
E713_12	0
E714_12	0
E715_12	0
E716_12	0
E717_12	0
E718_12	1
E719_12	0
E720_12	0
E721_12	0
E722_12	0
E723_12	0
E724_12	0
E725_12	1
E726_12	0
E727_12	0
E728_12	1
E729_12	0
E730_12	0
E731_12	0
E732_12	0
E733_12	0
E734_12	0
E735_12	0
E736_12	0
E737_12	0
E738_12	0
E739_12	0
E740_12	0
E741_12	0
E742_12	0
E743_12	0
E744_12	0
E745_12	1
E746_12	1
E747_12	0
E748_12	0
E749_12	0
E750_12	0
E751_12	0
E752_12	0
E753_12	1
E754_12	0
E755_12	0
E756_12	0
E757_12	0
E758_12	0
E759_12	0
E760_12	0
E761_12	1
E762_12	0
E763_12	1
E764_12	0
E765_12	0
E766_12	0
E767_12	0
E768_12	0
E769_12	0
E770_12	0
E771_12	0
E772_12	0
E773_12	0
E774_12	0
E775_12	1
E776_12	0
E777_12	0
E778_12	1
E779_12	0
E780_12	0
E781_12	1
E782_12	0
E783_12	0
E784_12	0
E785_12	0
E786_12	0
E787_12	0
E788_12	0
E789_12	0
E790_12	0
E791_12	0
E792_12	0
E793_12	0
E794_12	0
E795_12	0
E796_12	1
E797_12	0
E798_12	0
E799_12	0
E800_12	1
E801_12	0
E802_12	0
E803_12	0
E804_12	0
E805_12	0
E806_12	0
E807_12	1
E808_12	0
E809_12	1
E810_12	0
E811_12	0
E812_12	0
E813_12	0
E814_12	1
E815_12	0
E816_12	0
E817_12	0
E818_12	0
E819_12	0
E820_12	0
E821_12	1
E822_12	0
E823_12	1
E824_12	0
E825_12	0
E826_12	0
E827_12	1
E828_12	0
E829_12	0
E830_12	0
E831_12	1
E832_12	1
E833_12	0
E834_12	1
E835_12	0
E836_12	0
E837_12	0
E838_12	0
E839_12	0
E840_12	1
E841_12	0
E842_12	0
E843_12	0
E844_12	0
E845_12	0
E846_12	1
E847_12	0
E848_12	0
E849_12	0
E850_12	1
E851_12	1
E852_12	0
E853_12	1
E854_12	0
E855_12	0
E856_12	1
E857_12	0
E858_12	0
E859_12	0
E860_12	0
E861_12	1
E862_12	1
E863_12	0
E864_12	1
E865_12	1
E866_12	1
E867_12	0
E868_12	0
E869_12	0
E870_12	1
E871_12	0
E872_12	0
E873_12	0
E874_12	1
E875_12	1
E876_12	0
E877_12	0
E878_12	0
E879_12	0
E880_12	0
E881_12	1
E882_12	1
E883_12	0
E884_12	0
E885_12	0
E886_12	0
E887_12	1
E888_12	1
E889_12	1
E890_12	0
E891_12	1
E892_12	1
E893_12	0
E894_12	0
E895_12	0
E896_12	0
E897_12	1
E898_12	0
E899_12	0
E900_12	0
E901_12	0
E902_12	0
E903_12	0
E904_12	0
E905_12	0
E906_12	1
E907_12	0
E908_12	1
E909_12	0
E910_12	1
E911_12	1
E912_12	0
E913_12	0
E914_12	1
E915_12	1
E916_12	0
E917_12	1
E918_12	0
E919_12	0
E920_12	1
E921_12	1
E922_12	1
E923_12	1
E924_12	0
E925_12	0
E926_12	1
E927_12	0
E928_12	0
E929_12	1
E930_12	1
E931_12	1
E932_12	0
E933_12	1
E934_12	1
E935_12	1
E936_12	0
E937_12	1
E938_12	1
E939_12	0
E940_12	1
E941_12	1
E942_12	1
E943_12	0
E944_12	1
E945_12	1
E946_12	1
E947_12	1
E948_12	1
E949_12	1
E950_12	0
E951_12	1
E952_12	1
E953_12	1
E954_12	0
E955_12	1
E956_12	1
E957_12	1
E958_12	1
E959_12	1
E960_12	1
E961_12	1
E962_12	0
E963_12	1
E964_12	0
E965_12	0
E966_12	1
E967_12	1
E968_12	1
E969_12	0
E970_12	1
E971_12	1
E972_12	1
E973_12	1
E974_12	1
E975_12	1
E976_12	1
E977_12	0
E978_12	0
E979_12	0
E980_12	0
E981_12	0
E982_13	0
E983_13	0
E984_13	0
E985_13	0
E986_13	0
E987_13	0
E988_13	0
E989_13	0
E990_13	0
E991_13	0
E992_13	0
E993_13	0
E994_13	0
E995_13	0
E996_13	0
E997_13	0
E998_13	0
E999_13	0
E1000_13	0
E1001_13	0
E1002_13	0
E1003_13	0
E1004_13	0
E1005_13	0
E1006_13	0
E1007_13	0
E1008_13	0
E1009_13	0
E1010_13	0
E1011_13	0
E1012_13	0
E1013_13	0
E1014_13	0
E1015_13	0
E1016_13	0
E1017_13	0
E1018_13	0
E1019_13	0
E1020_13	0
E1021_13	0
E1022_13	0
E1023_13	0
E1024_13	0
E1025_13	0
E1026_13	0
