,PseudoTime0,PseudoTime1,PseudoTime2
E86_6_648,6.648,,
E95_2_323,,,2.323
E66_4_646,,,4.646
E71_2_003,,2.003,
E63_1_362,,,1.362
E117_7_61,,7.61,
E70_4_966,4.966,,
E5_5_847,5.847,,
E110_1_602,,1.602,
E122_6_168,,,6.168
E0_0_961,,0.961,
E88_2_723,2.723,,
E71_4_486,,4.486,
E107_0_16,,0.16,
E58_2_643,,,2.643
E93_5_847,5.847,,
E133_2_563,,2.563,
E110_3_765,,3.765,
E49_1_522,1.522,,
E42_3_685,,,3.685
E11_6_088,,6.088,
E22_6_568,,,6.568
E98_6_728,,,6.728
E29_0_801,,,0.801
E129_4_325,,,4.325
E106_1_922,1.922,,
E147_4_245,,,4.245
E47_0_0,,,0.0
E6_4_726,,,4.726
E105_0_961,0.961,,
E13_0_0,,,0.0
E133_6_969,,6.969,
E17_0_08,,0.08,
E70_6_088,6.088,,
E44_5_607,5.607,,
E75_1_762,1.762,,
E31_1_282,,1.282,
E101_4_646,,4.646,
E87_1_682,1.682,,
E56_0_16,,,0.16
E104_7_129,,7.129,
E7_5_687,5.687,,
E139_2_723,,,2.723
E29_7_85,,,7.85
E100_3_685,,3.685,
E106_6_969,6.969,,
E71_1_762,,1.762,
E66_7_77,,,7.77
E96_0_801,0.801,,
E0_0_561,,0.561,
E45_0_721,,0.721,
E76_2_243,2.243,,
E45_5_927,,5.927,
E111_0_0,0.0,,
E110_5_607,,5.607,
E117_5_847,,5.847,
E51_2_804,,2.804,
E75_0_561,0.561,,
E111_3_925,3.925,,
E144_3_364,3.364,,
E1_6_889,,,6.889
E147_3_605,,,3.605
E73_3_845,,3.845,
E113_3_284,,,3.284
E123_0_881,,0.881,
E148_7_129,,7.129,
E85_1_282,,1.282,
E66_2_163,,,2.163
E26_4_726,4.726,,
E110_4_245,,4.245,
E83_4_486,,,4.486
E49_2_964,2.964,,
E65_7_129,7.129,,
E101_7_289,,7.289,
E103_6_088,,6.088,
E130_7_289,,7.289,
E3_1_762,,1.762,
E140_5_607,,,5.607
E58_5_207,,,5.207
E126_0_401,,0.401,
E13_5_687,,,5.687
E147_7_93,,,7.93
E60_7_77,,7.77,
E5_3_845,3.845,,
E124_2_643,2.643,,
E115_0_561,,0.561,
E1_7_529,,,7.529
E95_7_049,,,7.049
E147_0_481,,,0.481
E31_3_124,,3.124,
E126_4_646,,4.646,
E37_6_809,6.809,,
E136_4_085,,,4.085
E12_2_804,2.804,,
E12_2_243,2.243,,
E63_4_406,,,4.406
E104_1_762,,1.762,
E13_0_721,,,0.721
E9_1_121,,1.121,
E3_1_202,,1.202,
E111_7_529,7.529,,
E134_7_77,7.77,,
E31_5_847,,5.847,
E88_4_486,4.486,,
E107_6_488,,6.488,
E103_2_563,,2.563,
E11_2_483,,2.483,
E11_1_041,,1.041,
E86_2_563,2.563,,
E110_0_961,,0.961,
E143_4_245,,,4.245
E10_3_925,,,3.925
E128_4_005,,4.005,
