,Jaccard Median,Jaccard MAD
GENIE3,0.8765432098765432,0.05245120791229859
GRISLI,0.3162393162393162,0.10725871297469408
GRNBOOST2,0.6170212765957447,0.04700027401943801
GRNVBEM,0.46153846153846156,0.10125146185905977
LEAP,0.7078651685393258,0.25118485532083573
PIDC,0.9,0.033326523167537155
PPCOR,0.6521739130434783,0.06956141417985921
SCINGE,0.3076923076923077,0.13241594392337347
SCNS,0.797752808988764,0.07729144956652287
SCODE,0.36936936936936937,0.14135340576671784
SCRIBE,0.38181818181818183,0.08952938811761539
SINCERITIES,0.35714285714285715,0.16364887545603063
