,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E133_2_255,,2.255,,,
E116_1_353,,1.353,,,
E0_2_756,,,,2.756,
E9_0_952,,,,0.952,
E142_0_401,0.401,,,,
E135_3_707,3.707,,,,
E93_2_906,,,,2.906,
E131_1_052,,1.052,,,
E92_2_806,,2.806,,,
E105_3_357,,,,3.357,
E31_4_008,,,,,4.008
E3_0_401,,0.401,,,
E139_4_76,4.76,,,,
E98_0_651,,0.651,,,
E66_1_102,1.102,,,,
E83_2_705,2.705,,,,
E4_2_204,,,,2.204,
E87_1_603,1.603,,,,
E56_0_902,0.902,,,,
E16_4_259,,,,4.259,
E148_0_1,,,0.1,,
E92_2_455,,2.455,,,
E64_1_202,,,,1.202,
E77_2_405,,,,2.405,
E140_2_004,2.004,,,,
E110_1_002,,1.002,,,
E8_2_204,,,,2.204,
E103_0_451,,0.451,,,
E53_2_305,,2.305,,,
E98_1_754,,1.754,,,
E84_3_457,,3.457,,,
E58_4_659,,,,4.659,
E85_1_002,,1.002,,,
E37_2_505,2.505,,,,
E14_0_852,,0.852,,,
E104_0_2,,,,0.2,
E144_2_255,,2.255,,,
E96_0_1,0.1,,,,
E1_0_2,0.2,,,,
E120_1_954,1.954,,,,
E14_0_601,,0.601,,,
E59_4_359,,,,4.359,
E69_1_253,,,,1.253,
E34_2_605,,,2.605,,
E29_4_509,,4.509,,,
E124_4_008,,,,,4.008
E59_4_108,,,,4.108,
E97_3_257,,,,3.257,
E62_2_305,,,,,2.305
E112_4_76,4.76,,,,
E131_2_505,,2.505,,,
E111_4_459,,,4.459,,
E74_0_852,,,,0.852,
E24_1_253,,1.253,,,
E108_3_206,,3.206,,,
E70_3_257,,,,3.257,
E50_0_05,,0.05,,,
E41_2_655,,2.655,,,
E140_1_804,1.804,,,,
E39_3_407,,3.407,,,
E48_2_204,,2.204,,,
E94_3_908,,3.908,,,
E46_4_459,4.459,,,,
E103_3_808,,3.808,,,
E147_1_653,,1.653,,,
E139_1_503,1.503,,,,
E47_0_802,,0.802,,,
E47_1_102,,1.102,,,
E116_1_653,,1.653,,,
E78_3_357,,,,3.357,
E86_0_0,,0.0,,,
E68_2_355,,2.355,,,
E13_4_659,,4.659,,,
E34_0_451,,,0.451,,
E72_3_056,3.056,,,,
E41_4_158,,4.158,,,
E79_1_954,,1.954,,,
E7_2_605,2.605,,,,
E147_1_403,,1.403,,,
E148_4_008,,,4.008,,
E131_3_156,,3.156,,,
E100_2_505,,,,2.505,
E122_4_259,,,,4.259,
E39_2_405,,2.405,,,
E46_4_659,4.659,,,,
E93_0_1,,,,0.1,
E140_4_008,4.008,,,,
E29_1_253,,1.253,,,
E137_3_156,,,,3.156,
E122_4_309,,,,4.309,
E76_3_808,,,,3.808,
E53_2_655,,2.655,,,
E24_4_509,,4.509,,,
E140_1_453,1.453,,,,
E140_3_607,3.607,,,,
E122_3_457,,,,3.457,
E14_3_908,,3.908,,,
E8_2_505,,,,2.505,
E86_1_202,,1.202,,,
E50_4_409,,4.409,,,
E89_1_553,,,,1.553,
E54_4_86,4.86,,,,
E121_3_307,,,,3.307,
E134_1_754,,,1.754,,
E77_4_259,,,,4.259,
E72_0_802,0.802,,,,
E117_1_904,1.904,,,,
E138_3_056,3.056,,,,
E126_0_952,,,,0.952,
E92_1_804,,1.804,,,
E141_1_603,,,,1.603,
E126_0_15,,,,0.15,
E58_0_251,,,,0.251,
E70_2_405,,,,2.405,
E120_2_104,2.104,,,,
E122_0_05,,,,0.05,
E104_4_259,,,,4.259,
E119_0_551,,,,,0.551
E115_0_2,0.2,,,,
E46_4_359,4.359,,,,
E120_4_259,4.259,,,,
E97_2_806,,,,2.806,
E62_4_108,,,,,4.108
E140_2_756,2.756,,,,
E75_2_555,,2.555,,,
E147_2_154,,2.154,,,
E36_1_353,1.353,,,,
E27_1_503,1.503,,,,
E51_2_305,2.305,,,,
E11_2_505,,,,2.505,
E40_2_956,,2.956,,,
E36_2_054,2.054,,,,
E138_2_104,2.104,,,,
E87_2_655,2.655,,,,
E52_0_651,,,,0.651,
E74_4_76,,,,4.76,
E31_3_657,,,,,3.657
E136_4_409,4.409,,,,
E4_0_401,,,,0.401,
E1_2_906,2.906,,,,
E25_0_15,0.15,,,,
E41_3_206,,3.206,,,
E142_3_657,3.657,,,,
E94_4_058,,4.058,,,
E28_4_409,,,,4.409,
E19_3_507,3.507,,,,
E20_2_756,2.756,,,,
E52_1_202,,,,1.202,
E42_0_15,,,,0.15,
E109_1_954,,,,1.954,
E91_1_854,,,,1.854,
E46_0_701,0.701,,,,
E113_4_409,4.409,,,,
E13_4_91,,4.91,,,
E2_1_353,1.353,,,,
E30_0_802,,,,0.802,
E136_1_453,1.453,,,,
E129_1_804,,1.804,,,
E16_1_754,,,,1.754,
E148_2_455,,,2.455,,
E35_3_707,,,,,3.707
E12_4_008,,,,4.008,
E40_0_1,,0.1,,,
E12_2_705,,,,2.705,
E143_1_303,,,,1.303,
E49_2_204,,,,,2.204
E41_2_906,,2.906,,,
E38_2_054,,,,,2.054
E63_3_257,3.257,,,,
E46_2_956,2.956,,,,
E17_4_659,,4.659,,,
E65_1_854,1.854,,,,
E120_3_206,3.206,,,,
E36_2_655,2.655,,,,
