Gene1,Gene2,combined_score
JUN,FOS,0.999
IRF9,STAT1,0.997
JUNB,FOS,0.997
JUN,ATF3,0.995
ATF4,DDIT3,0.994
JUN,FOSB,0.993
EGR1,FOS,0.993
ATF4,ATF3,0.987
TCF12,TCF4,0.986
JUNB,FOSL2,0.983
JUN,FOSL1,0.980
JUN,FOSL2,0.979
FOS,FOSB,0.972
JUNB,FOSL1,0.972
ATF3,DDIT3,0.967
TRP53,HMGA2,0.962
JUNB,FOSB,0.960
TRP53,MYC,0.957
JUN,SP1,0.954
KLF4,MYC,0.949
MEF2C,TCF4,0.945
TCF12,MEF2A,0.938
TCF12,MEF2C,0.936
JUN,JUNB,0.934
STAT6,STAT1,0.932
MEF2A,TCF4,0.929
EGR1,JUNB,0.926
MEF2C,MEF2A,0.923
TRP53,JUN,0.921
JUN,MYC,0.912
JUN,EGR1,0.896
EGR1,FOSB,0.893
ATF3,FOS,0.887
EGR1,ATF3,0.886
TCF12,ASCL1,0.875
FOS,SP1,0.868
JUN,ETS1,0.862
MYC,FOS,0.859
TRP53,EGR1,0.853
JUNB,ATF3,0.853
JUN,RELA,0.848
TRP53,KLF4,0.843
TRP53,SP1,0.843
JUN,STAT1,0.841
FOSL1,FOSB,0.838
TRP53,RELA,0.830
FOSL1,FOS,0.830
FOSL2,FOSB,0.830
FOSL2,FOS,0.828
ATF4,JUN,0.827
FOSL2,FOSL1,0.825
TRP53,ATF3,0.800
TRP53,STAT1,0.797
IRF9,STAT6,0.790
ATF4,FOS,0.789
TRP53,ETS1,0.775
MAF,TRP53,0.758
KLF4,SOX9,0.751
STAT1,FOS,0.741
SOX11,ATF3,0.740
TCF4,ASCL1,0.727
TRP53,FOS,0.719
STAT1,ATF3,0.719
MAF,STAT1,0.714
JUN,DDIT3,0.712
ATF4,FOSL1,0.708
MAF,JUN,0.706
TCF4,KLF4,0.700
STAT1,RELA,0.683
ETS1,FOS,0.679
EGR1,SP1,0.671
STAT1,MYC,0.668
NFIA,SOX9,0.660
EGR1,MYC,0.659
MAF,FOS,0.654
ETS1,MYC,0.653
MEF2C,JUN,0.650
RELA,MYC,0.646
RELA,SP1,0.642
PLAGL1,TRP53,0.641
JUN,SOX9,0.639
MAF,FOSL1,0.637
TRP53,DDIT3,0.635
MAF,STAT6,0.629
MAF,SOX9,0.626
ATF4,FOSL2,0.620
EGR1,FOSL1,0.619
NFYB,TRP53,0.618
HMGA2,MYC,0.616
MYC,SP1,0.612
EGR1,FOSL2,0.610
FOSL1,MYC,0.610
RELA,SOX9,0.609
TCF4,JUN,0.606
RELA,FOS,0.598
MAF,FOSL2,0.597
MEF2C,EBF1,0.595
ATF4,TRP53,0.587
NR2F2,SOX9,0.585
MYC,SOX9,0.582
KLF4,PRRX1,0.582
TRP53,FOSL1,0.582
EBF1,MYC,0.578
JUN,STAT6,0.569
TCF4,MYC,0.569
MEF2C,KLF4,0.561
FOSL2,ATF3,0.560
MEF2C,ASCL1,0.554
ATF4,SOX9,0.552
EGR1,ETS1,0.551
TCF12,NFIC,0.548
RELA,FOSL1,0.547
KLF4,ATF3,0.546
TRP53,SOX9,0.544
ATF3,MYC,0.544
MEF2A,ASCL1,0.543
PRRX1,MYC,0.538
EGR1,NR2F2,0.533
TCF4,ATF4,0.532
SOX11,ASCL1,0.530
MAF,NFE2L1,0.529
TCF4,SOX9,0.528
ATF4,MAF,0.526
KLF4,ASCL1,0.524
ASCL1,SOX9,0.522
KLF4,JUN,0.514
EGR1,RELA,0.512
DDIT3,FOS,0.511
STAT6,RELA,0.509
PRRX1,SOX9,0.508
EGR1,STAT1,0.508
TCF4,TRP53,0.507
MAF,ATF3,0.506
TRP53,STAT6,0.505
MEF2C,ETS1,0.501
MEF2C,SOX9,0.494
STAT6,MYC,0.494
MAF,PRRX1,0.490
STAT6,ETS1,0.487
MAF,ETS1,0.481
MEF2A,JUN,0.479
MEF2C,MYC,0.473
MYC,ASCL1,0.470
MEF2A,EGR1,0.468
KLF4,FOS,0.468
MEF2C,FOS,0.466
ATF4,MYC,0.460
DDIT3,MYC,0.456
JUNB,MYC,0.456
STAT1,ETS1,0.454
EBF1,ETS1,0.448
TCF12,ETS1,0.446
MAF,JUNB,0.445
TCF12,EBF1,0.436
TGIF1,JUN,0.435
ETS1,SP1,0.435
ATF3,FOSL1,0.430
EGR1,SOX9,0.427
TGIF1,ATF3,0.424
EGR1,DDIT3,0.424
TCF12,FOSL2,0.419
KLF4,SOX11,0.418
JUNB,ETS1,0.416
ATF4,EGR1,0.415
MAF,MYC,0.411
ETS1,SOX9,0.408
IRF9,TRP53,0.408
TCF12,STAT1,0.407
TFDP1,TRP53,0.406
ETS1,FOSL1,0.402
ETS1,NFIC,0.400
