	dim1	dim2
E4_2_0	-2.0451434	-4.8079743
E4_2_1	-5.940435	-7.002431
E4_2_2	-6.707386	-4.373505
E5_2_0	2.0795715	-16.11205
E5_2_1	-6.9271493	4.6267567
E4_2_3	-1.7298281	-11.694703
E5_2_2	-13.127119	10.22417
E4_2_4	1.004495	3.0718224
E4_2_5	-4.8910623	0.59092444
E5_2_3	-6.989138	7.237106
E4_2_6	-5.113544	3.2386925
E4_2_7	-3.7363229	-4.6908603
E4_2_8	-9.767486	-7.760752
E4_2_9	-0.9791245	2.2056265
E5_2_4	-12.818763	9.10275
E4_2_10	-3.5295835	-9.554127
E5_2_5	2.292656	-6.358358
E4_2_11	-6.4120116	-2.3989205
E5_2_6	-7.867851	4.8345037
E4_2_12	-6.335987	-3.947434
E4_2_13	-9.843317	-4.7565603
E1_2_0	-12.979193	12.058029
E4_2_14	-1.0889839	-7.8464084
E1_2_1	-10.96787	9.616354
E1_2_2	-19.090025	14.701367
E5_2_7	-5.75943	3.269207
E4_2_15	0.19054486	-9.006215
E4_2_16	-0.32627457	-5.3058524
E4_2_17	-6.757322	-5.7444625
E5_2_8	-6.9081125	5.6499877
E4_2_18	-6.590019	-9.971138
E4_2_19	0.56803477	-1.5934732
E4_2_20	-3.174231	-1.8052527
E4_2_21	-8.555792	-3.9050105
E5_2_9	-14.741575	10.728135
E4_2_22	-6.8011084	2.4353423
E4_2_23	-4.359858	-4.2099085
E4_2_24	0.8151928	-11.889417
E4_2_25	-0.76771843	-9.411042
E5_2_10	-4.7367406	4.0811806
E4_2_26	0.8553157	-7.365618
E4_2_27	0.04906077	-7.5686903
E5_2_11	-0.21683858	-10.329876
E1_2_3	-11.040384	17.151787
E1_2_4	-16.198215	14.537881
E4_2_28	-4.6592913	-7.503261
E4_2_29	-2.917896	-5.6158104
E1_2_5	-11.731738	19.376019
E4_2_30	-7.230548	-7.7346816
E5_2_12	-10.910034	6.637082
E4_2_31	-2.3756883	-9.36327
E4_2_32	-3.569583	-7.8267856
E4_2_33	-4.977518	-9.399047
E4_2_34	-8.849007	0.88347256
E4_2_35	-5.280192	1.295953
E5_2_13	-8.704528	13.616575
E4_2_36	-1.4738052	-10.450216
E5_2_14	-5.7935834	5.2780557
E4_2_37	3.167962	-10.730663
E4_2_38	-9.55067	-6.383406
E4_2_39	-4.3586254	-3.540372
E1_2_6	-15.088103	13.760369
E4_2_40	-6.7016544	-6.843582
E5_2_15	-8.850336	1.6541783
E4_2_41	-8.475374	-9.260458
E4_2_42	-7.9384975	-8.5610285
E1_2_7	-17.285147	10.146649
E1_2_8	-15.320632	8.258186
E1_2_9	-13.735174	19.537992
E4_2_43	-1.820062	-8.514664
E4_2_44	-5.239049	0.21514808
E5_2_16	-9.585782	2.3365815
E4_2_45	-5.0466323	-10.368976
E5_2_17	13.611382	10.315053
E4_2_46	-3.984258	-9.541004
E4_2_47	1.8948269	-12.9736185
E4_2_48	-6.6396985	-7.4115214
E4_2_49	-1.9991322	-7.199161
E5_2_18	-7.651371	6.1887236
E5_2_19	-10.255233	12.11857
E4_2_50	-3.7626684	0.6081791
E1_0_10	-12.288333	21.737661
E1_0_11	-15.646117	18.084284
E1_0_12	-13.499427	13.9891405
E1_0_13	-9.73295	14.879384
E1_0_14	-16.91357	19.357794
E1_0_15	-17.978506	15.554351
E1_0_16	-14.804659	12.07048
E1_0_17	-16.910671	18.26646
E1_0_18	-20.249304	17.095215
E1_0_19	-13.879224	13.119741
E1_0_20	-16.831509	16.196724
E1_0_21	-18.247684	16.522057
E1_0_22	-16.551476	13.628109
E1_0_23	-18.038925	19.41513
E1_0_24	-15.594061	11.907158
E1_0_25	-10.672413	13.641988
E1_0_26	-12.069354	15.2583275
E1_0_27	-20.040106	10.682913
E1_0_28	-22.525478	16.591917
E1_0_29	-15.99828	13.769001
E1_0_30	-16.196589	17.550734
E1_0_31	-17.295835	14.420057
E1_0_32	-14.850711	17.27042
E1_0_33	-16.976328	21.175692
E1_0_34	-17.73899	17.166021
E1_0_35	-13.854197	16.679323
E1_0_36	-13.482181	15.142581
E1_0_37	-12.822989	16.148376
E1_0_38	-20.243647	18.613808
E1_0_39	-22.001522	16.624897
E1_0_40	-15.020988	16.33763
E1_0_41	-13.670064	16.359049
E1_0_42	-19.167696	18.170391
E1_0_43	-11.482467	15.864816
E1_0_44	-14.6044	21.678076
E1_0_45	-17.16112	22.13389
E1_0_46	-18.48714	12.201546
E1_0_47	-18.53142	17.749304
E1_0_48	-19.063618	15.16868
E1_0_49	-16.164337	18.661938
E1_0_50	-16.338264	15.750175
