Gene1,Gene2,Type
ATF3,STAT1,+
NFYB,STAT1,+
SP1,STAT1,+
EGR1,ZFP238,+
IRF9,ZFP238,+
KLF4,ZFP238,+
MYC,ZFP238,+
NFYB,ZFP238,+
SP1,ZFP238,+
ZFP238,ZFP238,+
ATF4,ATF3,+
EGR1,ATF3,+
FOS,ATF3,+
FOSB,ATF3,+
FOSL1,ATF3,+
FOSL2,ATF3,+
IRF9,ATF3,+
JUN,ATF3,+
JUNB,ATF3,+
KLF4,ATF3,+
MEF2A,ATF3,+
NFIA,ATF3,+
NFIC,ATF3,+
NFYB,ATF3,+
SP1,ATF3,+
ZFP238,ATF3,+
EBF1,NFIC,+
EGR1,NFIC,+
FOS,NFIC,+
FOSB,NFIC,+
FOSL1,NFIC,+
FOSL2,NFIC,+
JUN,NFIC,+
JUNB,NFIC,+
KLF4,NFIC,+
MAF,NFIC,+
MEF2A,NFIC,+
MYC,NFIC,+
NFE2L1,NFIC,+
NR2F2,NFIC,+
RELA,NFIC,+
SP1,NFIC,+
TCF12,NFIC,+
TGIF1,NFIC,+
EGR1,NFYB,+
KLF4,NFYB,+
MAF,NFYB,+
NFYB,NFYB,+
SP1,NFYB,+
TCF4,NFYB,+
TRP53,NFYB,+
DDIT3,DDIT3,+
EBF1,DDIT3,+
EGR1,DDIT3,+
ETS1,DDIT3,+
KLF4,DDIT3,+
MEF2A,DDIT3,+
MYC,DDIT3,+
NFYB,DDIT3,+
NR2F2,DDIT3,+
SOX11,DDIT3,+
SOX9,DDIT3,+
SP1,DDIT3,+
TCF4,DDIT3,+
TRP53,DDIT3,+
EGR1,STAT6,+
ETS1,STAT6,+
KLF4,STAT6,+
MAF,STAT6,+
MYC,STAT6,+
SP1,STAT6,+
NFIA,EBF1,+
NFIC,EBF1,+
EBF1,TRP53,+
EGR1,TRP53,+
ETS1,TRP53,+
IRF9,TRP53,+
KLF4,TRP53,+
MAF,TRP53,+
MEF2A,TRP53,+
MYC,TRP53,+
NFE2L1,TRP53,+
NR2F2,TRP53,+
RELA,TRP53,+
SP1,TRP53,+
STAT1,TRP53,+
STAT6,TRP53,+
TFDP1,TRP53,+
TRP53,TRP53,+
EGR1,NFE2L1,+
ETS1,NFE2L1,+
KLF4,NFE2L1,+
NFIA,NFE2L1,+
NFIC,NFE2L1,+
NFYB,NFE2L1,+
NR2F2,NFE2L1,+
PLAGL1,NFE2L1,+
SP1,NFE2L1,+
EBF1,HBP1,+
EGR1,HBP1,+
NFIA,HBP1,+
NFIC,HBP1,+
NR2F2,HBP1,+
SP1,HBP1,+
MAF,FOS,+
MEF2A,FOS,+
SP1,FOS,+
TCF12,FOS,+
TRP53,FOS,+
EBF1,IRF9,+
IRF9,IRF9,+
MYC,IRF9,+
STAT1,IRF9,+
EGR1,MYC,+
ETS1,MYC,+
IRF9,MYC,+
KLF4,MYC,+
MEF2A,MYC,+
NR2F2,MYC,+
SP1,MYC,+
STAT1,MYC,+
STAT6,MYC,+
TFDP1,MYC,+
