Gene1,Gene2,combined_score
JUN,FOS,0.999
IRF9,STAT1,0.997
JUNB,FOS,0.997
JUN,ATF3,0.995
ATF4,DDIT3,0.994
JUN,FOSB,0.993
EGR1,FOS,0.993
ATF4,ATF3,0.987
TCF12,TCF4,0.986
JUNB,FOSL2,0.983
JUN,FOSL1,0.980
JUN,FOSL2,0.979
FOS,FOSB,0.972
JUNB,FOSL1,0.972
ATF3,DDIT3,0.967
TRP53,HMGA2,0.962
JUNB,FOSB,0.960
TRP53,MYC,0.957
JUN,SP1,0.954
KLF4,MYC,0.949
MEF2C,TCF4,0.945
TCF12,MEF2A,0.938
TCF12,MEF2C,0.936
JUN,JUNB,0.934
STAT6,STAT1,0.932
MEF2A,TCF4,0.929
EGR1,JUNB,0.926
MEF2C,MEF2A,0.923
TRP53,JUN,0.921
JUN,MYC,0.912
