CellID	CellID	dim1	dim2	kMeans	PseudoTime1	Original	ExpTime
E4_2_0	E4_2_0	-2.0451433999999997	-4.8079743	0	31.4671415453701	1.0	2.0
E4_2_1	E4_2_1	-5.940435	-7.002431	0	28.9828482802736	1.0	2.1
E4_2_2	E4_2_2	-6.707386	-4.373505000000001	0	27.766842904514398	1.0	2.2
E5_2_0	E5_2_0	2.0795715	-16.11205	1	67.2437092450293	1.0	2.0
E5_2_1	E5_2_1	-6.9271493	4.6267567000000005	0	20.4308896454429	1.0	2.1
E4_2_3	E4_2_3	-1.7298281000000002	-11.694703	0	67.2437092450293	1.0	2.3
E5_2_2	E5_2_2	-13.127119	10.224169999999999	1	12.5272324655632	1.0	2.2
E4_2_4	E4_2_4	1.0044950000000001	3.0718224	0	37.6705166464535	1.0	2.4
E4_2_5	E4_2_5	-4.8910623	0.59092444	0	25.758807574355604	1.0	2.5
E5_2_3	E5_2_3	-6.9891380000000005	7.237106	1	17.8408072621408	1.0	2.3
E4_2_6	E4_2_6	-5.113544	3.2386925	0	22.7382701261164	1.0	2.6
E4_2_7	E4_2_7	-3.7363229	-4.6908603	0	30.070037030148896	1.0	2.7
E4_2_8	E4_2_8	-9.767486	-7.760752	0	27.3904190627423	1.0	2.8
E4_2_9	E4_2_9	-0.9791245000000001	2.2056265	0	35.218816876461	1.0	2.9
E5_2_4	E5_2_4	-12.818763	9.10275	1	13.677859549705	1.0	2.4
E4_2_10	E4_2_10	-3.5295834999999998	-9.554127000000001	0	30.4075469356216	1.0	2.1
E5_2_5	E5_2_5	2.292656	-6.358358	0	34.4971906412706	1.0	2.5
E4_2_11	E4_2_11	-6.4120116	-2.3989205	0	26.957779177367602	1.0	2.11
E5_2_6	E5_2_6	-7.867850999999999	4.8345037	1	19.757216008642	1.0	2.6
E4_2_12	E4_2_12	-6.335987	-3.9474339999999994	0	27.852374950532305	1.0	2.12
E4_2_13	E4_2_13	-9.843316999999999	-4.756560299999999	0	26.1742462792423	1.0	2.13
E1_2_0	E1_2_0	-12.979192999999999	12.058029	1	10.9123168962605	1.0	2.0
E4_2_14	E4_2_14	-1.0889839	-7.8464084000000005	0	31.7724063445151	1.0	2.14
E1_2_1	E1_2_1	-10.96787	9.616354	1	13.966922664119698	1.0	2.1
E1_2_2	E1_2_2	-19.090025	14.701367000000001	1	6.006533105671901	1.0	2.2
E5_2_7	E5_2_7	-5.75943	3.2692069999999998	1	22.3797879850643	1.0	2.7
E4_2_15	E4_2_15	0.19054486	-9.006215	0	32.3694986765467	1.0	2.15
E4_2_16	E4_2_16	-0.32627457	-5.305852400000001	0	32.769765243716805	1.0	2.16
E4_2_17	E4_2_17	-6.757322	-5.7444625	0	28.207687002390102	1.0	2.17
E5_2_8	E5_2_8	-6.9081125	5.6499877	1	19.4708085858734	1.0	2.8
E4_2_18	E4_2_18	-6.590019	-9.971138	0	29.1386981980857	1.0	2.18
E4_2_19	E4_2_19	0.56803477	-1.5934732	0	34.902595852878	1.0	2.19
E4_2_20	E4_2_20	-3.1742310000000002	-1.8052526999999998	0	30.4606640506123	1.0	2.2
E4_2_21	E4_2_21	-8.555792	-3.9050105000000004	0	26.480438514087602	1.0	2.21
