,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E97_0_05,,,,0.05,
E34_4_058,,,4.058,,
E6_0_301,0.301,,,,
E81_1_253,1.253,,,,
E91_1_703,,,,1.703,
E103_0_0,,0.0,,,
E88_4_709,,4.709,,,
E109_3_357,,,,3.357,
E24_1_052,,1.052,,,
E82_3_908,3.908,,,,
E129_0_752,,0.752,,,
E114_1_353,,1.353,,,
E134_3_908,,,3.908,,
E87_4_309,4.309,,,,
E25_1_303,1.303,,,,
E136_0_301,0.301,,,,
E145_0_1,,0.1,,,
E145_2_505,,2.505,,,
E78_3_457,,,,3.457,
E59_3_206,,,,3.206,
E13_4_359,,4.359,,,
E99_2_004,,2.004,,,
E123_3_507,3.507,,,,
E142_0_301,0.301,,,,
E121_1_253,,,,1.253,
E5_1_754,,,,1.754,
E22_1_804,,1.804,,,
E40_1_102,,1.102,,,
E37_3_657,3.657,,,,
E23_3_257,,,3.257,,
E54_0_0,0.0,,,,
E58_4_259,,,,4.259,
E47_2_154,,2.154,,,
E15_4_709,,4.709,,,
E119_2_455,,,,,2.455
E2_4_76,4.76,,,,
E114_3_307,,3.307,,,
E105_2_305,,,,2.305,
E63_1_353,1.353,,,,
E121_0_251,,,,0.251,
E40_3_257,,3.257,,,
E8_0_2,,,,0.2,
E139_3_307,3.307,,,,
E109_1_653,,,,1.653,
E12_0_852,,,,0.852,
E51_4_459,4.459,,,,
E39_2_255,,2.255,,,
E144_0_251,,0.251,,,
E102_0_15,,,,0.15,
E34_3_457,,,3.457,,
E96_2_505,2.505,,,,
E21_0_2,,0.2,,,
E110_1_904,,1.904,,,
E52_2_455,,,,2.455,
E135_0_501,0.501,,,,
E99_3_407,,3.407,,,
E127_3_707,,3.707,,,
E98_1_202,,1.202,,,
E120_1_253,1.253,,,,
E5_3_156,,,,3.156,
E20_3_507,3.507,,,,
E65_3_357,3.357,,,,
E117_3_758,3.758,,,,
E112_4_81,4.81,,,,
E108_3_908,,3.908,,,
E133_4_058,,4.058,,,
E142_2_204,2.204,,,,
E10_0_401,0.401,,,,
E26_3_557,,,,3.557,
E87_0_651,0.651,,,,
E135_1_553,1.553,,,,
E14_4_309,,4.309,,,
E6_4_559,4.559,,,,
E17_3_006,,3.006,,,
E140_2_305,2.305,,,,
E51_3_407,3.407,,,,
E31_3_808,,,,,3.808
E104_0_501,,,,0.501,
E45_2_806,,2.806,,,
E102_1_904,,,,1.904,
E33_3_607,,,,3.607,
E114_4_659,,4.659,,,
E38_0_351,,,,,0.351
E1_0_701,0.701,,,,
E37_1_503,1.503,,,,
E28_1_904,,,,1.904,
E127_0_1,,0.1,,,
E90_1_603,1.603,,,,
E70_2_104,,,,2.104,
E146_4_81,,4.81,,,
