Bptf,Cbfa2t3h,Cdkn2a,Csf1r,Dnmt3a,Egfl7,Eif2b1,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Itga2b,Kit,Ldb1,Time
1.618259824,2.645866718,11.23776055,2.924802661,3.032013765,1.34147914,2.261026562,1.317258098,11.69482967,15.52134433,14.51825021,-0.211040882,15.69306221,15.18592906,11.45622375,2.209411224,14.44388817,2.413633209,16.31432611,4.29243538,3.787127976,1.926864156,15.5748238,1.417595459,3.245970642,0
1.548724281,3.332495062,15.86607454,15.46771341,14.43891392,3.292034822,13.83879088,2.11185829,5.01130531,15.52134433,2.859325731,0.3684869,15.69306221,4.829126523,14.75622375,2.290045378,14.44388817,16.25766877,16.31432611,2.40701086,15.63240278,2.194898847,15.5748238,-0.009360371,1.494669064,0
1.358344972,3.594958639,5.868543163,1.184188684,3.318057008,-0.032076645,2.121545325,3.016209079,4.087056549,9.129564486,1.612266229,0.842357147,6.587543981,11.88592906,1.898960269,2.811339633,3.146229478,1.547206242,6.815396912,2.269904396,7.385361265,1.547512294,6.67720883,2.054384192,2.112252059,0
-0.644833957,1.095391212,15.86607454,1.329017487,14.43891392,14.86803568,0.962333429,-0.835936997,3.199832669,15.52134433,1.546861414,0.054534433,15.69306221,15.18592906,14.75622375,1.166509768,14.44388817,16.25766877,16.31432611,2.357889895,15.63240278,0.802981337,15.5748238,-1.048498824,1.869111418,0
0.82498331,6.153354727,15.86607454,1.395544901,2.222766718,1.635978798,2.527047625,1.929304322,4.903129102,15.52134433,2.395369553,0.006699498,15.69306221,5.251618474,7.702423051,3.119971048,14.44388817,1.91685526,16.31432611,3.728416903,6.106153813,2.048763791,15.5748238,0.688252809,2.967920341,0
1.355398204,15.21193392,15.86607454,0.6460233,1.03624112,2.191064337,1.731497468,0.298868191,4.298329779,2.366148393,1.858768361,-0.207898477,15.69306221,4.174637908,14.75622375,14.73312711,14.44388817,2.620296195,16.31432611,3.399794268,15.63240278,0.361465203,15.5748238,-0.59928513,1.535506482,0
0.959352006,15.21193392,10.41655322,0.696167048,1.025307321,3.218286173,2.535462598,0.793247892,11.02290722,1.504888487,1.403674969,-0.217516803,15.69306221,15.18592906,14.75622375,3.038082197,0.487973395,2.354571812,11.58991793,2.59307744,15.63240278,0.70315594,15.5748238,1.903407337,0.784382379,0
0.761672452,1.970702601,15.86607454,-0.529212492,14.43891392,14.86803568,2.023480384,1.458129952,3.035027914,15.52134433,14.51825021,-1.917888005,15.69306221,15.18592906,14.75622375,14.73312711,14.44388817,1.110181212,16.31432611,1.031062394,15.63240278,0.813923062,15.5748238,0.757045309,3.535730428,0
1.202543078,2.506976455,7.609426032,8.177217768,1.687945285,2.001660027,2.47505866,0.409929287,3.678014123,2.186940575,1.641502888,-0.815645368,7.402600109,4.807095116,0.971334605,2.856265592,3.25318651,2.521348133,8.221416313,3.063018641,9.926998871,0.968398541,8.128355761,0.078586477,2.35125958,0
0.200991404,3.977315943,15.86607454,15.46771341,1.246888258,14.86803568,0.512395918,0.021602645,15.82707562,15.52134433,0.402970734,-1.3332185,15.69306221,3.569353306,14.75622375,1.452664008,3.024061527,1.658283195,16.31432611,1.401895498,2.819051884,0.828553555,15.5748238,-0.459762292,15.99623809,0
