,PseudoTime0,PseudoTime1,PseudoTime2
E6_6_008,,,6.008
E123_6_568,,6.568,
E5_4_726,4.726,,
E121_3_284,,,3.284
E21_6_889,6.889,,
E68_3_605,,,3.605
E70_5_687,5.687,,
E106_4_165,4.165,,
E0_0_08,,0.08,
E13_4_245,,,4.245
E76_2_403,2.403,,
E46_4_966,,,4.966
E144_3_364,3.364,,
E88_5_287,5.287,,
E12_5_767,5.767,,
E143_3_444,,,3.444
E125_5_126,5.126,,
E33_7_69,,7.69,
E136_2_723,,,2.723
E60_4_085,,4.085,
E101_2_884,,2.884,
E86_4_646,4.646,,
E100_6_008,,6.008,
E89_0_16,0.16,,
E34_7_85,7.85,,
E22_0_481,,,0.481
E111_6_248,6.248,,
E5_0_24,0.24,,
E5_6_969,6.969,,
E79_5_447,5.447,,
E66_7_209,,,7.209
E111_7_85,7.85,,
E106_5_767,5.767,,
E3_7_449,,7.449,
E79_0_32,0.32,,
E115_4_646,,4.646,
E10_6_648,,,6.648
E28_2_964,,2.964,
E68_4_566,,,4.566
E0_2_403,,2.403,
E147_1_522,,,1.522
E123_1_041,,1.041,
E7_1_041,1.041,,
E121_5_207,,,5.207
E58_4_486,,,4.486
E79_3_044,3.044,,
E54_2_323,2.323,,
E115_4_726,,4.726,
E71_1_041,,1.041,
E63_5_527,,,5.527
E16_0_881,0.881,,
E6_2_243,,,2.243
E35_2_964,,2.964,
E139_4_566,,,4.566
E145_2_723,,,2.723
E125_6_488,6.488,,
E22_3_204,,,3.204
E4_3_605,,,3.605
E111_3_204,3.204,,
E18_3_204,3.204,,
E88_5_927,5.927,,
E70_0_481,0.481,,
E105_4_085,4.085,,
E77_1_442,1.442,,
E58_3_204,,,3.204
E39_5_687,,5.687,
E136_2_083,,,2.083
E74_2_643,,2.643,
E143_2_323,,,2.323
E101_1_842,,1.842,
E92_6_728,,,6.728
E99_1_762,,,1.762
E100_4_566,,4.566,
E74_6_889,,6.889,
E79_3_845,3.845,,
E39_6_408,,6.408,
E13_2_003,,,2.003
E145_5_287,,,5.287
E22_0_16,,,0.16
E64_6_488,6.488,,
E13_6_328,,,6.328
E86_3_204,3.204,,
E81_2_323,2.323,,
E125_7_85,7.85,,
E26_7_289,7.289,,
E105_1_121,1.121,,
E123_5_046,,5.046,
E63_3_204,,,3.204
E124_2_003,2.003,,
E1_4_806,,,4.806
E7_0_721,0.721,,
E140_7_69,,,7.69
E147_3_284,,,3.284
E71_1_121,,1.121,
E62_1_442,,1.442,
E35_5_287,,5.287,
E140_7_449,,,7.449
E39_2_163,,2.163,
E114_2_884,2.884,,
E83_7_289,,,7.289
E92_5_207,,,5.207
E78_2_163,,,2.163
E105_2_243,2.243,,
E121_6_008,,,6.008
E29_6_648,,,6.648
E94_2_323,,2.323,
E102_5_687,,,5.687
E26_1_202,1.202,,
E31_2_483,,2.483,
E64_5_046,5.046,,
E113_4_406,,,4.406
E115_4_566,,4.566,
E44_0_881,0.881,,
E10_2_563,,,2.563
E52_7_529,,,7.529
E101_2_483,,2.483,
E145_7_449,,,7.449
E87_7_529,7.529,,
E129_0_08,,,0.08
E16_2_083,2.083,,
E15_5_927,,5.927,
E148_7_369,,7.369,
E125_4_406,4.406,,
E105_4_486,4.486,,
E73_2_483,,2.483,
E133_6_728,,6.728,
E35_6_488,,6.488,
E79_1_202,1.202,,
E44_2_964,2.964,,
E71_0_32,,0.32,
E106_0_801,0.801,,
E136_3_284,,,3.284
E85_3_685,,3.685,
E145_4_406,,,4.406
E144_0_0,0.0,,
E130_6_248,,6.248,
E73_4_966,,4.966,
E121_3_444,,,3.444
E77_6_728,6.728,,
E26_1_442,1.442,,
E103_3_925,,3.925,
E16_7_93,7.93,,
E145_7_369,,,7.369
E39_5_607,,5.607,
E62_0_721,,0.721,
E105_6_809,6.809,,
E136_0_801,,,0.801
E100_6_168,,6.168,
E118_6_488,6.488,,
E17_2_403,,2.403,
E66_0_801,,,0.801
E118_2_804,2.804,,
E11_3_765,,3.765,
E114_2_323,2.323,,
E14_3_765,,,3.765
E95_0_881,,,0.881
E129_0_641,,,0.641
E145_1_682,,,1.682
E95_6_568,,,6.568
E136_7_69,,,7.69
E34_2_323,2.323,,
E68_6_568,,,6.568
E140_1_602,,,1.602
E136_0_0,,,0.0
E40_1_362,1.362,,
E79_3_204,3.204,,
E125_5_687,5.687,,
E46_1_922,,,1.922
E45_0_16,,0.16,
E58_4_566,,,4.566
E34_4_165,4.165,,
E7_4_726,4.726,,
E136_4_806,,,4.806
E92_7_61,,,7.61
E65_5_287,5.287,,
E7_4_566,4.566,,
E47_6_568,,,6.568
E100_1_682,,1.682,
E46_1_442,,,1.442
E144_3_044,3.044,,
E6_2_804,,,2.804
E31_6_488,,6.488,
E117_5_287,,5.287,
E1_5_126,,,5.126
E123_0_801,,0.801,
E22_7_369,,,7.369
E68_3_284,,,3.284
E12_6_648,6.648,,
E110_0_32,,0.32,
E106_6_969,6.969,,
E33_5_207,,5.207,
E52_2_323,,,2.323
E99_0_24,,,0.24
E83_0_401,,,0.401
E121_2_723,,,2.723
E2_1_842,1.842,,
E100_1_041,,1.041,
E65_3_925,3.925,,
E22_5_447,,,5.447
E45_6_889,,6.889,
E21_4_886,4.886,,
E93_4_325,4.325,,
E89_5_447,5.447,,
E110_3_605,,3.605,
E34_2_243,2.243,,
E106_4_646,4.646,,
E122_7_289,,,7.289
E17_7_289,,7.289,
E113_1_442,,,1.442
E98_4_806,,,4.806
E125_5_527,5.527,,
E133_2_323,,2.323,
E75_0_32,0.32,,
E12_3_124,3.124,,
E37_3_044,3.044,,
E83_5_046,,,5.046
E76_1_121,1.121,,
E40_1_602,1.602,,
E18_4_966,4.966,,
E104_0_24,,0.24,
E87_3_364,3.364,,
E88_0_24,0.24,,
E54_3_925,3.925,,
E140_0_08,,,0.08
E133_4_165,,4.165,
E96_6_648,6.648,,
E35_3_364,,3.364,
E144_5_126,5.126,,
E16_4_726,4.726,,
E66_0_881,,,0.881
E12_4_165,4.165,,
E133_6_328,,6.328,
E139_6_648,,,6.648
E28_5_687,,5.687,
E37_3_925,3.925,,
E21_4_726,4.726,,
E123_4_245,,4.245,
E88_1_602,1.602,,
E4_3_284,,,3.284
E78_4_085,,,4.085
E73_7_69,,7.69,
E84_1_362,,,1.362
E15_0_481,,0.481,
E101_4_806,,4.806,
E95_7_129,,,7.129
E83_1_041,,,1.041
E39_6_488,,6.488,
E136_5_767,,,5.767
E9_7_69,,7.69,
E130_6_969,,6.969,
E145_0_481,,,0.481
E74_4_325,,4.325,
E4_5_607,,,5.607
E42_4_886,,,4.886
E12_5_126,5.126,,
E145_2_964,,,2.964
E89_0_08,0.08,,
E139_0_481,,,0.481
E39_5_447,,5.447,
E13_0_561,,,0.561
E115_0_0,,0.0,
E14_3_845,,,3.845
E11_4_406,,4.406,
E11_3_605,,3.605,
E113_4_245,,,4.245
E98_1_522,,,1.522
E58_2_403,,,2.403
E70_2_083,2.083,,
E0_0_24,,0.24,
E64_4_966,4.966,,
E77_6_168,6.168,,
E124_3_044,3.044,,
E45_3_524,,3.524,
E98_0_08,,,0.08
E121_1_762,,,1.762
E22_2_804,,,2.804
E21_7_69,7.69,,
E89_5_767,5.767,,
E73_3_845,,3.845,
E56_6_008,,,6.008
E122_5_767,,,5.767
E86_0_08,0.08,,
E1_6_728,,,6.728
E103_2_243,,2.243,
E148_4_566,,4.566,
E85_0_961,,0.961,
E3_6_408,,6.408,
E99_2_964,,,2.964
E96_5_046,5.046,,
E101_2_163,,2.163,
E70_0_0,0.0,,
E130_6_408,,6.408,
E21_0_801,0.801,,
E102_5_447,,,5.447
E80_2_003,,2.003,
E16_1_121,1.121,,
E133_4_806,,4.806,
E64_2_403,2.403,,
E129_5_607,,,5.607
E1_7_209,,,7.209
E26_2_323,2.323,,
E99_7_129,,,7.129
E133_7_449,,7.449,
E128_3_444,,3.444,
E56_4_646,,,4.646
E110_0_08,,0.08,
E47_2_804,,,2.804
E115_7_529,,7.529,
E124_7_049,7.049,,
E4_0_16,,,0.16
E42_3_524,,,3.524
E64_0_16,0.16,,
E77_3_765,3.765,,
E28_6_488,,6.488,
E99_7_69,,,7.69
E125_3_124,3.124,,
E18_3_444,3.444,,
E81_7_69,7.69,,
E56_4_005,,,4.005
E99_5_367,,,5.367
E5_7_77,7.77,,
E35_3_605,,3.605,
E66_5_527,,,5.527
E49_2_403,2.403,,
E93_1_682,1.682,,
E95_2_243,,,2.243
E102_7_69,,,7.69
E33_1_922,,1.922,
E9_3_524,,3.524,
E139_6_088,,,6.088
E105_1_522,1.522,,
E145_3_685,,,3.685
E104_4_566,,4.566,
E121_5_527,,,5.527
E93_3_845,3.845,,
E15_7_129,,7.129,
E142_4_806,,,4.806
E21_5_927,5.927,,
E96_3_765,3.765,,
E13_0_0,,,0.0
E21_1_121,1.121,,
E3_0_16,,0.16,
E95_2_804,,,2.804
E89_7_209,7.209,,
E21_7_129,7.129,,
E134_6_648,6.648,,
E113_4_325,,,4.325
E47_3_204,,,3.204
E47_7_209,,,7.209
E105_5_447,5.447,,
E22_7_85,,,7.85
E33_6_889,,6.889,
E21_2_643,2.643,,
E31_7_77,,7.77,
E40_0_32,0.32,,
E118_6_889,6.889,,
E75_0_08,0.08,,
E21_2_804,2.804,,
E93_2_643,2.643,,
E13_7_61,,,7.61
E99_1_522,,,1.522
E79_0_08,0.08,,
E66_2_163,,,2.163
E70_5_847,5.847,,
E54_4_085,4.085,,
E21_4_325,4.325,,
E86_6_088,6.088,,
E58_7_93,,,7.93
E37_4_406,4.406,,
E62_3_765,,3.765,
E139_4_165,,,4.165
E52_2_884,,,2.884
E42_2_563,,,2.563
E54_0_16,0.16,,
E66_6_728,,,6.728
E136_1_442,,,1.442
E34_3_284,3.284,,
E143_7_85,,,7.85
E4_4_005,,,4.005
E9_6_008,,6.008,
E22_6_809,,,6.809
E86_2_083,2.083,,
E126_4_566,,4.566,
E62_4_165,,4.165,
E14_1_121,,,1.121
E6_1_121,,,1.121
E34_0_32,0.32,,
E92_3_284,,,3.284
E63_5_767,,,5.767
E117_4_325,,4.325,
E121_1_442,,,1.442
E73_5_126,,5.126,
E148_7_77,,7.77,
E85_7_85,,7.85,
E92_4_005,,,4.005
E76_0_881,0.881,,
E56_6_088,,,6.088
E77_2_964,2.964,,
E5_3_124,3.124,,
E49_6_328,6.328,,
E124_1_442,1.442,,
E105_4_566,4.566,,
E126_3_444,,3.444,
E99_5_927,,,5.927
E6_1_442,,,1.442
E66_7_529,,,7.529
E75_3_605,3.605,,
E18_5_447,5.447,,
E129_6_728,,,6.728
E99_6_408,,,6.408
E44_2_563,2.563,,
E2_2_003,2.003,,
E2_0_16,0.16,,
E47_2_563,,,2.563
E45_3_925,,3.925,
E129_2_243,,,2.243
E15_0_32,,0.32,
E1_1_762,,,1.762
E78_7_129,,,7.129
E5_0_881,0.881,,
E144_1_041,1.041,,
E14_7_209,,,7.209
E10_1_442,,,1.442
E15_4_245,,4.245,
E34_4_566,4.566,,
E115_4_165,,4.165,
E31_7_449,,7.449,
E68_6_248,,,6.248
E12_0_08,0.08,,
E12_4_726,4.726,,
E33_2_723,,2.723,
E98_7_129,,,7.129
E147_0_08,,,0.08
E12_2_563,2.563,,
E67_0_32,,0.32,
E5_0_561,0.561,,
E89_4_806,4.806,,
E6_1_842,,,1.842
E102_5_927,,,5.927
E65_5_126,5.126,,
E1_1_121,,,1.121
E84_0_08,,,0.08
E18_5_126,5.126,,
E0_1_522,,1.522,
E28_3_845,,3.845,
E88_6_408,6.408,,
E49_5_767,5.767,,
E4_6_008,,,6.008
E81_0_0,0.0,,
E140_7_529,,,7.529
E60_2_403,,2.403,
E64_2_483,2.483,,
E31_2_723,,2.723,
E64_6_809,6.809,,
E118_0_08,0.08,,
E140_6_809,,,6.809
E84_3_124,,,3.124
E115_4_806,,4.806,
E115_6_088,,6.088,
E134_4_406,4.406,,
E105_5_126,5.126,,
E7_3_845,3.845,,
E103_0_561,,0.561,
E58_1_522,,,1.522
E96_0_641,0.641,,
E42_4_726,,,4.726
E84_6_488,,,6.488
E15_1_442,,1.442,
E142_0_961,,,0.961
E96_4_726,4.726,,
E35_0_32,,0.32,
E102_1_202,,,1.202
E3_2_163,,2.163,
E42_4_245,,,4.245
E37_6_408,6.408,,
E22_0_961,,,0.961
E114_6_809,6.809,,
E26_5_927,5.927,,
E124_0_881,0.881,,
E83_7_369,,,7.369
E87_3_925,3.925,,
E100_4_726,,4.726,
E78_1_282,,,1.282
E66_4_566,,,4.566
E58_6_248,,,6.248
E12_2_323,2.323,,
E94_4_165,,4.165,
E49_1_602,1.602,,
E128_3_364,,3.364,
E88_7_93,7.93,,
E88_1_922,1.922,,
E121_1_922,,,1.922
E99_1_682,,,1.682
E37_3_845,3.845,,
E28_1_522,,1.522,
E31_5_687,,5.687,
E77_1_522,1.522,,
E80_6_328,,6.328,
E45_1_922,,1.922,
E53_5_767,,5.767,
E29_3_284,,,3.284
E49_6_408,6.408,,
E129_6_648,,,6.648
E0_6_568,,6.568,
E56_1_442,,,1.442
E65_3_044,3.044,,
E60_5_447,,5.447,
E46_5_527,,,5.527
E99_7_449,,,7.449
E51_2_723,,2.723,
E54_6_969,6.969,,
E96_3_845,3.845,,
E46_7_129,,,7.129
E140_5_767,,,5.767
E10_7_77,,,7.77
E139_1_121,,,1.121
E53_7_049,,7.049,
E3_5_767,,5.767,
E99_0_641,,,0.641
E7_1_522,1.522,,
E16_0_961,0.961,,
E22_6_008,,,6.008
E121_5_927,,,5.927
E15_2_884,,2.884,
E102_7_85,,,7.85
E81_1_922,1.922,,
E67_4_165,,4.165,
E145_5_447,,,5.447
E136_3_124,,,3.124
E28_4_886,,4.886,
E106_3_204,3.204,,
E133_2_403,,2.403,
E0_7_77,,7.77,
E110_3_044,,3.044,
E93_3_925,3.925,,
E143_5_367,,,5.367
E143_2_643,,,2.643
E60_3_284,,3.284,
E2_0_721,0.721,,
E20_0_32,,,0.32
E14_5_367,,,5.367
E6_3_605,,,3.605
E6_2_964,,,2.964
E22_0_801,,,0.801
E44_4_726,4.726,,
E147_7_61,,,7.61
E145_0_401,,,0.401
E102_6_728,,,6.728
E17_4_005,,4.005,
E39_7_209,,7.209,
E64_7_77,7.77,,
E133_4_966,,4.966,
E128_4_886,,4.886,
E94_1_282,,1.282,
E66_1_682,,,1.682
E83_4_726,,,4.726
E118_6_008,6.008,,
E136_6_809,,,6.809
E128_4_486,,4.486,
E142_4_726,,,4.726
E29_5_527,,,5.527
E78_2_804,,,2.804
E101_0_401,,0.401,
E2_1_282,1.282,,
E136_5_126,,,5.126
E51_2_483,,2.483,
E81_6_488,6.488,,
E84_4_886,,,4.886
E58_3_524,,,3.524
E147_6_889,,,6.889
E101_6_008,,6.008,
E66_3_605,,,3.605
E115_7_77,,7.77,
E3_4_085,,4.085,
E100_4_085,,4.085,
E105_7_449,7.449,,
E16_4_966,4.966,,
E102_0_401,,,0.401
E77_3_124,3.124,,
E99_1_922,,,1.922
E21_1_842,1.842,,
E7_5_527,5.527,,
E113_6_728,,,6.728
E42_7_129,,,7.129
