,dyn-LL_500_0,dyn-LL_500_1,dyn-LL_500_2,dyn-LL_500_3,dyn-LL_500_4,dyn-LL_500_5,dyn-LL_500_6,dyn-LL_500_7,dyn-LL_500_8,dyn-LL_500_9,dyn-LL_2000_0,dyn-LL_2000_1,dyn-LL_2000_2,dyn-LL_2000_3,dyn-LL_2000_4,dyn-LL_2000_5,dyn-LL_2000_6,dyn-LL_2000_7,dyn-LL_2000_8,dyn-LL_2000_9,dyn-LL_5000_0,dyn-LL_5000_1,dyn-LL_5000_2,dyn-LL_5000_3,dyn-LL_5000_4,dyn-LL_5000_5,dyn-LL_5000_6,dyn-LL_5000_7,dyn-LL_5000_8,dyn-LL_5000_9
GENIE3,0.3751943439345812,0.3422866023108918,0.3769759918092014,0.3249276983204313,0.3709977669172798,0.3163269159514036,0.3389422206322126,0.35378216100025894,0.3716876249861957,0.3851743646048086,0.3324648493099139,0.332990700702886,0.36817121459876356,0.3314245217246385,0.37391330216552665,0.36224580407574447,0.32744946087369786,0.32344159794160343,0.3745893346846869,0.33846004256278805,0.34059768821341546,0.36937258320831234,0.36576259509021025,0.33265498796554543,0.3730333207474541,0.36840745925415264,0.3395332502620722,0.3299383792016866,0.36732062066173743,0.3691942150507642
GRISLI,0.17356400144867057,0.16664684132663776,0.1910134976703202,0.15986703737395266,0.19782230548284746,0.11295632438538487,0.13072366612956188,0.1514178858275226,0.1458694896432251,0.2159759684548455,0.14474179895828226,0.16928540441115522,0.15392389235949755,0.1514790336915617,0.156029085373822,0.10972493461947888,0.16062336579899167,0.10944913278503228,0.11764982929592209,0.1551737032633638,0.1436431665265128,0.16171607475442473,0.153770779402724,0.1502303265969362,0.14738315374459357,0.1505994240751427,0.15695142711928978,0.15066813630385953,0.151826758451681,0.14988314178154555
GRNBOOST2,0.37660541513963813,0.39201946298079726,0.39795065588356016,0.42998315505125717,0.4397022337202132,0.3350908013365213,0.34307987513817517,0.2992333425584669,0.3283537435495247,0.3449068904479146,0.4084621131793701,0.41025560630432467,0.33577939399532897,0.32969393452035745,0.341604296978408,0.37091621881450637,0.3609064791409784,0.3577282063143211,0.3380556114732101,0.39814098819556876,0.4641620659780723,0.4013036558558836,0.33490629288825124,0.3747725687875455,0.3794835424267744,0.36303461768449324,0.4099500482780404,0.39476801194408284,0.35896433156693275,0.32593279032673356
GRNVBEM,0.6104433700250382,0.6367824151669773,0.5963374245892865,0.6853659647341344,0.6601572413153467,0.7140310785502455,0.6502703178913449,0.6082267947125795,0.6176355382747512,0.6222693518646998,0.7214961173294506,0.6991418867017363,0.7188659973720949,0.7116214545312674,0.709749034088465,0.6921534534944935,0.6956578418239365,0.6853290871578348,0.7116690140812948,0.7063174489249757,0.7201024604326491,0.6907117218968541,0.7368421052631579,0.6986821576733857,0.7034111453976352,0.6992689322666527,0.7282180990514324,0.7365079365079364,0.6986821576733857,0.7019048988330769
LEAP,0.17255946975334474,0.21814575074852954,0.22469348085055207,0.1873179282544973,0.18945276976494652,0.22634672259426936,0.1609992844923993,0.2642684766196606,0.17968046129127987,0.171204756751992,0.33322494550727744,0.3221759175659527,0.3612019999951839,0.322942389306525,0.3381062810417848,0.3975562519054944,0.31198232458170294,0.3617550652148319,0.3578446667378411,0.3481481306053127,0.302290046558656,0.2988019143333622,0.298054895475404,0.2935991982994949,0.2987144729393199,0.31720097329495833,0.2688780811271432,0.2307277371746985,0.20370788202800397,0.29856887144902305
PIDC,0.494278687184644,0.4980093652004407,0.4804644295343025,0.48766982484097415,0.46807628626163117,0.5138888888888888,0.4959297052154195,0.48995055548874994,0.49255605854971013,0.48972498618021015,0.4787879398064248,0.4877098622099912,0.49087599110173935,0.4776199903065115,0.48296554681094805,0.49327972771600226,0.4910833137577324,0.4883955285818032,0.48969831759864435,0.4831790592300392,0.49050982800982806,0.49076236263736267,0.49331162813384066,0.4908072981495311,0.4914231300100866,0.49063257182416065,0.49703282828282835,0.489779530897952,0.49063257182416065,0.49254873294346985
PPCOR,0.4370387612115554,0.4350950462216521,0.46194472738590386,0.45337127232907287,0.4048754962357904,0.46179594875512064,0.4049416386942187,0.43703647591515243,0.3882305199733802,0.37146010600119217,0.4404240206214827,0.44585963397660494,0.4542785274205262,0.44664345982847686,0.44394495452502,0.44600204887721356,0.43354914886378854,0.4454605787099926,0.44412966661773423,0.46386852023089153,0.46617073171578505,0.4622849305361846,0.4493935906110939,0.45481602250510555,0.4667335199441325,0.4421977985386233,0.4422696418867074,0.4409791808331362,0.4158576975549554,0.45882716698506176
SCINGE,0.1039836326913591,0.09646463917462433,0.12148294254798961,0.3666334316309587,0.5294117647058824,0.28258720573786256,0.13310811088134156,0.5294117647058824,0.18640052323444883,0.29659441126863373,0.11679614477887952,0.7978193817558694,0.6575163398692812,0.19063676370828248,0.6805110731620851,0.16368397852524044,0.59257653006091,0.06586377168096441,0.6812670559367064,0.1615981891250329,0.5537402751109104,0.0986299594284893,0.12246353441899016,0.11501350583304994,0.06939223630518239,0.07353323158734566,0.44060378476141726,0.16178961731308733,0.4499830648284457,0.5294117647058824
SCNS,0.5238080274844982,0.5528988782274139,0.5590231174843281,0.3256497043261749,0.5612845642241895,0.5594674713685797,0.28538357517040736,0.32663316902586026,0.0766397580547965,0.5595356662731983,0.39033546110751993,0.4539619807676397,0.507689818351583,0.5101388872286705,0.4930392156862745,0.49035575582890156,0.5529182315307635,0.4822988490267902,0.5014407196570384,0.23089765827722752,0.38417866984803384,0.4801091530517309,0.4239134117230092,0.45310056045350167,0.457003862150921,0.4376705136509058,0.4269016272112247,0.47308075772681957,0.4485284142146887,0.434415553661078
SCODE,0.06887009938766711,0.08502160330759975,0.0840365526722136,0.09017262004101419,0.09624207472966684,0.08195457724750867,0.08779737444703616,0.08233568824250956,0.07413190744617132,0.09113848275150714,0.08867206064022841,0.10064151113736403,0.08168037002660808,0.08859825980392254,0.08291411940881788,0.09246900326433345,0.08471240978496866,0.09547630065545767,0.10336080248414631,0.08151996723776628,0.09197043171871278,0.10864591636908855,0.08219575766449148,0.09149721691184458,0.08055595321261512,0.09354530096594353,0.07038810919881885,0.10718696771798401,0.09651074399467491,0.1037058542713141
