,dyn-LL_500_0,dyn-LL_500_1,dyn-LL_500_2,dyn-LL_500_3,dyn-LL_500_4,dyn-LL_500_5,dyn-LL_500_6,dyn-LL_500_7,dyn-LL_500_8,dyn-LL_500_9,dyn-LL_2000_0,dyn-LL_2000_1,dyn-LL_2000_2,dyn-LL_2000_3,dyn-LL_2000_4,dyn-LL_2000_5,dyn-LL_2000_6,dyn-LL_2000_7,dyn-LL_2000_8,dyn-LL_2000_9,dyn-LL_5000_0,dyn-LL_5000_1,dyn-LL_5000_2,dyn-LL_5000_3,dyn-LL_5000_4,dyn-LL_5000_5,dyn-LL_5000_6,dyn-LL_5000_7,dyn-LL_5000_8,dyn-LL_5000_9
GENIE3,99.15,102.54,100.21,101.75,99.01,98.71,103.17,100.68,102.08,100.18,304.11,317.63,321.98,315.17,310.86,316.22,313.59,316.38,325.76,323.13,867.98,859.65,865.18,862.16,867.71,877.54,874.52,864.09,887.03,858.78
GRISLI,263.84,278.04,238.95,248.17,179.02,149.1,200.33,113.17,115.25,111.42,155.54,167.23,173.99,147.19,157.84,147.13,141.97,156.08,151.41,173.19,242.48,247.53,253.94,242.5,264.29,265.01,256.15,250.01,408.39,260.25
GRNBOOST2,14.45,15.53,15.97,15.58,15.32,15.69,15.34,15.98,15.98,14.86,41.79,40.47,44.54,43.68,41.8,44.16,44.17,41.7,44.03,50.93,89.66,89.13,90.28,89.31,91.6,93.0,89.4,85.72,104.77,91.5
GRNVBEM,295.97,334.09,366.64,378.45,327.59,353.1,383.68,328.09,335.1,385.23,875.76,897.0,779.4,737.54,842.4,798.84,920.93,958.99,1074.9,826.97,3927.15,3882.21,4070.84,3899.44,3913.77,3846.85,3905.85,3885.23,4230.18,5339.42
LEAP,8.6,8.54,8.69,11.21,8.8,8.49,8.48,8.47,8.21,7.79,82.57,86.17,87.44,84.26,83.58,82.05,83.75,84.4,83.76,82.45,881.16,779.46,806.2,795.71,782.08,791.99,789.92,799.13,823.8,828.72
PIDC,24.92,24.5,24.32,24.49,24.78,24.83,24.31,24.18,24.71,24.88,28.48,28.67,29.9,28.93,29.02,30.06,29.08,28.64,34.03,29.12,48.6,47.76,48.12,49.27,49.52,48.5,49.47,48.78,48.97,50.45
PPCOR,0.41,0.38,0.4,0.37,0.35,0.37,0.37,0.35,0.34,0.36,0.92,0.96,0.93,0.97,0.92,0.97,0.9,0.92,0.96,0.95,3.49,3.51,3.58,4.57,4.0,3.58,3.55,3.67,3.77,3.68
SCINGE,449.22,483.74,470.5,479.31,427.43,474.08,450.98,379.87,441.06,433.06,1497.61,2948.25,2851.72,1862.38,2313.08,1845.96,2789.68,1515.81,2984.49,1526.78,11624.89,6891.0,5719.99,7354.45,5768.86,4767.27,13362.59,7239.01,13981.66,6132.14
SCNS,777.23,588.85,662.35,514.83,663.67,633.12,746.77,610.01,836.85,795.88,3145.28,2888.84,3259.93,3367.83,2941.56,2918.37,2465.21,3254.27,3182.02,3138.03,5113.85,5529.3,3499.67,4927.61,5486.87,6867.64,5740.42,6099.88,5236.81,4564.31
SCODE,428.74,443.82,458.18,449.18,435.9,431.88,428.73,426.75,412.41,423.79,915.97,927.73,916.08,921.79,919.3,898.82,930.9,912.36,927.02,908.82,1995.29,1986.71,1995.15,2037.05,2011.16,2004.91,2020.39,2029.81,2067.56,2161.72
SCRIBE,21.63,23.0,20.91,21.37,22.6,20.25,20.72,20.12,20.29,20.05,150.64,143.02,142.87,151.9,141.59,140.81,140.65,141.32,143.45,141.36,521.61,505.53,509.42,523.89,512.14,511.4,508.75,505.95,511.03,525.54
SINCERITIES,3.62,4.13,3.81,4.34,3.51,3.53,4.24,3.95,3.54,3.38,3.76,4.25,3.92,3.74,3.76,3.7,3.71,3.65,3.73,3.85,4.03,4.03,4.0,4.15,3.86,3.96,4.04,4.63,4.08,4.02
