,Spearman Median,Spearman MAD
GENIE3,0.9850943955304128,0.007267216545266736
GRISLI,0.9054949496218629,0.04721250292319851
GRNBOOST2,0.9337222025030443,0.02913365527353849
GRNVBEM,0.41769552889225536,0.06941394811549252
LEAP,0.927014036986345,0.0388143267179716
PIDC,0.8838272150965649,0.059979877778532587
PPCOR,0.8037193795957176,0.06422925439112004
SCINGE,0.36435980234137166,0.08893202069990472
SCNS,0.7102367627636366,0.09481881241803243
SCODE,0.7094793404092026,0.11610881289614486
SCRIBE,0.42546496251087607,0.08553431755289853
SINCERITIES,0.6459215781698133,0.08373563573165864
