,dyn-LL_500_0,dyn-LL_500_1,dyn-LL_500_2,dyn-LL_500_3,dyn-LL_500_4,dyn-LL_500_5,dyn-LL_500_6,dyn-LL_500_7,dyn-LL_500_8,dyn-LL_500_9,dyn-LL_2000_0,dyn-LL_2000_1,dyn-LL_2000_2,dyn-LL_2000_3,dyn-LL_2000_4,dyn-LL_2000_5,dyn-LL_2000_6,dyn-LL_2000_7,dyn-LL_2000_8,dyn-LL_2000_9,dyn-LL_5000_0,dyn-LL_5000_1,dyn-LL_5000_2,dyn-LL_5000_3,dyn-LL_5000_4,dyn-LL_5000_5,dyn-LL_5000_6,dyn-LL_5000_7,dyn-LL_5000_8,dyn-LL_5000_9
GENIE3,0.9400077160493827,0.9467592592592592,0.9425154320987654,0.9423225308641976,0.9417438271604939,0.9384645061728395,0.9471450617283951,0.945408950617284,0.9373070987654321,0.9405864197530864,0.9419367283950617,0.945216049382716,0.941358024691358,0.9438657407407407,0.9442515432098765,0.9388503086419754,0.9444444444444444,0.9421296296296297,0.9436728395061729,0.9440586419753086,0.9444444444444444,0.9425154320987654,0.9405864197530864,0.9446373456790124,0.9436728395061728,0.9421296296296295,0.9438657407407407,0.9429012345679012,0.9415509259259259,0.9417438271604938
GRISLI,0.78125,0.7453703703703703,0.8092206790123456,0.7270447530864197,0.6817129629629629,0.7226080246913581,0.7297453703703703,0.7191358024691358,0.7185570987654322,0.7640817901234568,0.6863425925925926,0.7687114197530864,0.7210648148148148,0.720679012345679,0.7118055555555556,0.7100694444444445,0.7359182098765432,0.7278163580246914,0.7565586419753086,0.7322530864197532,0.6869212962962963,0.7426697530864197,0.7181712962962963,0.7085262345679013,0.6944444444444444,0.7098765432098766,0.7268518518518519,0.716820987654321,0.7002314814814815,0.7092978395061729
GRNBOOST2,0.8942901234567902,0.9114583333333335,0.9203317901234569,0.9137731481481481,0.9305555555555556,0.9131944444444444,0.9193672839506173,0.9151234567901234,0.89429012345679,0.9077932098765433,0.9373070987654321,0.9398148148148149,0.9365354938271605,0.9409722222222222,0.9421296296296295,0.9384645061728395,0.9483024691358024,0.941358024691358,0.9411651234567902,0.9365354938271605,0.9506172839506173,0.9477237654320988,0.9396219135802468,0.9500385802469136,0.9515817901234568,0.9438657407407408,0.9398148148148148,0.9398148148148149,0.9448302469135802,0.9386574074074074
GRNVBEM,0.9402006172839507,0.9621913580246914,0.9437692901234568,0.9507137345679012,0.9347993827160493,0.9241898148148148,0.9504243827160495,0.9106867283950617,0.9520640432098766,0.9376929012345679,0.9685570987654321,0.9627700617283951,0.9677854938271604,0.9656635802469136,0.9656635802469137,0.9506172839506173,0.9638310185185185,0.941454475308642,0.9662422839506173,0.9682677469135803,0.9637345679012346,0.9602623456790124,0.9652777777777778,0.962962962962963,0.9641203703703703,0.9618055555555556,0.966820987654321,0.9688464506172839,0.962962962962963,0.962962962962963
LEAP,0.7142168209876544,0.7252121913580247,0.7792245370370371,0.765625,0.7273341049382716,0.7360146604938271,0.732542438271605,0.7632137345679012,0.7374614197530864,0.7548225308641975,0.8223379629629629,0.8140432098765431,0.8099922839506173,0.8122106481481481,0.8067129629629629,0.8134645061728394,0.8175154320987654,0.8130787037037037,0.8131751543209876,0.8209876543209876,0.7201967592592593,0.7361111111111112,0.7365933641975309,0.7221257716049382,0.73852237654321,0.7311921296296297,0.728587962962963,0.7365933641975309,0.724826388888889,0.736304012345679
PIDC,0.9579475308641975,0.9641203703703705,0.9467592592592593,0.933641975308642,0.9189814814814815,0.96875,0.9564043209876543,0.9587191358024691,0.9517746913580246,0.923611111111111,0.935570987654321,0.9162808641975309,0.9456018518518519,0.9124228395061729,0.9170524691358025,0.9537037037037037,0.9571759259259258,0.9266975308641976,0.9232253086419753,0.9320987654320988,0.9328703703703703,0.9351851851851851,0.9494598765432098,0.935570987654321,0.9402006172839507,0.9340277777777778,0.9583333333333333,0.9243827160493827,0.9340277777777778,0.9463734567901234
PPCOR,0.8565779320987654,0.8757716049382717,0.8852237654320989,0.8837770061728397,0.8487654320987655,0.9089506172839505,0.8489583333333333,0.8780864197530864,0.8675733024691358,0.8206018518518519,0.8961226851851852,0.8984375,0.9015239197530863,0.9205246913580247,0.8966049382716049,0.898341049382716,0.892746913580247,0.8994020061728396,0.8981481481481481,0.8997878086419753,0.9178240740740742,0.8970871913580246,0.9157986111111112,0.9403935185185185,0.9373070987654322,0.8929398148148147,0.9137731481481481,0.8935185185185186,0.8928433641975309,0.9429976851851851
SCINGE,0.5850694444444444,0.6007908950617283,0.6392746913580247,0.8354552469135802,0.5,0.7459490740740741,0.652391975308642,0.5,0.6431327160493826,0.8118248456790124,0.5171682098765432,0.931712962962963,0.7662037037037037,0.7638888888888888,0.8640046296296295,0.7112268518518519,0.9249614197530863,0.5241126543209877,0.8453896604938271,0.6346450617283951,0.9676890432098765,0.7294560185185185,0.5941358024691358,0.7732445987654322,0.6125578703703703,0.5637538580246914,0.9332561728395062,0.7414158950617284,0.9627700617283951,0.5
SCNS,0.8194444444444444,0.7710262345679012,0.7967785493827161,0.8105709876543209,0.7467206790123456,0.8150077160493827,0.779320987654321,0.6260609567901234,0.6237461419753086,0.7810570987654322,0.6799768518518519,0.7301311728395061,0.789351851851852,0.716820987654321,0.6985918209876543,0.689525462962963,0.7783564814814815,0.720486111111111,0.7650462962962962,0.7595486111111113,0.6298225308641975,0.7120949074074074,0.6664737654320988,0.7049575617283951,0.6926118827160493,0.6781442901234569,0.6669560185185185,0.6950231481481481,0.7147955246913581,0.7094907407407408
SCODE,0.5733024691358024,0.6359953703703703,0.6508487654320987,0.6711033950617283,0.6275077160493827,0.6516203703703703,0.6562500000000001,0.6518132716049383,0.6039737654320988,0.6496913580246914,0.670138888888889,0.701195987654321,0.6358024691358023,0.6265432098765432,0.6213348765432098,0.6832561728395061,0.644483024691358,0.6431327160493827,0.685570987654321,0.6294367283950617,0.683641975308642,0.6929012345679012,0.5779320987654322,0.6431327160493827,0.5914351851851853,0.6805555555555556,0.6016589506172839,0.6761188271604938,0.6568287037037037,0.6716820987654322
SCRIBE,0.6649305555555555,0.6739969135802468,0.6302083333333334,0.7783564814814815,0.7204861111111112,0.7444058641975309,0.7079475308641975,0.7062114197530864,0.699074074074074,0.6410108024691358,0.7785493827160493,0.76929012345679,0.7467206790123457,0.8001543209876543,0.8003472222222223,0.7806712962962964,0.7000385802469136,0.8043981481481481,0.777391975308642,0.7914737654320988,0.7970679012345679,0.775270061728395,0.8072916666666666,0.8157793209876543,0.7883873456790124,0.8153935185185186,0.794945987654321,0.8267746913580247,0.7638888888888888,0.7833719135802469
SINCERITIES,0.8441358024691358,0.8154899691358025,0.782986111111111,0.787037037037037,0.7864583333333333,0.8351658950617283,0.7961033950617284,0.8292824074074074,0.7812499999999999,0.7617669753086419,0.836226851851852,0.7816358024691359,0.8434606481481481,0.8732638888888888,0.8211805555555556,0.8444251543209876,0.8734567901234568,0.8368055555555556,0.8130787037037037,0.8503086419753085,0.8469328703703705,0.8840663580246912,0.8215663580246914,0.8213734567901234,0.8069058641975309,0.8304398148148148,0.7895447530864199,0.8238811728395062,0.8165509259259258,0.8188657407407407
